drug,score,moa
gdsc_Navitoclax,0.668,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_GW-2580,0.619,Not Clinically Relevant
gdsc_GSK1070916,0.618,Not Clinically Relevant
gdsc_Linsitinib,0.603,IGF-1R inhibitor
gdsc_SB52334,0.572,Not Clinically Relevant
gdsc_VX-702,0.536,Not Clinically Relevant
gdsc_Rucaparib,0.486,"PARP inhibitor, inhibits DNA repair"
ctrp_staurosporine,0.465,Not Clinically Relevant
ctrp_tubastatin A,0.458,Not Clinically Relevant
gdsc_HG-5-88-01,0.456,Not Clinically Relevant
gdsc_GSK319347A,0.455,Not Clinically Relevant
ctrp_linsitinib,0.452,IGF-1R inhibitor
gdsc_Amuvatinib,0.440,Not Clinically Relevant
ctrp_BRD-A71883111,0.435,Not Clinically Relevant
ctrp_barasertib,0.434,highly selective Aurora B kinase inhibitor
ctrp_tretinoin,0.430,Retinoid
ctrp_BRD-K28456706,0.426,Not Clinically Relevant
ctrp_ML239,0.425,Not Clinically Relevant
ctrp_BRD-K34485477,0.424,Not Clinically Relevant
ctrp_ML203,0.420,Not Clinically Relevant
ctrp_indisulam,0.420,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2"
ctrp_olaparib,0.416,PARP Inhibitor
ctrp_BMS-195614,0.413,Not Clinically Relevant
gdsc_NSC-87877,0.412,Not Clinically Relevant
ctrp_ABT-737,0.412,Bcl-2/Bcl-xL inhibitor
ctrp_16-beta-bromoandrosterone,0.410,Not Clinically Relevant
gdsc_Olaparib,0.410,PARP Inhibitor
ctrp_Compound 1541A,0.409,Not Clinically Relevant
ctrp_compound 1B,0.405,Not Clinically Relevant
ctrp_BRD-K29086754,0.405,Not Clinically Relevant
ctrp_avrainvillamide,0.404,Not Clinically Relevant
ctrp_BRD-K99006945,0.403,Not Clinically Relevant
ctrp_sotrastaurin,0.403,pan-PKC inhibitor
ctrp_serdemetan,0.402,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
ctrp_BRD-K13999467,0.402,Not Clinically Relevant
ctrp_skepinone-L,0.402,Not Clinically Relevant
ctrp_chlorambucil,0.400,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
