drug,score,moa
lenalidomide,0.984,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
lapatinib,0.980,HER2/EGFR inhibitor
barasertib,0.980,highly selective Aurora B kinase inhibitor
sitagliptin,0.977,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
alisertib,0.969,Aurora A kinase inhibitor
hydrocortisone,0.969,Anti-inflammatory
TG100-115,0.959,PI3Kγ/δ inhibitor
iobenguane,0.955,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
mercaptopurine,0.954,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT"
toremifene,0.946,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
mitomycin-c,0.939,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
idarubicin,0.936,"Topo II inhibitor, intercalates into DNA, anthracycline"
raloxifene,0.936," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast"
dexamethasone,0.924,"synthetic corticosteroid, used to reduce inflammation"
GSK-461364,0.924,"Plk1 inhibitor, less active against Plk2 and Plk3."
hyperforin,0.921,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA"
irinotecan,0.919,"aka CPT-11, inhibitor of Topo I"
tacrolimus,0.917,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
tamoxifen,0.917,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
rucaparib,0.916,"PARP inhibitor, inhibits DNA repair"
thiotepa,0.905,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
vinorelbine,0.892,disrupts microtubule dynamics; natural product
exemestane,0.881,"aromatase inhibitor, blocks conversion of androgens to estrogens"
raltitrexed,0.866,"antimetabolite,  inhibitor of thymidylate synthase"
etoposide,0.865,Topo II inhibitor
hydrocortisone,0.857,Anti-inflammatory
SN-38,0.852,"Topo I inhibitor, active metabolite of irinotecan but 1000 times more active"
etoposide,0.851,Topo II inhibitor
tretinoin,0.848,Retinoid
trifluoperazine,0.843,"antipsychotic, antiadrenergic and antidopaminergic. Blocks dopamine D1 and D2 receptors "
sorafenib,0.837,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
anagrelide,0.831,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML"
lapatinib,0.826,HER2/EGFR inhibitor
fulvestrant,0.823,selective estrogen receptor degrader (SERD)
dexamethasone,0.809,"synthetic corticosteroid, used to reduce inflammation"
carmofur,0.799,"derivative of fluorouracil, pyrimidine analog"
cladribine,0.792,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
dexamethasone,0.777,"synthetic corticosteroid, used to reduce inflammation"
teniposide,0.774,Topo II inhibitor
amsacrine,0.763,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL"
sildenafil,0.762,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
hydrocortisone,0.760,Anti-inflammatory
cimetidine,0.738,(Tagamet) Antacid and antihistamine
mitotane,0.730,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma "
vemurafenib,0.714,BRAF (V600E) inhibitor
escitalopram,0.711,Selective Serotonin Reuptake Inhibitor (SSRI)
temozolomide,0.700,alkylating agent
methotrexate,0.678,"antimetabolite, competitively inhibits dihydrofolate reductase (DHFR), inhibits synthesis of DNA, RNA, thymidylates, and proteins"
serdemetan,0.675,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
dexamethasone,0.665,"synthetic corticosteroid, used to reduce inflammation"
JNJ-26854165,0.665,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
exemestane,0.661,"aromatase inhibitor, blocks conversion of androgens to estrogens"
saracatinib,0.652,"kinase inhibitor, with selectivity against Src and Bcr-Abl"
hydrocortisone,0.651,Anti-inflammatory
vorinostat,0.642,HDAC inhibitor (SAHA)
hydrocortisone,0.610,Anti-inflammatory
simvastatin,0.601,"HMG-CoA reductase inhibitor,"
goserelin,0.592,"decapeptide, synthetic analog of LHRH, suppresses production of testosterone and estrogen"
vincristine,0.581,"binds tubulin, disrupts microtubule dynamics"
clofarabine,0.578,purine nucleoside antimetabolite
tamoxifen,0.565,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
gossypol,0.561,"Natural product, may function to inhibit Bcl2 family members"
axitinib,0.553,"VEGFR, c-KIT and PDGFR inhibitor"
palonosetron,0.551, 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting
vinblastine,0.549,"disrupts microtubule dynamics; vinca alkaloid, chemical analogue of vincristine"
dexamethasone,0.531,"synthetic corticosteroid, used to reduce inflammation"
vinorelbine,0.530,disrupts microtubule dynamics; natural product
azacitidine,0.530,"Nucleoside analog, inhibitor of DNA methylation and DNA/RNA synthesis (Vidaza)"
obatoclax,0.518,Bcl-2 antagonist
homoharringtonine,0.513,"natural product, protein translation inhibitor, used for myeloid leukemia"
tegafur,0.499,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU"
selumetinib,0.484,MEK1 inhibitor
fludarabine,0.455,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase."
tacrolimus,0.449,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
pirfenidone,0.445, antifibrotic and anti-inflammatory
TG-101348,0.432,JAK2 inhibitor
panobinostat,0.424,HDAC inhibitor
capecitabine,0.423,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis"
docetaxel,0.417,inhibits microtubule dynamics; semi-synthetic analogue of paclitaxel
thalidomide,0.400,"interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
simvastatin,0.389,"HMG-CoA reductase inhibitor,"
valdecoxib,0.387,"NSAID used in the treatment of osteoarthritis, rheumatoid arthritis"
etomoxir,0.385,"agonist of PPARα, inhibitor of carnitine palmitoyltransferase-1 (CPT-1)"
homoharringtonine,0.382,"natural product, protein translation inhibitor, used for myeloid leukemia"
cediranib,0.370,VEGFR inhibitor
niclosamide,0.367,"used to treat tapeworm infestations,  inhibits glucose uptake, oxidative phosphorylation, and anaerobic metabolism in the tapeworm"
aminoglutethimide,0.366,"anti-steroid, used in the treatment of metastatic breast cancer"
megestrol,0.366,steroidal progestin used in the treatment of breast and endometrial cancer
sildenafil,0.361,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
streptozotocin,0.346,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells."
fulvestrant,0.344,selective estrogen receptor degrader (SERD)
formestane,0.341,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer"
brivanib,0.321,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR"
BI-2536,0.315,"Plk1 inhibitor, less active against Plk2 and Plk3."
ON-01910,0.304,"ON-01910, Plk-1 inhibitor"
sunitinib,0.296,"VEGFR2, PDGFRb and c-kit inhibitor; also inhibits FLT3"
cytarabine,0.287,"antimetabolite, causes DNA damage,  inhibits both DNA and RNA polymerases and nucleotide reductase enzymes needed for DNA synthesis"
olaparib,0.285,PARP Inhibitor
cinacalcet,0.282,Calcium reducer (increases  sensitivity of calcium receptors on parathyroid cells to reduce parathyroid hormone (PTH) levels and thus decrease serum calcium)
MLN-4924,0.274,"(MLN4924), inhibitor of NEDD8-activating enzyme (NAE)"
gemcitabine,0.270,"Nucleoside analog,incorporation into DNA creates an irreparable error that leads to inhibition of further DNA synthesis"
sunitinib,0.265,"VEGFR2, PDGFRb and c-kit inhibitor; also inhibits FLT3"
lovastatin,0.263,"HMG-CoA reductase inhibitor,"
nilutamide,0.257," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer"
aprepitant,0.251,"an antiemetic, mediates its effect by blocking the neurokinin 1 (NK1) receptor"
tamoxifen,0.219,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
afatinib,0.215,EGFR and ErbB2 inhibitor
gefitinib,0.210,EGFR inhibitor (Iressa)
decitabine,0.185,"Nucleoside analog, inhibitor of DNA methylation and DNA synthesis (Dacogen)"
abiraterone,0.183,steroidal CYP17A1 inhibitor and androgen synthesis inhibitor 
tretinoin,0.174,Retinoid
procarbazine,0.158,alkylating agent
ABT-737,0.153,Bcl-2/Bcl-xL inhibitor
AZD-6482,0.135,"PI3Kβ inhibitor, less active against PI3Kδ, PI3Kα and PI3Kγ "
canertinib,0.133,"pan-ErbB inhibitor for EGFR and ErbB2,  no activity to PDGFR, FGFR, InsR, PKC, or CDK1/2/4. "
CS-1657,0.130,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome "
neratinib,0.120,Her2 and EGFR inhibitor
sirolimus,0.118,"rapamycin, mTOR inhibitor"
tacrolimus,0.114,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
sirolimus,0.110,"rapamycin, mTOR inhibitor"
curcumin,0.110,"Natural Product, component of turmeric, may function as HDAC inhibitor"
sorafenib,0.110,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
dexamethasone,0.109,"synthetic corticosteroid, used to reduce inflammation"
MLN-2238,0.101,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome "
prednisone,0.088,synthetic corticosteroid
megestrol,0.085,steroidal progestin used in the treatment of breast and endometrial cancer
itraconazole,0.076,"Anti-fungal, hedgehog antagonist"
anastrozole,-0.152,"aromatase inhibitor, blocks conversion of androgens to estrogens"
navitoclax,-0.153,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
