drug_name,MED411
VDAC1,0.9995
PABPC1,0.9995
EIF2C3,0.9995
CCNH,0.9995
CPNE3,0.9995
PSMG1,0.9995
ESRRA,0.9995
PAPSS1,0.9992
AIRE,0.9992
NIPBL,0.9992
PTPRF,0.9992
OSGEP,0.9992
CEP72,0.9991
HADHA,0.9991
P2RY2,0.9987
tyrphostin-AG-1295,0.9986
TMEM174,0.9986
CTSL2,0.9981
TSPAN8,0.9981
POU2AF1,0.9979
PRKAR2A,0.9979
KCTD5,0.9979
KLF10,0.9976
hydroquinidine,0.9975
nomegestrol,0.9975
OAT,0.9974
HSF2,0.9971
DFFA,0.997
BRD-K70693222,0.9967
PRMT3,0.9965999999999999
BCKDHA,0.9965999999999999
danazol,0.9965
LAMB1,0.9963
LM-1685,0.9961
BRD-K63784565,0.9961
TMEM110,0.996
17-hydroxyprogesterone-caproate,0.9958
fexaramine,0.9958
ALW-II-49-7,0.9958
DUSP7,0.9958
TES,0.9956999999999999
ZNF398,0.9953
EPB41L4B,0.9953
MOK,0.9953
IKK-2-inhibitor,0.9951000000000001
NSD1,0.995
FBXO11,0.9948999999999999
EIF4A2,0.9948999999999999
IL12B,0.9947
GPATCH8,0.9945
ATG4A,0.9944
SNX6,0.9942
ADSS,0.9937999999999999
EIF4E,0.9937
ATF1,0.9932
ZNF365,0.9932
etodolac,0.993
XPO7,0.993
FGFR4,0.9928
LIM class homeoboxes GOF,0.9926999999999999
BRD-A38793261,0.9926
MPDZ,0.9926
CCDC85B,0.9926
PLOD2,0.9921
ARPC1A,0.9921
ISOC1,0.9921
L-701324,0.9919
MAPK1,0.9918
ANKZF1,0.9918
NNT,0.9918
MIF,0.9917
PPM1L,0.9915999999999999
ARHGEF2,0.9915
CHAC1,0.9914000000000001
TNKS2,0.9913
SMAD7,0.9912000000000001
MED28,0.9912000000000001
actarit,0.9912000000000001
CREM,0.9911
DR1,0.9911
SCMH1,0.9908
ACD,0.9903
DYNLT3,0.9903
bromocriptine,0.9901000000000001
POLQ,0.99
NTRK1,0.99
BUB1B,0.99
ENOPH1,0.99
MAPK3,0.9899
VU-0400071-3,0.9898
ZNF562,0.9898
MTERFD1,0.9898
VAPB,0.9898
norepinephrine,0.9898
ATF4,0.9897
SLC29A2,0.9897
TCF7L2,0.9895999999999999
POLE3,0.9895
SLC3A1,0.9894
SOX10,0.9894
QW-BI-011,0.9891
diltiazem,0.9889
DHFR,0.9889
ICAM1,0.9889
PI3K Signaling LOF,0.9887
nikkomycin,0.9887
sumatriptan,0.9887
RBBP4,0.9884999999999999
PARP15,0.9884000000000001
QARS,0.9884000000000001
TRAF2,0.9882
KIF14,0.9882
TPR,0.9882
AC-55649,0.9881
CRCP,0.988
SCYL3,0.988
MAS1L,0.988
CISH,0.9879000000000001
PD-0325901,0.9876999999999999
ATP1A1,0.9876999999999999
PIK3C2A,0.9876
PBX1,0.9876
UGP2,0.9875
PRDM1,0.9873999999999999
O3FAR1,0.9873999999999999
PTGER4,0.9873999999999999
TLE3,0.9873999999999999
FGIN-1-43,0.9873000000000001
HOXB7,0.9872
ATP7A,0.9871
LHX9,0.987
griseofulvin,0.9869
LPGAT1,0.9868000000000001
TFAP4,0.9868000000000001
DMEOB,0.9867
NFIB,0.9865999999999999
roxatidine,0.9863
SIRPG,0.9862000000000001
LPHN1,0.9861
ZNF85,0.9861
PREP,0.9861
deferiprone,0.9859
SB-216763,0.9859
PSIP1,0.9858
GSK-1904529A,0.9856999999999999
TFCP2,0.9856
IGFBP6,0.9852
MLH1,0.9851000000000001
DVL1,0.985
CELSR3,0.985
TSPAN4,0.9847
SU-11274,0.9845
SJ-172550,0.9845
PSMD5,0.9843000000000001
3-amino-benzamide,0.9843000000000001
PFN2,0.9843000000000001
