,mean_rank,weight
cervix,7.0,3.0
lung carcinoma,27.0,1.0
adrenal gland,37.0,3.0
adrenal gland neuroblastoma,40.0,5.0
pancreatic somatostatinoma,41.0,3.0
neuroblastoma,44.5,52.0
small cell lung carcinoma,47.0,88.0
medulloblastoma,59.5,8.0
supraclavicular lymph node,62.0,3.0
cervical small cell carcinoma,62.0,1.0
right pararenal lymph node,66.0,2.0
endometrioid stromal sarcoma,69.0,3.0
rhabdomyosarcoma,71.0,4.0
vertebra,74.0,2.0
right thigh skin,75.5,2.0
embryonal carcinoma,80.0,1.0
multiple endocrine neoplasia type 2,86.0,1.0
hereditary thyroid gland medullary carcinoma,86.0,1.0
not specified,88.0,3.0
thyroid gland squamous cell carcinoma,89.0,3.0
brain,90.0,16.0
testicular embryonal carcinoma,91.0,1.0
prostate carcinoma,93.0,11.0
supra-orbital region,95.0,1.0
lung carcinoid tumor,100.5,6.0
abdomen,111.5,2.0
skin nodule,113.0,1.0
natural killer cell lymphoblastic leukemia/lymphoma,118.0,1.0
mediastinal lymph node,119.0,1.0
ewing sarcoma,120.0,31.0
gastric small cell neuroendocrine carcinoma,120.0,4.0
subserosa of fallopian tube,128.0,1.0
pelvic wall,138.0,3.0
embryonal rhabdomyosarcoma,147.0,6.0
tonsillar squamous cell carcinoma,147.0,1.0
cutaneous melanoma,158.0,26.0
peritoneal ascites,160.5,2.0
askin tumor,163.5,2.0
large cell lung carcinoma,166.5,32.0
high grade ovarian serous adenocarcinoma,168.5,40.0
ovarian endometrioid adenocarcinoma,169.0,11.0
bone marrow,174.0,65.0
alveolar rhabdomyosarcoma,177.0,9.0
small intestine,179.0,1.0
invasive lobular breast carcinoma,181.0,1.0
rhabdoid tumor of the kidney,189.0,3.0
cervical squamous cell carcinoma,202.0,1.0
myeloid leukemia associated with down syndrome,206.0,1.0
uterine corpus sarcoma,207.0,3.0
melanoma,209.5,94.0
thigh skin,210.0,1.0
gingival squamous cell carcinoma,212.5,2.0
pharyngeal squamous cell carcinoma,215.0,3.0
axillary lymph node,218.0,6.0
salivary gland squamous cell carcinoma,218.0,3.0
gastric fundus carcinoma,220.0,1.0
liposarcoma,221.0,1.0
burkitt lymphoma,222.5,8.0
vaginal melanoma,225.0,1.0
osteosarcoma,237.0,23.0
ovarian leiomyosarcoma,240.0,3.0
groin lymph node,245.0,5.0
anaplastic large cell lymphoma,247.5,8.0
inguinal lymph node,248.0,3.0
poorly differentiated thyroid gland carcinoma,258.0,3.0
breast carcinoma,267.0,27.0
ovarian granulosa cell tumor,267.5,2.0
thyroid gland follicular carcinoma,267.5,10.0
uterine carcinosarcoma,270.0,2.0
endometrial carcinoma,271.5,8.0
squamous cell lung carcinoma,274.0,48.0
cerebrospinal fluid,276.0,3.0
lung mucoepidermoid carcinoma,281.0,3.0
