drug,score,moa
gdsc_Ruxolitinib,0.764,"JAK1/2 inhibitor, used for myelofibrosis and polycythemia vera"
gdsc_Alectinib,0.738,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)"
gdsc_Navitoclax,0.697,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_GSK1070916,0.661,Not Clinically Relevant
gdsc_Linsitinib,0.649,IGF-1R inhibitor
gdsc_Tubastatin A,0.637,Not Clinically Relevant
gdsc_SB52334,0.635,Not Clinically Relevant
gdsc_TL-2-105,0.630,Not Clinically Relevant
gdsc_Quizartinib,0.626,Flt3 inhibitor
gdsc_QL-XII-61,0.593,Not Clinically Relevant
gdsc_Tretinoin,0.592,Retinoid
gdsc_GSK429286A,0.590,Not Clinically Relevant
gdsc_QL-XI-92,0.573,Not Clinically Relevant
gdsc_Y-39983,0.561,Not Clinically Relevant
gdsc_GW-2580,0.553,Not Clinically Relevant
gdsc_Axitinib,0.552,"VEGFR, c-KIT and PDGFR inhibitor"
gdsc_BX-912,0.550,Not Clinically Relevant
gdsc_KIN001-260,0.543,Not Clinically Relevant
gdsc_XMD14-99,0.527,Not Clinically Relevant
gdsc_VX-702,0.504,Not Clinically Relevant
gdsc_Amuvatinib,0.500,Not Clinically Relevant
gdsc_Rucaparib,0.499,"PARP inhibitor, inhibits DNA repair"
gdsc_XMD13-2,0.497,Not Clinically Relevant
gdsc_PAC-1,0.496,Not Clinically Relevant
gdsc_HG-5-88-01,0.476,Not Clinically Relevant
gdsc_Ispinesib Mesylate,0.471,Not Clinically Relevant
ctrp_tubastatin A,0.456,Not Clinically Relevant
gdsc_GSK319347A,0.454,Not Clinically Relevant
ctrp_linsitinib,0.454,IGF-1R inhibitor
ctrp_indisulam,0.442,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2"
ctrp_tretinoin,0.440,Retinoid
ctrp_serdemetan,0.439,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
ctrp_avrainvillamide,0.437,Not Clinically Relevant
gdsc_Masitinib,0.436,"tyrosine-kinase inhibitor used in the treatment of mast cell tumors in animals, specifically dogs"
ctrp_BRD-A71883111,0.432,Not Clinically Relevant
gdsc_SB-505124,0.432,Not Clinically Relevant
ctrp_staurosporine,0.429,Not Clinically Relevant
ctrp_ABT-737,0.428,Bcl-2/Bcl-xL inhibitor
ctrp_BRD-K34485477,0.428,Not Clinically Relevant
gdsc_XMD15-27,0.427,Not Clinically Relevant
ctrp_BMS-195614,0.418,Not Clinically Relevant
ctrp_chlorambucil,0.416,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
ctrp_CIL55,0.416,Not Clinically Relevant
ctrp_epigallocatechin-3-monogallate,0.414,Not Clinically Relevant
ctrp_XL765,0.414,PI3K/mTOR inhibitor
ctrp_tacrolimus,0.413,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
ctrp_CCT036477,0.412,Not Clinically Relevant
gdsc_Talazoparib,0.412,Not Clinically Relevant
ctrp_BRD-K26531177,0.410,Not Clinically Relevant
ctrp_ML050,0.410,Not Clinically Relevant
ctrp_BRD-K51490254,0.408,Not Clinically Relevant
