,moa,GDSC,CTRP,CCLE,drug,score,evidence
alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.7,,,gdsc_Alectinib,0.7,+..
gsk1070916,Not Clinically Relevant,0.631,,,gdsc_GSK1070916,0.631,+..
gw-2580,Not Clinically Relevant,0.597,,,gdsc_GW-2580,0.597,+..
ql-xii-61,Not Clinically Relevant,0.5760000000000001,,,gdsc_QL-XII-61,0.576,+..
ql-xi-92,Not Clinically Relevant,0.568,,,gdsc_QL-XI-92,0.568,+..
tl-2-105,Not Clinically Relevant,0.5529999999999999,,,gdsc_TL-2-105,0.553,+..
sb52334,Not Clinically Relevant,0.5489999999999999,,,gdsc_SB52334,0.549,+..
y-39983,Not Clinically Relevant,0.541,,,gdsc_Y-39983,0.541,+..
gsk429286a,Not Clinically Relevant,0.541,,,gdsc_GSK429286A,0.541,+..
linsitinib,IGF-1R inhibitor,0.607,0.408,,ctrp_linsitinib,0.507,++.
bx-912,Not Clinically Relevant,0.505,,,gdsc_BX-912,0.505,+..
vx-702,Not Clinically Relevant,0.503,,,gdsc_VX-702,0.503,+..
kin001-260,Not Clinically Relevant,0.502,,,gdsc_KIN001-260,0.502,+..
xmd14-99,Not Clinically Relevant,0.495,,,gdsc_XMD14-99,0.495,+..
tubastatin a,Not Clinically Relevant,0.581,0.391,,ctrp_tubastatin A,0.486,++.
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.664,0.289,,ctrp_navitoclax,0.477,++.
rucaparib,"PARP inhibitor, inhibits DNA repair",0.47200000000000003,,,gdsc_Rucaparib,0.472,+..
quizartinib,Flt3 inhibitor,0.614,0.265,,ctrp_quizartinib,0.44,++.
amuvatinib,Not Clinically Relevant,0.44,,,gdsc_Amuvatinib,0.44,+..
xmd13-2,Not Clinically Relevant,0.433,,,gdsc_XMD13-2,0.433,+..
brd-k99006945,Not Clinically Relevant,,0.41700000000000004,,ctrp_BRD-K99006945,0.417,.+.
staurosporine,Not Clinically Relevant,,0.414,,ctrp_staurosporine,0.414,.+.
axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.47700000000000004,0.34299999999999997,,ctrp_axitinib,0.41,++.
xl765,PI3K/mTOR inhibitor,,0.408,,ctrp_XL765,0.408,.+.
bms-195614,Not Clinically Relevant,,0.405,,ctrp_BMS-195614,0.405,.+.
hg-5-88-01,Not Clinically Relevant,0.39299999999999996,,,gdsc_HG-5-88-01,0.393,+..
ispinesib mesylate,Not Clinically Relevant,0.392,,,gdsc_Ispinesib Mesylate,0.392,+..
isoliquiritigenin,Not Clinically Relevant,,0.39,,ctrp_isoliquiritigenin,0.39,.+.
sb-505124,Not Clinically Relevant,0.389,,,gdsc_SB-505124,0.389,+..
brd-k28456706,Not Clinically Relevant,,0.38799999999999996,,ctrp_BRD-K28456706,0.388,.+.
gsk319347a,Not Clinically Relevant,0.38799999999999996,,,gdsc_GSK319347A,0.388,+..
prima-1-met,Not Clinically Relevant,,0.387,,ctrp_PRIMA-1-Met,0.387,.+.
abt-737,Bcl-2/Bcl-xL inhibitor,,0.386,,ctrp_ABT-737,0.386,.+.
talazoparib,Not Clinically Relevant,0.382,,,gdsc_Talazoparib,0.382,+..
kin001-270,Not Clinically Relevant,0.379,,,gdsc_KIN001-270,0.379,+..
kin001-236,Not Clinically Relevant,0.377,,,gdsc_KIN001-236,0.377,+..
brd-m00053801,Not Clinically Relevant,,0.377,,ctrp_BRD-M00053801,0.377,.+.
cil55,Not Clinically Relevant,,0.376,,ctrp_CIL55,0.376,.+.
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.373,,ctrp_chlorambucil,0.373,.+.
olaparib,PARP Inhibitor,0.39299999999999996,0.35200000000000004,,ctrp_olaparib,0.372,++.
tipifarnib-p1,Not Clinically Relevant,,0.37200000000000005,,ctrp_tipifarnib-P1,0.372,.+.
brd-k26531177,Not Clinically Relevant,,0.37,,ctrp_BRD-K26531177,0.37,.+.
ml239,Not Clinically Relevant,,0.37,,ctrp_ML239,0.37,.+.
brd-k88742110,Not Clinically Relevant,,0.368,,ctrp_BRD-K88742110,0.368,.+.
ml050,Not Clinically Relevant,,0.368,,ctrp_ML050,0.368,.+.
cct036477,Not Clinically Relevant,,0.36700000000000005,,ctrp_CCT036477,0.367,.+.
npk76-ii-72-1,Not Clinically Relevant,0.366,,,gdsc_NPK76-II-72-1,0.366,+..
16-beta-bromoandrosterone,Not Clinically Relevant,,0.365,,ctrp_16-beta-bromoandrosterone,0.365,.+.
sr1001,Not Clinically Relevant,,0.364,,ctrp_SR1001,0.364,.+.
kin001-266,Not Clinically Relevant,0.364,,,gdsc_KIN001-266,0.364,+..
ml203,Not Clinically Relevant,,0.359,,ctrp_ML203,0.359,.+.
tg-100-115,PI3Kγ/δ inhibitor,,0.358,,ctrp_TG-100-115,0.358,.+.
brd-k13999467,Not Clinically Relevant,,0.358,,ctrp_BRD-K13999467,0.358,.+.
lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.358,,ctrp_lenvatinib,0.358,.+.
compound 1b,Not Clinically Relevant,,0.35600000000000004,,ctrp_compound 1B,0.356,.+.
brd-k19103580,Not Clinically Relevant,,0.355,,ctrp_BRD-K19103580,0.355,.+.
brd-a71883111,Not Clinically Relevant,,0.354,,ctrp_BRD-A71883111,0.354,.+.
iu1,Not Clinically Relevant,,0.354,,ctrp_IU1,0.354,.+.
epigallocatechin-3-monogallate,Not Clinically Relevant,,0.353,,ctrp_epigallocatechin-3-monogallate,0.353,.+.
abt-199,Bcl2 inhibitor,,0.353,,ctrp_ABT-199,0.353,.+.
brd-k51490254,Not Clinically Relevant,,0.35200000000000004,,ctrp_BRD-K51490254,0.352,.+.
brd-k51831558,Not Clinically Relevant,,0.35100000000000003,,ctrp_BRD-K51831558,0.351,.+.
cil41,Not Clinically Relevant,,0.35,,ctrp_CIL41,0.35,.+.
avrainvillamide,Not Clinically Relevant,,0.35,,ctrp_avrainvillamide,0.35,.+.
tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.348,,ctrp_tacrolimus,0.348,.+.
brd-k84807411,Not Clinically Relevant,,0.34700000000000003,,ctrp_BRD-K84807411,0.347,.+.
brd-k29086754,Not Clinically Relevant,,0.345,,ctrp_BRD-K29086754,0.345,.+.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.345,,ctrp_indisulam,0.345,.+.
azd4547,"FGFR-1,2 and 3 inhibitor",,0.345,,ctrp_AZD4547,0.345,.+.
sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.345,,ctrp_sitagliptin,0.345,.+.
compound 7d-cis,Not Clinically Relevant,,0.34299999999999997,,ctrp_Compound 7d-cis,0.343,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.34,,ctrp_barasertib,0.34,.+.
bms-270394,Not Clinically Relevant,,0.34,,ctrp_BMS-270394,0.34,.+.
foretinib,c-Met/VEGFR2 inhibitor,,0.33899999999999997,,ctrp_foretinib,0.339,.+.
jw-55,Not Clinically Relevant,,0.33799999999999997,,ctrp_JW-55,0.338,.+.
mdivi-1,Not Clinically Relevant,,0.337,,ctrp_Mdivi-1,0.337,.+.
brd-k49290616,Not Clinically Relevant,,0.336,,ctrp_BRD-K49290616,0.336,.+.
jw-74,Not Clinically Relevant,,0.335,,ctrp_JW-74,0.335,.+.
cay10576,Not Clinically Relevant,,0.33399999999999996,,ctrp_CAY10576,0.334,.+.
necrostatin-7,Not Clinically Relevant,,0.33399999999999996,,ctrp_necrostatin-7,0.334,.+.
brd1835,Not Clinically Relevant,,0.33299999999999996,,ctrp_BRD1835,0.333,.+.
unc1215,Not Clinically Relevant,0.33299999999999996,,,gdsc_UNC1215,0.333,+..
compound 1541a,Not Clinically Relevant,,0.332,,ctrp_Compound 1541A,0.332,.+.
brd-k42260513,Not Clinically Relevant,,0.332,,ctrp_BRD-K42260513,0.332,.+.
darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.33,,ctrp_darinaparsin,0.33,.+.
pdmp,Not Clinically Relevant,,0.33,,ctrp_PDMP,0.33,.+.
nsc 74859,Not Clinically Relevant,,0.33,,ctrp_NSC 74859,0.33,.+.
elcpk,Not Clinically Relevant,,0.32799999999999996,,ctrp_ELCPK,0.328,.+.
nsc30930,Not Clinically Relevant,,0.327,,ctrp_NSC30930,0.327,.+.
brd-k92856060,Not Clinically Relevant,,0.326,,ctrp_BRD-K92856060,0.326,.+.
necrostatin-1,Not Clinically Relevant,,0.32299999999999995,,ctrp_necrostatin-1,0.323,.+.
brd-k75293299,Not Clinically Relevant,,0.32299999999999995,,ctrp_BRD-K75293299,0.323,.+.
mgcd-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.322,,ctrp_MGCD-265,0.322,.+.
brd-k11533227,Not Clinically Relevant,,0.322,,ctrp_BRD-K11533227,0.322,.+.
brd-k34485477,Not Clinically Relevant,,0.322,,ctrp_BRD-K34485477,0.322,.+.
brd-k24690302,Not Clinically Relevant,,0.321,,ctrp_BRD-K24690302,0.321,.+.
kw-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.32,,ctrp_KW-2449,0.32,.+.
bibr-1532,Not Clinically Relevant,,0.319,,ctrp_BIBR-1532,0.319,.+.
