,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.992,...+,673,1,1.0
alectinib,gdsc_Alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.7,,,0.7,,+...,1,175,1.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.631,,,0.631,,+...,2,176,2.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.976,...+,674,3,3.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.597,,,0.597,,+...,3,177,3.0
ql-xii-61,gdsc_QL-XII-61,Not Clinically Relevant,0.5760000000000001,,,0.576,,+...,4,178,4.0
ql-xi-92,gdsc_QL-XI-92,Not Clinically Relevant,0.568,,,0.568,,+...,5,179,5.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.5529999999999999,,,0.553,,+...,6,180,6.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.5489999999999999,,,0.549,,+...,7,181,7.0
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.9470000000000001,...+,676,8,8.0
y-39983,gdsc_Y-39983,Not Clinically Relevant,0.541,,,0.541,,+...,8,182,8.0
raloxifene,cmap_raloxifene," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast",,,,,0.9359999999999999,...+,678,9,9.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.541,,,0.541,,+...,9,183,9.0
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.47200000000000003,,,0.472,0.992,+..+,17,2,9.5
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.924,...+,679,10,10.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.924,...+,680,11,11.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.505,,,0.505,,+...,11,184,11.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.503,,,0.503,,+...,12,185,12.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,0.912,...+,682,13,13.0
