,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
alectinib,gdsc_Alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.703,,,0.703,,+...,1,175,1.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.632,,,0.632,,+...,2,176,2.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.607,,,0.607,,+...,3,177,3.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.607,,,0.607,,+...,4,178,4.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.594,,,0.594,,+...,5,179,5.0
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.9590000000000001,...+,674,5,5.0
ql-xii-61,gdsc_QL-XII-61,Not Clinically Relevant,0.593,,,0.593,,+...,6,180,6.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.955,...+,675,6,6.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.583,,,0.583,,+...,7,181,7.0
mercaptopurine,cmap_mercaptopurine,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT",,,,,0.9540000000000001,...+,676,7,7.0
raloxifene,cmap_raloxifene," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast",,,,,0.9359999999999999,...+,679,8,8.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.5489999999999999,,,0.549,,+...,9,182,9.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.924,...+,680,9,9.0
ql-xi-92,gdsc_QL-XI-92,Not Clinically Relevant,0.5479999999999999,,,0.548,,+...,10,183,10.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.535,,,0.535,,+...,11,184,11.0
barasertib,ctrp_barasertib,highly selective Aurora B kinase inhibitor,,0.46399999999999997,,0.464,0.98,.+.+,21,2,11.5
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.528,,,0.528,0.9159999999999999,+..+,12,12,12.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.608,0.447,,0.528,,++..,13,185,13.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.905,...+,681,13,13.0
y-39983,gdsc_Y-39983,Not Clinically Relevant,0.516,,,0.516,,+...,15,186,15.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.866,...+,683,15,15.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.495,,,0.495,,+...,17,187,17.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.48,,0.48,,.+..,18,188,18.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,0.831,...+,684,19,19.0
hg-5-88-01,gdsc_HG-5-88-01,Not Clinically Relevant,0.47200000000000003,,,0.472,,+...,19,189,19.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.799,...+,685,20,20.0
xmd14-99,gdsc_XMD14-99,Not Clinically Relevant,0.47,,,0.47,,+...,20,190,20.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.792,...+,686,21,21.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.462,,,0.462,,+...,22,191,22.0
exemestane,cmap_exemestane,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,0.7709999999999999,...++,682,23,23.0
alisertib,ctrp_alisertib,Aurora A kinase inhibitor,,0.419,,0.419,0.9690000000000001,.+.+,42,4,23.0
amsacrine,cmap_amsacrine,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL",,,,,0.763,...+,687,24,24.0
ispinesib mesylate,gdsc_Ispinesib Mesylate,Not Clinically Relevant,0.46,,,0.46,,+...,24,192,24.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.73,...+,688,25,25.0
indisulam,ctrp_indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.45899999999999996,,0.459,,.+..,25,193,25.0
gsk319347a,gdsc_GSK319347A,Not Clinically Relevant,0.457,,,0.457,,+...,26,194,26.0
vemurafenib,cmap_vemurafenib,BRAF (V600E) inhibitor,,,,,0.7140000000000001,...+,689,26,26.0
escitalopram,cmap_escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI),,,,,0.711,...+,690,27,27.0
sotrastaurin,ctrp_sotrastaurin,pan-PKC inhibitor,,0.45399999999999996,,0.454,,.+..,27,195,27.0
staurosporine,ctrp_staurosporine,Not Clinically Relevant,,0.451,,0.451,,.+..,28,196,28.0
tretinoin,ctrp_tretinoin,Retinoid,0.57,0.47,,0.52,0.511,++.++,14,43,28.5
sb-505124,gdsc_SB-505124,Not Clinically Relevant,0.439,,,0.439,,+...,30,197,30.0
axitinib,ctrp_axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.522,0.402,,0.462,0.5529999999999999,++.+,23,39,31.0
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.665,...+,691,31,31.0
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.43700000000000006,,0.437,,.+..,31,198,31.0
brd-k28456706,ctrp_BRD-K28456706,Not Clinically Relevant,,0.43200000000000005,,0.432,,.+..,34,199,34.0
goserelin,cmap_goserelin,"decapeptide, synthetic analog of LHRH, suppresses production of testosterone and estrogen",,,,,0.5920000000000001,...+,692,34,34.0
ml239,ctrp_ML239,Not Clinically Relevant,,0.431,,0.431,,.+..,35,200,35.0
brd-k26531177,ctrp_BRD-K26531177,Not Clinically Relevant,,0.428,,0.428,,.+..,36,201,36.0
brd-a71883111,ctrp_BRD-A71883111,Not Clinically Relevant,,0.42700000000000005,,0.427,,.+..,37,202,37.0
bms-195614,ctrp_BMS-195614,Not Clinically Relevant,,0.424,,0.424,,.+..,38,203,38.0
pf-4800567 hydrochloride,ctrp_PF-4800567 hydrochloride,Not Clinically Relevant,,0.42200000000000004,,0.422,,.+..,39,204,39.0
palonosetron,cmap_palonosetron, 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting,,,,,0.551,...+,693,40,40.0
iu1,ctrp_IU1,Not Clinically Relevant,,0.42,,0.42,,.+..,40,205,40.0
skepinone-l,ctrp_skepinone-L,Not Clinically Relevant,,0.419,,0.419,,.+..,41,206,41.0
tegafur,cmap_tegafur,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU",,,,,0.499,...+,695,44,44.0
xl765,ctrp_XL765,PI3K/mTOR inhibitor,,0.418,,0.418,,.+..,44,207,44.0
ml050,ctrp_ML050,Not Clinically Relevant,,0.418,,0.418,,.+..,45,208,45.0
jw-74,ctrp_JW-74,Not Clinically Relevant,,0.414,,0.414,,.+..,47,209,47.0
tipifarnib-p1,ctrp_tipifarnib-P1,Not Clinically Relevant,,0.414,,0.414,,.+..,48,210,48.0
compound 7d-cis,ctrp_Compound 7d-cis,Not Clinically Relevant,,0.414,,0.414,,.+..,49,211,49.0
homoharringtonine,cmap_homoharringtonine,"natural product, protein translation inhibitor, used for myeloid leukemia",,,,,0.4475,...++,694,49,49.0
brd-k51490254,ctrp_BRD-K51490254,Not Clinically Relevant,,0.413,,0.413,,.+..,50,212,50.0
pirfenidone,cmap_pirfenidone, antifibrotic and anti-inflammatory,,,,,0.445,...+,697,50,50.0
tacrolimus,ctrp_tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.415,,0.415,0.3985,.+.+++,46,55,50.5
brd-k42260513,ctrp_BRD-K42260513,Not Clinically Relevant,,0.409,,0.409,,.+..,51,213,51.0
talazoparib,gdsc_Talazoparib,Not Clinically Relevant,0.409,,,0.409,,+...,52,214,52.0
capecitabine,cmap_capecitabine,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis",,,,,0.423,...+,698,53,53.0
sr1001,ctrp_SR1001,Not Clinically Relevant,,0.406,,0.406,,.+..,53,215,53.0
kw-2449,ctrp_KW-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.405,,0.405,,.+..,54,216,54.0
brd-k34485477,ctrp_BRD-K34485477,Not Clinically Relevant,,0.405,,0.405,,.+..,55,217,55.0
olaparib,gdsc_Olaparib,PARP Inhibitor,0.415,0.42200000000000004,,0.418,0.285,++.+,43,68,55.5
brd-m00053801,ctrp_BRD-M00053801,Not Clinically Relevant,,0.405,,0.405,,.+..,56,218,56.0
toremifene,cmap_toremifene,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen,,,,,0.387,...+-,677,56,56.0
