,moa,GDSC,CTRP,CCLE,drug,score,evidence
alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.732,,,gdsc_Alectinib,0.732,+..
gsk1070916,Not Clinically Relevant,0.664,,,gdsc_GSK1070916,0.664,+..
sb52334,Not Clinically Relevant,0.635,,,gdsc_SB52334,0.635,+..
tl-2-105,Not Clinically Relevant,0.628,,,gdsc_TL-2-105,0.628,+..
gw-2580,Not Clinically Relevant,0.613,,,gdsc_GW-2580,0.613,+..
ql-xii-61,Not Clinically Relevant,0.61,,,gdsc_QL-XII-61,0.61,+..
gsk429286a,Not Clinically Relevant,0.594,,,gdsc_GSK429286A,0.594,+..
linsitinib,IGF-1R inhibitor,0.684,0.5,,ctrp_linsitinib,0.592,++.
vx-702,Not Clinically Relevant,0.583,,,gdsc_VX-702,0.583,+..
ql-xi-92,Not Clinically Relevant,0.5820000000000001,,,gdsc_QL-XI-92,0.582,+..
bx-912,Not Clinically Relevant,0.5529999999999999,,,gdsc_BX-912,0.553,+..
y-39983,Not Clinically Relevant,0.5489999999999999,,,gdsc_Y-39983,0.549,+..
tubastatin a,Not Clinically Relevant,0.623,0.462,,ctrp_tubastatin A,0.542,++.
xmd14-99,Not Clinically Relevant,0.539,,,gdsc_XMD14-99,0.539,+..
kin001-260,Not Clinically Relevant,0.525,,,gdsc_KIN001-260,0.525,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.6990000000000001,0.322,,ctrp_navitoclax,0.511,++.
amuvatinib,Not Clinically Relevant,0.504,,,gdsc_Amuvatinib,0.504,+..
xmd13-2,Not Clinically Relevant,0.499,,,gdsc_XMD13-2,0.499,+..
hg-5-88-01,Not Clinically Relevant,0.498,,,gdsc_HG-5-88-01,0.498,+..
quizartinib,Flt3 inhibitor,0.6859999999999999,0.308,,ctrp_quizartinib,0.497,++.
axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.562,0.40399999999999997,,ctrp_axitinib,0.483,++.
gsk319347a,Not Clinically Relevant,0.46299999999999997,,,gdsc_GSK319347A,0.463,+..
ispinesib mesylate,Not Clinically Relevant,0.462,,,gdsc_Ispinesib Mesylate,0.462,+..
cct036477,Not Clinically Relevant,,0.44299999999999995,,ctrp_CCT036477,0.443,.+.
brd-k51490254,Not Clinically Relevant,,0.442,,ctrp_BRD-K51490254,0.442,.+.
avrainvillamide,Not Clinically Relevant,,0.43700000000000006,,ctrp_avrainvillamide,0.437,.+.
sb-505124,Not Clinically Relevant,0.435,,,gdsc_SB-505124,0.435,+..
skepinone-l,Not Clinically Relevant,,0.43,,ctrp_skepinone-L,0.43,.+.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.428,,ctrp_indisulam,0.428,.+.
brd-k99006945,Not Clinically Relevant,,0.42700000000000005,,ctrp_BRD-K99006945,0.427,.+.
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.424,,ctrp_chlorambucil,0.424,.+.
ml239,Not Clinically Relevant,,0.424,,ctrp_ML239,0.424,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.424,,ctrp_barasertib,0.424,.+.
abt-737,Bcl-2/Bcl-xL inhibitor,,0.42200000000000004,,ctrp_ABT-737,0.422,.+.
cil55,Not Clinically Relevant,,0.42,,ctrp_CIL55,0.42,.+.
brd-k28456706,Not Clinically Relevant,,0.418,,ctrp_BRD-K28456706,0.418,.+.
bms-195614,Not Clinically Relevant,,0.41600000000000004,,ctrp_BMS-195614,0.416,.+.
sotrastaurin,pan-PKC inhibitor,,0.41600000000000004,,ctrp_sotrastaurin,0.416,.+.
kin001-270,Not Clinically Relevant,0.41600000000000004,,,gdsc_KIN001-270,0.416,+..
staurosporine,Not Clinically Relevant,,0.413,,ctrp_staurosporine,0.413,.+.
ml050,Not Clinically Relevant,,0.41,,ctrp_ML050,0.41,.+.
talazoparib,Not Clinically Relevant,0.408,,,gdsc_Talazoparib,0.408,+..
foretinib,c-Met/VEGFR2 inhibitor,,0.408,,ctrp_foretinib,0.408,.+.
brd-k88742110,Not Clinically Relevant,,0.40700000000000003,,ctrp_BRD-K88742110,0.407,.+.
brd-k34485477,Not Clinically Relevant,,0.406,,ctrp_BRD-K34485477,0.406,.+.
tipifarnib-p1,Not Clinically Relevant,,0.40299999999999997,,ctrp_tipifarnib-P1,0.403,.+.
brd-k26531177,Not Clinically Relevant,,0.40299999999999997,,ctrp_BRD-K26531177,0.403,.+.
xl765,PI3K/mTOR inhibitor,,0.40299999999999997,,ctrp_XL765,0.403,.+.
kw-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.40299999999999997,,ctrp_KW-2449,0.403,.+.
bms-270394,Not Clinically Relevant,,0.401,,ctrp_BMS-270394,0.401,.+.
kin001-266,Not Clinically Relevant,0.39899999999999997,,,gdsc_KIN001-266,0.399,+..
isoliquiritigenin,Not Clinically Relevant,,0.397,,ctrp_isoliquiritigenin,0.397,.+.
compound 7d-cis,Not Clinically Relevant,,0.397,,ctrp_Compound 7d-cis,0.397,.+.
brd-k24690302,Not Clinically Relevant,,0.396,,ctrp_BRD-K24690302,0.396,.+.
brd-k51831558,Not Clinically Relevant,,0.395,,ctrp_BRD-K51831558,0.395,.+.
epigallocatechin-3-monogallate,Not Clinically Relevant,,0.39399999999999996,,ctrp_epigallocatechin-3-monogallate,0.394,.+.
npk76-ii-72-1,Not Clinically Relevant,0.391,,,gdsc_NPK76-II-72-1,0.391,+..
tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.39,,ctrp_tacrolimus,0.39,.+.
sr1001,Not Clinically Relevant,,0.389,,ctrp_SR1001,0.389,.+.
brd-m00053801,Not Clinically Relevant,,0.38799999999999996,,ctrp_BRD-M00053801,0.388,.+.
pf-4800567 hydrochloride,Not Clinically Relevant,,0.387,,ctrp_PF-4800567 hydrochloride,0.387,.+.
