,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
alectinib,gdsc_Alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.715,,,0.715,,+...,1,175,1.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.976,...+,673,2,2.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.652,,,0.652,,+...,2,176,2.0
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.975,...+,674,3,3.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.64,,,0.64,,+...,3,177,3.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.637,,,0.637,,+...,4,178,4.0
ql-xii-61,gdsc_QL-XII-61,Not Clinically Relevant,0.605,,,0.605,,+...,5,179,5.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.578,,,0.578,,+...,6,180,6.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.5720000000000001,,,0.572,,+...,7,181,7.0
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.506,,,0.506,0.9359999999999999,+..+,12,5,8.5
bx-912,gdsc_BX-912,Not Clinically Relevant,0.5489999999999999,,,0.549,,+...,9,182,9.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.546,,,0.546,,+...,10,183,10.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.609,0.441,,0.525,,++..,11,184,11.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,0.84,...+,677,11,11.0
hg-5-88-01,gdsc_HG-5-88-01,Not Clinically Relevant,0.499,,,0.499,,+...,13,185,13.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.8340000000000001,...+,678,13,13.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.8320000000000001,...+,679,14,14.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.816,...+,681,15,15.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.489,,,0.489,,+...,15,186,15.0
xmd14-99,gdsc_XMD14-99,Not Clinically Relevant,0.48700000000000004,,,0.487,,+...,16,187,16.0
altretamine,cmap_altretamine,alkylating antineoplastic agent,,,,,0.8029999999999999,...+,682,18,18.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.466,,,0.466,,+...,18,188,18.0
exemestane,cmap_exemestane,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,0.7945,...++,680,19,19.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.46,,0.46,,.+..,19,189,19.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.7659999999999999,...+,683,20,20.0
