,moa,GDSC,CTRP,CCLE,drug,score,evidence
alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.715,,,gdsc_Alectinib,0.715,+..
gsk1070916,Not Clinically Relevant,0.652,,,gdsc_GSK1070916,0.652,+..
sb52334,Not Clinically Relevant,0.64,,,gdsc_SB52334,0.64,+..
tl-2-105,Not Clinically Relevant,0.637,,,gdsc_TL-2-105,0.637,+..
ql-xii-61,Not Clinically Relevant,0.605,,,gdsc_QL-XII-61,0.605,+..
vx-702,Not Clinically Relevant,0.578,,,gdsc_VX-702,0.578,+..
gsk429286a,Not Clinically Relevant,0.5720000000000001,,,gdsc_GSK429286A,0.572,+..
linsitinib,IGF-1R inhibitor,0.6509999999999999,0.494,,ctrp_linsitinib,0.572,++.
bx-912,Not Clinically Relevant,0.5489999999999999,,,gdsc_BX-912,0.549,+..
gw-2580,Not Clinically Relevant,0.546,,,gdsc_GW-2580,0.546,+..
tubastatin a,Not Clinically Relevant,0.609,0.441,,ctrp_tubastatin A,0.525,++.
rucaparib,"PARP inhibitor, inhibits DNA repair",0.506,,,gdsc_Rucaparib,0.506,+..
hg-5-88-01,Not Clinically Relevant,0.499,,,gdsc_HG-5-88-01,0.499,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.6920000000000001,0.298,,ctrp_navitoclax,0.495,++.
amuvatinib,Not Clinically Relevant,0.489,,,gdsc_Amuvatinib,0.489,+..
xmd14-99,Not Clinically Relevant,0.48700000000000004,,,gdsc_XMD14-99,0.487,+..
axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.513,0.42700000000000005,,ctrp_axitinib,0.47,++.
xmd13-2,Not Clinically Relevant,0.466,,,gdsc_XMD13-2,0.466,+..
avrainvillamide,Not Clinically Relevant,,0.46,,ctrp_avrainvillamide,0.46,.+.
ispinesib mesylate,Not Clinically Relevant,0.451,,,gdsc_Ispinesib Mesylate,0.451,+..
gsk319347a,Not Clinically Relevant,0.446,,,gdsc_GSK319347A,0.446,+..
brd-k99006945,Not Clinically Relevant,,0.445,,ctrp_BRD-K99006945,0.445,.+.
staurosporine,Not Clinically Relevant,,0.445,,ctrp_staurosporine,0.445,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.44299999999999995,,ctrp_barasertib,0.443,.+.
ml239,Not Clinically Relevant,,0.442,,ctrp_ML239,0.442,.+.
talazoparib,Not Clinically Relevant,0.44,,,gdsc_Talazoparib,0.44,+..
brd-k26531177,Not Clinically Relevant,,0.43700000000000006,,ctrp_BRD-K26531177,0.437,.+.
cct036477,Not Clinically Relevant,,0.43700000000000006,,ctrp_CCT036477,0.437,.+.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.433,,ctrp_indisulam,0.433,.+.
sb-505124,Not Clinically Relevant,0.43200000000000005,,,gdsc_SB-505124,0.432,+..
bms-195614,Not Clinically Relevant,,0.43200000000000005,,ctrp_BMS-195614,0.432,.+.
