drug,score,moa
gdsc_Alectinib,0.700,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)"
gdsc_Ruxolitinib,0.672,"JAK1/2 inhibitor, used for myelofibrosis and polycythemia vera"
gdsc_Navitoclax,0.664,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_GSK1070916,0.631,Not Clinically Relevant
gdsc_Quizartinib,0.614,Flt3 inhibitor
gdsc_Linsitinib,0.607,IGF-1R inhibitor
gdsc_GW-2580,0.597,Not Clinically Relevant
gdsc_Tubastatin A,0.581,Not Clinically Relevant
gdsc_QL-XII-61,0.576,Not Clinically Relevant
gdsc_QL-XI-92,0.568,Not Clinically Relevant
gdsc_TL-2-105,0.553,Not Clinically Relevant
gdsc_SB52334,0.549,Not Clinically Relevant
gdsc_Y-39983,0.541,Not Clinically Relevant
gdsc_GSK429286A,0.541,Not Clinically Relevant
gdsc_BX-912,0.505,Not Clinically Relevant
gdsc_VX-702,0.503,Not Clinically Relevant
gdsc_KIN001-260,0.502,Not Clinically Relevant
gdsc_XMD14-99,0.495,Not Clinically Relevant
gdsc_Axitinib,0.477,"VEGFR, c-KIT and PDGFR inhibitor"
gdsc_Rucaparib,0.472,"PARP inhibitor, inhibits DNA repair"
gdsc_Amuvatinib,0.440,Not Clinically Relevant
gdsc_XMD13-2,0.433,Not Clinically Relevant
ctrp_BRD-K99006945,0.417,Not Clinically Relevant
ctrp_staurosporine,0.414,Not Clinically Relevant
ctrp_XL765,0.408,PI3K/mTOR inhibitor
ctrp_linsitinib,0.408,IGF-1R inhibitor
ctrp_BMS-195614,0.405,Not Clinically Relevant
gdsc_Masitinib,0.400,"tyrosine-kinase inhibitor used in the treatment of mast cell tumors in animals, specifically dogs"
gdsc_Olaparib,0.393,PARP Inhibitor
gdsc_HG-5-88-01,0.393,Not Clinically Relevant
gdsc_Ispinesib Mesylate,0.392,Not Clinically Relevant
ctrp_tubastatin A,0.391,Not Clinically Relevant
ctrp_dabrafenib,0.390,Braf (V600E) inhibitor
ctrp_isoliquiritigenin,0.390,Not Clinically Relevant
gdsc_SB-505124,0.389,Not Clinically Relevant
ctrp_BRD-K28456706,0.388,Not Clinically Relevant
gdsc_GSK319347A,0.388,Not Clinically Relevant
ctrp_PRIMA-1-Met,0.387,Not Clinically Relevant
ctrp_ABT-737,0.386,Bcl-2/Bcl-xL inhibitor
gdsc_Talazoparib,0.382,Not Clinically Relevant
gdsc_KIN001-270,0.379,Not Clinically Relevant
gdsc_KIN001-236,0.377,Not Clinically Relevant
ctrp_BRD-M00053801,0.377,Not Clinically Relevant
ctrp_serdemetan,0.377,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
ctrp_CIL55,0.376,Not Clinically Relevant
ctrp_chlorambucil,0.373,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
ctrp_PLX-4720,0.372,Not Clinically Relevant
ctrp_tipifarnib-P1,0.372,Not Clinically Relevant
ctrp_BRD-K26531177,0.370,Not Clinically Relevant
ctrp_ML239,0.370,Not Clinically Relevant
ctrp_ML050,0.368,Not Clinically Relevant
ctrp_BRD-K88742110,0.368,Not Clinically Relevant
ctrp_tretinoin,0.367,Retinoid
ctrp_CCT036477,0.367,Not Clinically Relevant
gdsc_NPK76-II-72-1,0.366,Not Clinically Relevant
ctrp_16-beta-bromoandrosterone,0.365,Not Clinically Relevant
gdsc_KIN001-266,0.364,Not Clinically Relevant
ctrp_SR1001,0.364,Not Clinically Relevant
ctrp_ML203,0.359,Not Clinically Relevant
ctrp_TG-100-115,0.358,PI3Kγ/δ inhibitor
ctrp_BRD-K13999467,0.358,Not Clinically Relevant
gdsc_Daporinad,0.358,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells"
ctrp_lenvatinib,0.358,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)"
ctrp_compound 1B,0.356,Not Clinically Relevant
ctrp_BRD-K19103580,0.355,Not Clinically Relevant
ctrp_BRD-A71883111,0.354,Not Clinically Relevant
ctrp_IU1,0.354,Not Clinically Relevant
ctrp_epigallocatechin-3-monogallate,0.353,Not Clinically Relevant
ctrp_ABT-199,0.353,Bcl2 inhibitor
ctrp_olaparib,0.352,PARP Inhibitor
ctrp_BRD-K51490254,0.352,Not Clinically Relevant
ctrp_BRD-K51831558,0.351,Not Clinically Relevant
gdsc_TPCA-1,0.350,Not Clinically Relevant
ctrp_CIL41,0.350,Not Clinically Relevant
ctrp_avrainvillamide,0.350,Not Clinically Relevant
ctrp_tacrolimus,0.348,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
ctrp_BRD-K84807411,0.347,Not Clinically Relevant
