,mean_rank,weight
cervix,6.0,3.0
lung carcinoma,23.0,1.0
thyroid gland squamous cell carcinoma,23.0,3.0
adrenal gland,33.0,3.0
small cell lung carcinoma,35.0,88.0
right thigh skin,62.0,2.0
medulloblastoma,64.5,8.0
brain,72.5,16.0
embryonal carcinoma,75.0,1.0
mediastinal lymph node,79.0,1.0
adrenal gland neuroblastoma,87.0,5.0
gastric adenosquamous carcinoma,91.5,2.0
neurofibromatosis type 1,96.0,1.0
ewing sarcoma,98.0,31.0
lung carcinoid tumor,100.0,6.0
prostate carcinoma,108.0,11.0
endometrioid stromal sarcoma,110.0,3.0
not specified,114.0,3.0
supraclavicular lymph node,115.0,3.0
neuroblastoma,119.5,52.0
vertebra,120.0,2.0
liposarcoma,121.0,1.0
multiple endocrine neoplasia type 2,123.0,1.0
hereditary thyroid gland medullary carcinoma,123.0,1.0
embryonal rhabdomyosarcoma,132.0,6.0
squamous papilloma,140.0,1.0
cervical small cell carcinoma,142.0,1.0
osteosarcoma,144.0,23.0
lung mucoepidermoid carcinoma,145.0,3.0
rhabdomyosarcoma,155.5,4.0
bronchogenic carcinoma,160.0,2.0
gastric small cell neuroendocrine carcinoma,162.5,4.0
papillary renal cell carcinoma,163.0,5.0
inguinal lymph node,164.0,3.0
peritoneum,169.0,1.0
mediastinal (thymic) large b-cell lymphoma,171.0,1.0
pancreatic somatostatinoma,172.0,3.0
brca2 syndrome,176.0,1.0
primitive neuroectodermal tumor,179.0,2.0
testicular embryonal carcinoma,185.0,1.0
pharyngeal squamous cell carcinoma,187.0,3.0
pleural biphasic mesothelioma,187.0,7.0
ovarian carcinoma,199.5,6.0
thoracic lymph duct,205.0,1.0
pleural epithelioid mesothelioma,210.5,18.0
duodenal adenocarcinoma,213.0,1.0
groin lymph node,216.0,5.0
pleural sarcomatoid mesothelioma,217.0,8.0
hypopharyngeal squamous cell carcinoma,218.0,5.0
alveolar rhabdomyosarcoma,220.0,9.0
squamous cell lung carcinoma,223.5,48.0
vaginal melanoma,224.0,1.0
adenosquamous lung carcinoma,231.0,9.0
bone marrow,233.0,65.0
supra-orbital region,236.0,1.0
large cell lung carcinoma,236.5,32.0
biphasic synovial sarcoma,238.0,1.0
peritoneal ascites,241.5,2.0
ovarian serous cystadenocarcinoma,244.5,4.0
ovarian leiomyosarcoma,247.0,3.0
high grade ovarian serous adenocarcinoma,247.5,40.0
uterine carcinosarcoma,254.0,2.0
oligodendroglioma,255.0,5.0
bone,257.0,1.0
right anterior leg,258.0,3.0
ovarian mucinous cystadenocarcinoma,258.5,2.0
skin nodule,264.0,1.0
hodgkin lymphoma,266.0,11.0
ovarian granulosa cell tumor,268.0,2.0
myeloid leukemia associated with down syndrome,276.0,1.0
subserosa of fallopian tube,278.0,1.0
glioblastoma,285.5,84.0
melanoma,285.5,94.0
thyroid gland follicular carcinoma,287.0,10.0
lymphoblastic lymphoma,287.0,1.0
ovarian serous adenocarcinoma,288.0,7.0
erythroleukemia,293.0,3.0
left leg muscle,294.0,3.0
right pararenal lymph node,296.5,2.0
thyroid gland undifferentiated (anaplastic) carcinoma,298.0,13.0
"squamous cell breast carcinoma, acantholytic variant",299.0,3.0
lung giant cell carcinoma,301.5,4.0
abdomen,304.0,2.0
cutaneous melanoma,304.0,26.0
subcutaneous,306.0,7.0
pelvic wall,308.0,3.0
salivary gland squamous cell carcinoma,309.0,3.0
abdominal wall,311.5,2.0
endometrial adenosquamous carcinoma,312.5,6.0
minimally invasive lung adenocarcinoma,313.0,16.0
celiac axis lymph node,313.5,2.0
pleural effusion,313.5,224.0
askin tumor,318.0,2.0
vulvar leiomyosarcoma,322.0,3.0
renal cell carcinoma,327.0,37.0
skin,329.0,3.0
plasma cell myeloma,329.0,30.0
childhood acute myeloid leukemia,333.0,2.0
spleen,337.0,3.0
axillary lymph node,338.0,6.0
invasive lobular breast carcinoma,340.0,1.0
burkitt lymphoma,342.0,8.0
benign prostatic hyperplasia,343.0,1.0
breast carcinoma,346.0,27.0
astrocytoma,346.0,19.0
b acute lymphoblastic leukemia with t(v;11q23) kmt2a rearranged,349.0,3.0
ascites,352.0,103.0
endometrial carcinoma,353.0,8.0
gastric carcinoma,355.0,12.0
pancreatic carcinoma,356.5,12.0
human papillomavirus-related endocervical adenocarcinoma,358.0,4.0
lung adenocarcinoma,360.0,145.0
lymph node,366.0,105.0
ovarian endometrioid adenocarcinoma,367.0,11.0
esophageal squamous cell carcinoma,368.0,59.0
bladder carcinoma,370.0,51.0
gastric tubular adenocarcinoma,372.0,11.0
tonsillar squamous cell carcinoma,373.0,1.0
ovarian adenocarcinoma,374.0,5.0
pancreatic adenosquamous carcinoma,374.0,5.0
"invasive ductal carcinoma, not otherwise specified",378.0,30.0
fibrosarcoma,378.0,5.0
mantle cell lymphoma,384.0,6.0
acute myeloid leukemia,384.0,1.0
b-cell prolymphocytic leukemia,384.5,2.0
chronic lymphocytic leukemia,386.0,2.0
b acute lymphoblastic leukemia,386.0,5.0
intrahepatic cholangiocarcinoma,386.5,6.0
epstein-barr virus-related burkitt lymphoma,386.5,10.0
diffuse large b-cell lymphoma germinal center b-cell type,388.0,8.0
uterine corpus sarcoma,389.0,3.0
childhood t acute lymphoblastic leukemia,390.0,19.0
endometrial adenocarcinoma,393.5,34.0
ovarian mucinous adenocarcinoma,395.5,4.0
liver,395.5,32.0
n/a,396.5,34.0
laryngeal squamous cell carcinoma,401.5,12.0
omentum,404.0,7.0
cerebrospinal fluid,405.0,3.0
cutaneous t-cell non-hodgkin lymphoma,406.5,2.0
pancreatic adenocarcinoma,413.0,39.0
b-cell non-hodgkin lymphoma,415.0,7.0
clear cell renal cell carcinoma,418.5,18.0
intraperitoneal,419.0,1.0
undifferentiated pleomorphic sarcoma,419.5,4.0
bladder squamous cell carcinoma,420.0,3.0
small intestine,421.0,1.0
anaplastic large cell lymphoma,421.5,8.0
ovarian clear cell adenocarcinoma,423.0,13.0
adult t acute lymphoblastic leukemia,424.0,5.0
"chronic myelogenous leukemia, bcr-abl1 positive",424.5,16.0
lung,425.0,7.0
ductal breast carcinoma,428.5,32.0
poorly differentiated thyroid gland carcinoma,429.0,3.0
buttock,435.0,2.0
left supraclavicular lymph node,435.5,4.0
adult acute monocytic leukemia,437.0,5.0
peripheral blood,437.0,107.0
diffuse large b-cell lymphoma,437.5,20.0
pancreatic ductal adenocarcinoma,438.0,39.0
obturator lymph node,439.0,3.0
splenic lymphoma with circulating villous lymphocytes,440.0,1.0
hepatocellular carcinoma,444.0,51.0
mucinous gastric adenocarcinoma,446.0,3.0
undifferentiated gallbladder carcinoma,447.0,1.0
chondrosarcoma,450.5,10.0
gastric adenocarcinoma,451.0,26.0
tongue squamous cell carcinoma,454.0,34.0
marek disease,454.0,1.0
amelanotic melanoma,466.0,16.0
breast adenocarcinoma,467.0,23.0
colon adenocarcinoma,470.0,61.0
non-small cell lung carcinoma,473.0,24.0
brachialis muscle,473.0,3.0
myelodysplastic syndrome,474.0,1.0
natural killer cell lymphoblastic leukemia/lymphoma,480.0,1.0
ovarian cystadenocarcinoma,480.0,6.0
pleural malignant mesothelioma,485.0,5.0
cecum adenocarcinoma,485.0,18.0
rhabdoid tumor of the kidney,487.0,3.0
anaplastic astrocytoma,490.0,5.0
malignant ovarian brenner tumor,492.0,1.0
peritoneal effusion,494.0,6.0
thyroid gland sarcoma,496.0,1.0
ampulla of vater adenocarcinoma,499.0,2.0
cervical squamous cell carcinoma,506.0,1.0
ovarian mixed germ cell tumor,512.0,1.0
pericardial effusion,512.5,8.0
gingival squamous cell carcinoma,514.5,2.0
"endometrial endometrioid adenocarcinoma, variant with squamous differentiation",515.5,2.0
hilar cholangiocarcinoma,519.0,1.0
