,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
alectinib,gdsc_Alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.742,,,0.742,,+...,1,175,1.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.6679999999999999,,,0.668,,+...,2,176,2.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.6579999999999999,,,0.658,,+...,3,177,3.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.645,,,0.645,,+...,4,178,4.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.958,...+,674,4,4.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.632,,,0.632,,+...,5,179,5.0
ql-xii-61,gdsc_QL-XII-61,Not Clinically Relevant,0.619,,,0.619,,+...,6,180,6.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.941,...+,675,6,6.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.9279999999999999,...+,676,7,7.0
ql-xi-92,gdsc_QL-XI-92,Not Clinically Relevant,0.578,,,0.578,,+...,8,181,8.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.5660000000000001,,,0.566,,+...,9,182,9.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.5579999999999999,,,0.558,,+...,10,183,10.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,0.894,...+,679,10,10.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.556,,,0.556,,+...,11,184,11.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.888,...+,680,11,11.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.625,0.452,,0.538,,++..,12,185,12.0
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.521,,,0.521,0.84,+..+,14,12,13.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.8290000000000001,...+,682,13,13.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.82,...+,683,14,14.0
xmd14-99,gdsc_XMD14-99,Not Clinically Relevant,0.508,,,0.508,,+...,15,186,15.0
exemestane,cmap_exemestane,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,0.8155,...++,678,15,15.0
mercaptopurine,cmap_mercaptopurine,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT",,,,,0.797,...+,684,16,16.0
barasertib,ctrp_barasertib,highly selective Aurora B kinase inhibitor,,0.45799999999999996,,0.458,0.904,.+.+,23,9,16.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.502,,,0.502,,+...,16,187,16.0
hg-5-88-01,gdsc_HG-5-88-01,Not Clinically Relevant,0.499,,,0.499,,+...,17,188,17.0
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.7829999999999999,...+,685,18,18.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.49,,,0.49,,+...,18,189,18.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.48,,0.48,,.+..,19,190,19.0
ispinesib mesylate,gdsc_Ispinesib Mesylate,Not Clinically Relevant,0.46299999999999997,,,0.463,,+...,20,191,20.0
amsacrine,cmap_amsacrine,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL",,,,,0.772,...+,687,21,21.0
skepinone-l,ctrp_skepinone-L,Not Clinically Relevant,,0.46,,0.46,,.+..,21,192,21.0
brd-k26531177,ctrp_BRD-K26531177,Not Clinically Relevant,,0.46,,0.46,,.+..,22,193,22.0
axitinib,ctrp_axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.501,0.413,,0.457,0.777,++.+,25,20,22.5
formestane,cmap_formestane,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer",,,,,0.7559999999999999,...+,688,23,23.0
indisulam,ctrp_indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.45799999999999996,,0.458,,.+..,24,194,24.0
pirfenidone,cmap_pirfenidone, antifibrotic and anti-inflammatory,,,,,0.7559999999999999,...+,689,24,24.0
escitalopram,cmap_escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI),,,,,0.7490000000000001,...+,690,25,25.0
vemurafenib,cmap_vemurafenib,BRAF (V600E) inhibitor,,,,,0.716,...+,691,27,27.0
gsk319347a,gdsc_GSK319347A,Not Clinically Relevant,0.451,,,0.451,,+...,27,195,27.0
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.44799999999999995,,0.448,,.+..,28,196,28.0
brd-k34485477,ctrp_BRD-K34485477,Not Clinically Relevant,,0.446,,0.446,,.+..,29,197,29.0
