,moa,GDSC,CTRP,CCLE,drug,score,evidence
alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.742,,,gdsc_Alectinib,0.742,+..
tl-2-105,Not Clinically Relevant,0.6679999999999999,,,gdsc_TL-2-105,0.668,+..
sb52334,Not Clinically Relevant,0.6579999999999999,,,gdsc_SB52334,0.658,+..
gsk1070916,Not Clinically Relevant,0.645,,,gdsc_GSK1070916,0.645,+..
gsk429286a,Not Clinically Relevant,0.632,,,gdsc_GSK429286A,0.632,+..
ql-xii-61,Not Clinically Relevant,0.619,,,gdsc_QL-XII-61,0.619,+..
linsitinib,IGF-1R inhibitor,0.6679999999999999,0.49700000000000005,,ctrp_linsitinib,0.582,++.
ql-xi-92,Not Clinically Relevant,0.578,,,gdsc_QL-XI-92,0.578,+..
vx-702,Not Clinically Relevant,0.5660000000000001,,,gdsc_VX-702,0.566,+..
bx-912,Not Clinically Relevant,0.5579999999999999,,,gdsc_BX-912,0.558,+..
gw-2580,Not Clinically Relevant,0.556,,,gdsc_GW-2580,0.556,+..
tubastatin a,Not Clinically Relevant,0.625,0.452,,ctrp_tubastatin A,0.538,++.
rucaparib,"PARP inhibitor, inhibits DNA repair",0.521,,,gdsc_Rucaparib,0.521,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.723,0.319,,ctrp_navitoclax,0.521,++.
xmd14-99,Not Clinically Relevant,0.508,,,gdsc_XMD14-99,0.508,+..
amuvatinib,Not Clinically Relevant,0.502,,,gdsc_Amuvatinib,0.502,+..
hg-5-88-01,Not Clinically Relevant,0.499,,,gdsc_HG-5-88-01,0.499,+..
xmd13-2,Not Clinically Relevant,0.49,,,gdsc_XMD13-2,0.49,+..
avrainvillamide,Not Clinically Relevant,,0.48,,ctrp_avrainvillamide,0.48,.+.
ispinesib mesylate,Not Clinically Relevant,0.46299999999999997,,,gdsc_Ispinesib Mesylate,0.463,+..
skepinone-l,Not Clinically Relevant,,0.46,,ctrp_skepinone-L,0.46,.+.
brd-k26531177,Not Clinically Relevant,,0.46,,ctrp_BRD-K26531177,0.46,.+.
