,mean_rank,weight
lung carcinoma,14.0,1.0
supraclavicular lymph node,28.0,3.0
adrenal gland,29.0,3.0
adrenal gland neuroblastoma,32.0,5.0
pancreatic somatostatinoma,34.0,3.0
small cell lung carcinoma,37.0,88.0
cervix,37.0,3.0
hereditary thyroid gland medullary carcinoma,56.0,1.0
multiple endocrine neoplasia type 2,56.0,1.0
neuroblastoma,59.5,52.0
lung carcinoid tumor,66.0,6.0
endometrioid stromal sarcoma,69.0,3.0
medulloblastoma,69.5,8.0
cervical small cell carcinoma,75.0,1.0
not specified,85.0,3.0
embryonal carcinoma,88.0,1.0
prostate carcinoma,95.0,11.0
brain,101.0,16.0
thyroid gland squamous cell carcinoma,107.0,3.0
gastric small cell neuroendocrine carcinoma,108.5,4.0
vertebra,108.5,2.0
right pararenal lymph node,111.5,2.0
skin nodule,113.0,1.0
testicular embryonal carcinoma,114.0,1.0
ewing sarcoma,116.0,31.0
tonsillar squamous cell carcinoma,117.0,1.0
right thigh skin,121.5,2.0
rhabdomyosarcoma,127.5,4.0
mediastinal lymph node,130.0,1.0
uterine carcinosarcoma,136.0,2.0
embryonal rhabdomyosarcoma,140.5,6.0
ovarian endometrioid adenocarcinoma,145.0,11.0
right anterior leg,147.0,3.0
ovarian carcinoma,154.0,6.0
large cell lung carcinoma,156.5,32.0
myeloid leukemia associated with down syndrome,164.0,1.0
gastric fundus carcinoma,165.0,1.0
squamous papilloma,169.0,1.0
subserosa of fallopian tube,179.0,1.0
brca1 syndrome,180.0,1.0
childhood acute myeloid leukemia with maturation,182.0,1.0
duodenal adenocarcinoma,186.0,1.0
invasive lobular breast carcinoma,191.0,1.0
lung mucoepidermoid carcinoma,193.0,3.0
bone marrow,197.0,65.0
alveolar rhabdomyosarcoma,197.0,9.0
subcutaneous,201.0,7.0
high grade ovarian serous adenocarcinoma,204.0,40.0
bone,214.0,1.0
gastric adenosquamous carcinoma,218.5,2.0
small intestine,220.0,1.0
inguinal lymph node,221.0,3.0
natural killer cell lymphoblastic leukemia/lymphoma,222.0,1.0
oligodendroglioma,222.0,5.0
ovarian granulosa cell tumor,223.0,2.0
pleural epithelioid mesothelioma,223.5,18.0
axillary lymph node,225.5,6.0
papillary renal cell carcinoma,229.0,5.0
"squamous cell breast carcinoma, acantholytic variant",234.0,3.0
endometrial carcinoma,237.5,8.0
ovarian serous adenocarcinoma,241.0,7.0
cutaneous melanoma,242.0,26.0
ovarian leiomyosarcoma,244.0,3.0
vulvar leiomyosarcoma,248.0,3.0
uterine corpus sarcoma,249.0,3.0
neurofibromatosis type 1,253.0,1.0
abdomen,253.5,2.0
pelvic wall,255.0,3.0
primitive neuroectodermal tumor,255.5,2.0
pharyngeal squamous cell carcinoma,256.0,3.0
osteosarcoma,258.0,23.0
salivary gland squamous cell carcinoma,260.0,3.0
brca2 syndrome,261.0,1.0
minimally invasive lung adenocarcinoma,266.0,16.0
anaplastic large cell lymphoma,269.5,8.0
supra-orbital region,274.0,1.0
peritoneal ascites,274.5,2.0
epithelioid cell type gastrointestinal stromal tumor,277.0,3.0
erythroleukemia,279.0,3.0
askin tumor,280.5,2.0
squamous cell lung carcinoma,280.5,48.0
melanoma,281.5,94.0
clear cell renal cell carcinoma,286.0,18.0
cervical lymph node,289.0,5.0
adenosquamous lung carcinoma,291.0,9.0
lymphoma,292.0,1.0
gingival squamous cell carcinoma,294.0,2.0
lung giant cell carcinoma,295.5,4.0
thigh skin,296.0,1.0
undifferentiated gallbladder carcinoma,299.0,1.0
brachialis muscle,304.0,3.0
groin lymph node,304.0,5.0
oral cavity squamous cell carcinoma,306.0,6.0
cervical squamous cell carcinoma,306.0,1.0
rhabdoid tumor of the kidney,309.0,3.0
amelanotic melanoma,313.0,16.0
cervical carcinoma,318.0,2.0
pleural sarcomatoid mesothelioma,319.0,8.0
ovarian adenocarcinoma,320.0,5.0
intrahepatic cholangiocarcinoma,321.0,6.0
breast carcinoma,322.0,27.0
liposarcoma,324.0,1.0
pleural effusion,327.0,224.0
n/a,332.0,34.0
ovarian mucinous cystadenocarcinoma,334.0,2.0
hepatocellular carcinoma,336.0,51.0
abdominal wall,336.5,2.0
renal cell carcinoma,337.0,37.0
hodgkin lymphoma,338.0,11.0
hepatoblastoma,341.5,4.0
vaginal melanoma,342.0,1.0
benign prostatic hyperplasia,343.0,1.0
