drug,score,moa
gdsc_Navitoclax,0.711,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_Alectinib,0.686,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)"
gdsc_Linsitinib,0.658,IGF-1R inhibitor
gdsc_GSK1070916,0.646,Not Clinically Relevant
gdsc_Tubastatin A,0.632,Not Clinically Relevant
gdsc_TL-2-105,0.626,Not Clinically Relevant
gdsc_SB52334,0.625,Not Clinically Relevant
gdsc_QL-XII-61,0.623,Not Clinically Relevant
gdsc_GSK429286A,0.603,Not Clinically Relevant
gdsc_VX-702,0.574,Not Clinically Relevant
gdsc_BX-912,0.541,Not Clinically Relevant
gdsc_Axitinib,0.538,"VEGFR, c-KIT and PDGFR inhibitor"
gdsc_GW-2580,0.510,Not Clinically Relevant
gdsc_Rucaparib,0.503,"PARP inhibitor, inhibits DNA repair"
gdsc_Amuvatinib,0.500,Not Clinically Relevant
gdsc_XMD14-99,0.499,Not Clinically Relevant
gdsc_GSK319347A,0.468,Not Clinically Relevant
ctrp_linsitinib,0.468,IGF-1R inhibitor
ctrp_tubastatin A,0.467,Not Clinically Relevant
gdsc_HG-5-88-01,0.467,Not Clinically Relevant
gdsc_XMD13-2,0.459,Not Clinically Relevant
ctrp_CIL55,0.452,Not Clinically Relevant
ctrp_dabrafenib,0.450,Braf (V600E) inhibitor
ctrp_isoliquiritigenin,0.445,Not Clinically Relevant
ctrp_avrainvillamide,0.444,Not Clinically Relevant
ctrp_sotrastaurin,0.443,pan-PKC inhibitor
ctrp_BRD-K88742110,0.440,Not Clinically Relevant
gdsc_Ispinesib Mesylate,0.435,Not Clinically Relevant
ctrp_CCT036477,0.433,Not Clinically Relevant
ctrp_BRD-K34485477,0.433,Not Clinically Relevant
gdsc_Olaparib,0.430,PARP Inhibitor
ctrp_barasertib,0.430,highly selective Aurora B kinase inhibitor
ctrp_BRD-K99006945,0.425,Not Clinically Relevant
ctrp_BRD-K51490254,0.424,Not Clinically Relevant
ctrp_staurosporine,0.419,Not Clinically Relevant
ctrp_serdemetan,0.418,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
gdsc_Talazoparib,0.418,Not Clinically Relevant
gdsc_SB-505124,0.415,Not Clinically Relevant
ctrp_PRIMA-1-Met,0.414,Not Clinically Relevant
ctrp_BRD-K26531177,0.414,Not Clinically Relevant
ctrp_BMS-195614,0.413,Not Clinically Relevant
ctrp_tretinoin,0.413,Retinoid
ctrp_indisulam,0.411,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2"
ctrp_Compound 7d-cis,0.410,Not Clinically Relevant
ctrp_axitinib,0.409,"VEGFR, c-KIT and PDGFR inhibitor"
ctrp_skepinone-L,0.408,Not Clinically Relevant
ctrp_ABT-737,0.408,Bcl-2/Bcl-xL inhibitor
ctrp_BRD-K13999467,0.406,Not Clinically Relevant
ctrp_ML050,0.405,Not Clinically Relevant
ctrp_BRD-K51831558,0.405,Not Clinically Relevant
ctrp_BRD-K24690302,0.404,Not Clinically Relevant
ctrp_tipifarnib-P1,0.400,Not Clinically Relevant
ctrp_chlorambucil,0.399,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
ctrp_ML239,0.397,Not Clinically Relevant
gdsc_UNC1215,0.397,Not Clinically Relevant
ctrp_olaparib,0.395,PARP Inhibitor
ctrp_BRD-A71883111,0.394,Not Clinically Relevant
ctrp_belinostat,0.394,HDAC inhibitor (PXD101)
ctrp_BRD-M00053801,0.393,Not Clinically Relevant
ctrp_16-beta-bromoandrosterone,0.393,Not Clinically Relevant
ctrp_XL765,0.390,PI3K/mTOR inhibitor
ctrp_PLX-4720,0.389,Not Clinically Relevant
ctrp_BRD-K28456706,0.387,Not Clinically Relevant
ctrp_ELCPK,0.386,Not Clinically Relevant
ctrp_IU1,0.385,Not Clinically Relevant
ctrp_sitagliptin,0.384,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
ctrp_CIL41,0.383,Not Clinically Relevant
gdsc_Cisplatin,0.380,Not Clinically Relevant
ctrp_VX-680,0.380,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C"
ctrp_tacrolimus,0.379,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
ctrp_epigallocatechin-3-monogallate,0.377,Not Clinically Relevant
ctrp_ML203,0.377,Not Clinically Relevant
ctrp_Compound 1541A,0.377,Not Clinically Relevant
ctrp_darinaparsin,0.376,organic arsenic compound composed of dimethylated arsenic linked to glutathione
ctrp_JW-74,0.376,Not Clinically Relevant
ctrp_BRD-K11533227,0.375,Not Clinically Relevant
