,moa,GDSC,CTRP,CCLE,drug,score,evidence
tl-2-105,Not Clinically Relevant,0.61,,,gdsc_TL-2-105,0.61,+..
gsk1070916,Not Clinically Relevant,0.601,,,gdsc_GSK1070916,0.601,+..
sb52334,Not Clinically Relevant,0.584,,,gdsc_SB52334,0.584,+..
gw-2580,Not Clinically Relevant,0.5720000000000001,,,gdsc_GW-2580,0.572,+..
gsk429286a,Not Clinically Relevant,0.546,,,gdsc_GSK429286A,0.546,+..
linsitinib,IGF-1R inhibitor,0.649,0.428,,ctrp_linsitinib,0.538,++.
tubastatin a,Not Clinically Relevant,0.603,0.456,,ctrp_tubastatin A,0.53,++.
vx-702,Not Clinically Relevant,0.521,,,gdsc_VX-702,0.521,+..
bx-912,Not Clinically Relevant,0.506,,,gdsc_BX-912,0.506,+..
rucaparib,"PARP inhibitor, inhibits DNA repair",0.504,,,gdsc_Rucaparib,0.504,+..
gsk319347a,Not Clinically Relevant,0.469,,,gdsc_GSK319347A,0.469,+..
nsc-87877,Not Clinically Relevant,0.465,,,gdsc_NSC-87877,0.465,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.6559999999999999,0.27,,ctrp_navitoclax,0.463,++.
axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.5529999999999999,0.361,,ctrp_axitinib,0.457,++.
amuvatinib,Not Clinically Relevant,0.455,,,gdsc_Amuvatinib,0.455,+..
xmd13-2,Not Clinically Relevant,0.435,,,gdsc_XMD13-2,0.435,+..
staurosporine,Not Clinically Relevant,,0.434,,ctrp_staurosporine,0.434,.+.
avrainvillamide,Not Clinically Relevant,,0.425,,ctrp_avrainvillamide,0.425,.+.
talazoparib,Not Clinically Relevant,0.419,,,gdsc_Talazoparib,0.419,+..
bms-195614,Not Clinically Relevant,,0.418,,ctrp_BMS-195614,0.418,.+.
ispinesib mesylate,Not Clinically Relevant,0.41100000000000003,,,gdsc_Ispinesib Mesylate,0.411,+..
sb-505124,Not Clinically Relevant,0.409,,,gdsc_SB-505124,0.409,+..
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.405,,ctrp_chlorambucil,0.405,.+.
prima-1-met,Not Clinically Relevant,,0.40399999999999997,,ctrp_PRIMA-1-Met,0.404,.+.
abt-737,Bcl-2/Bcl-xL inhibitor,,0.39799999999999996,,ctrp_ABT-737,0.398,.+.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.396,,ctrp_indisulam,0.396,.+.
skepinone-l,Not Clinically Relevant,,0.396,,ctrp_skepinone-L,0.396,.+.
brd-k34485477,Not Clinically Relevant,,0.395,,ctrp_BRD-K34485477,0.395,.+.
ml239,Not Clinically Relevant,,0.39299999999999996,,ctrp_ML239,0.393,.+.
brd-k26531177,Not Clinically Relevant,,0.392,,ctrp_BRD-K26531177,0.392,.+.
isoliquiritigenin,Not Clinically Relevant,,0.392,,ctrp_isoliquiritigenin,0.392,.+.
brd-k99006945,Not Clinically Relevant,,0.389,,ctrp_BRD-K99006945,0.389,.+.
olaparib,PARP Inhibitor,0.418,0.359,,ctrp_olaparib,0.388,++.
brd-k28456706,Not Clinically Relevant,,0.384,,ctrp_BRD-K28456706,0.384,.+.
jw-55,Not Clinically Relevant,,0.382,,ctrp_JW-55,0.382,.+.
xl765,PI3K/mTOR inhibitor,,0.381,,ctrp_XL765,0.381,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.379,,ctrp_barasertib,0.379,.+.
cil55,Not Clinically Relevant,,0.37799999999999995,,ctrp_CIL55,0.378,.+.
ml203,Not Clinically Relevant,,0.377,,ctrp_ML203,0.377,.+.
brd-k49290616,Not Clinically Relevant,,0.376,,ctrp_BRD-K49290616,0.376,.+.
ml050,Not Clinically Relevant,,0.375,,ctrp_ML050,0.375,.+.
tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.374,,ctrp_tacrolimus,0.374,.+.
cil41,Not Clinically Relevant,,0.373,,ctrp_CIL41,0.373,.+.
brd-k13999467,Not Clinically Relevant,,0.373,,ctrp_BRD-K13999467,0.373,.+.
brd-k51831558,Not Clinically Relevant,,0.37200000000000005,,ctrp_BRD-K51831558,0.372,.+.
brd-k29086754,Not Clinically Relevant,,0.371,,ctrp_BRD-K29086754,0.371,.+.
cct036477,Not Clinically Relevant,,0.371,,ctrp_CCT036477,0.371,.+.
brd-k51490254,Not Clinically Relevant,,0.37,,ctrp_BRD-K51490254,0.37,.+.
jw-74,Not Clinically Relevant,,0.37,,ctrp_JW-74,0.37,.+.
brd-a71883111,Not Clinically Relevant,,0.366,,ctrp_BRD-A71883111,0.366,.+.
kin001-270,Not Clinically Relevant,0.365,,,gdsc_KIN001-270,0.365,+..
epigallocatechin-3-monogallate,Not Clinically Relevant,,0.36200000000000004,,ctrp_epigallocatechin-3-monogallate,0.362,.+.
brd-k88742110,Not Clinically Relevant,,0.36,,ctrp_BRD-K88742110,0.36,.+.
16-beta-bromoandrosterone,Not Clinically Relevant,,0.359,,ctrp_16-beta-bromoandrosterone,0.359,.+.
abt-199,Bcl2 inhibitor,,0.355,,ctrp_ABT-199,0.355,.+.
sr1001,Not Clinically Relevant,,0.355,,ctrp_SR1001,0.355,.+.
cisplatin,Not Clinically Relevant,0.355,,,gdsc_Cisplatin,0.355,+..
darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.355,,ctrp_darinaparsin,0.355,.+.
bms-270394,Not Clinically Relevant,,0.355,,ctrp_BMS-270394,0.355,.+.
sz4ta2,Not Clinically Relevant,,0.35200000000000004,,ctrp_SZ4TA2,0.352,.+.
compound 1b,Not Clinically Relevant,,0.35200000000000004,,ctrp_compound 1B,0.352,.+.
foretinib,c-Met/VEGFR2 inhibitor,,0.35200000000000004,,ctrp_foretinib,0.352,.+.
brd-m00053801,Not Clinically Relevant,,0.35200000000000004,,ctrp_BRD-M00053801,0.352,.+.
rg-108,Not Clinically Relevant,,0.35100000000000003,,ctrp_RG-108,0.351,.+.
brd-k42260513,Not Clinically Relevant,,0.35100000000000003,,ctrp_BRD-K42260513,0.351,.+.
cay10576,Not Clinically Relevant,,0.35100000000000003,,ctrp_CAY10576,0.351,.+.
mdivi-1,Not Clinically Relevant,,0.349,,ctrp_Mdivi-1,0.349,.+.
iu1,Not Clinically Relevant,,0.349,,ctrp_IU1,0.349,.+.
brd1835,Not Clinically Relevant,,0.349,,ctrp_BRD1835,0.349,.+.
brd-k24690302,Not Clinically Relevant,,0.349,,ctrp_BRD-K24690302,0.349,.+.
968,Not Clinically Relevant,,0.348,,ctrp_968,0.348,.+.
brd-k44224150,Not Clinically Relevant,,0.34700000000000003,,ctrp_BRD-K44224150,0.347,.+.
brd-k84807411,Not Clinically Relevant,,0.34600000000000003,,ctrp_BRD-K84807411,0.346,.+.
tipifarnib-p1,Not Clinically Relevant,,0.345,,ctrp_tipifarnib-P1,0.345,.+.
alisertib,Aurora A kinase inhibitor,,0.344,,ctrp_alisertib,0.344,.+.
lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.344,,ctrp_lenvatinib,0.344,.+.
elcpk,Not Clinically Relevant,,0.34299999999999997,,ctrp_ELCPK,0.343,.+.
ac55649,Not Clinically Relevant,,0.34299999999999997,,ctrp_AC55649,0.343,.+.
compound 7d-cis,Not Clinically Relevant,,0.34299999999999997,,ctrp_Compound 7d-cis,0.343,.+.
sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.34299999999999997,,ctrp_sitagliptin,0.343,.+.
fgin-1-27,Not Clinically Relevant,,0.342,,ctrp_FGIN-1-27,0.342,.+.
compound 1541a,Not Clinically Relevant,,0.341,,ctrp_Compound 1541A,0.341,.+.
sb-431542,Not Clinically Relevant,,0.341,,ctrp_SB-431542,0.341,.+.
kw-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.34,,ctrp_KW-2449,0.34,.+.
tg-100-115,PI3Kγ/δ inhibitor,,0.33899999999999997,,ctrp_TG-100-115,0.339,.+.
necrostatin-7,Not Clinically Relevant,,0.33799999999999997,,ctrp_necrostatin-7,0.338,.+.
azd1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.336,,ctrp_AZD1480,0.336,.+.
npk76-ii-72-1,Not Clinically Relevant,0.336,,,gdsc_NPK76-II-72-1,0.336,+..
nsc23766,Not Clinically Relevant,,0.33299999999999996,,ctrp_NSC23766,0.333,.+.
nsc19630,Not Clinically Relevant,,0.32899999999999996,,ctrp_NSC19630,0.329,.+.
fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.32899999999999996,,ctrp_fingolimod,0.329,.+.
tacedinaline,Not Clinically Relevant,,0.32799999999999996,,ctrp_tacedinaline,0.328,.+.
lomeguatrib,"Inhibitor of MGMT, a DNA repair protein that confers resistance to alkylating agents such as Temozolomide, DTIC, Carmustine, etc. ",,0.32799999999999996,,ctrp_lomeguatrib,0.328,.+.
pf-4800567 hydrochloride,Not Clinically Relevant,,0.32799999999999996,,ctrp_PF-4800567 hydrochloride,0.328,.+.
nsc30930,Not Clinically Relevant,,0.327,,ctrp_NSC30930,0.327,.+.
nsc 74859,Not Clinically Relevant,,0.327,,ctrp_NSC 74859,0.327,.+.
pf-184,Not Clinically Relevant,,0.327,,ctrp_PF-184,0.327,.+.
itraconazole,"Anti-fungal, hedgehog antagonist",,0.326,,ctrp_itraconazole,0.326,.+.
at-406,Not Clinically Relevant,,0.326,,ctrp_AT-406,0.326,.+.
necrostatin-1,Not Clinically Relevant,,0.324,,ctrp_necrostatin-1,0.324,.+.
mst-312,Not Clinically Relevant,,0.32299999999999995,,ctrp_MST-312,0.323,.+.
px-12,thioredoxin-1 (Trx-1) inhibitor,,0.32299999999999995,,ctrp_PX-12,0.323,.+.
ly-2157299,Not Clinically Relevant,,0.322,,ctrp_LY-2157299,0.322,.+.
vx-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.322,,ctrp_VX-680,0.322,.+.
brd6340,Not Clinically Relevant,,0.322,,ctrp_BRD6340,0.322,.+.
elocalcitol,vitamin D receptor agonist,,0.321,,ctrp_elocalcitol,0.321,.+.
mgcd-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.321,,ctrp_MGCD-265,0.321,.+.
brd-k92856060,Not Clinically Relevant,,0.32,,ctrp_BRD-K92856060,0.32,.+.
ski-ii,Not Clinically Relevant,,0.32,,ctrp_SKI-II,0.32,.+.
ml162,Not Clinically Relevant,,0.32,,ctrp_ML162,0.32,.+.
ceranib-2,Not Clinically Relevant,,0.319,,ctrp_ceranib-2,0.319,.+.
cil70,Not Clinically Relevant,,0.318,,ctrp_CIL70,0.318,.+.
cediranib,VEGFR inhibitor,,0.318,,ctrp_cediranib,0.318,.+.
ki8751,Not Clinically Relevant,,0.318,,ctrp_Ki8751,0.318,.+.
brd-k11533227,Not Clinically Relevant,,0.317,,ctrp_BRD-K11533227,0.317,.+.
bms-754807,Not Clinically Relevant,0.311,0.321,,gdsc_BMS-754807,0.316,++.
bibr-1532,Not Clinically Relevant,,0.316,,ctrp_BIBR-1532,0.316,.+.
bendamustine,alkylating agent,,0.316,,ctrp_bendamustine,0.316,.+.
isoevodiamine,Not Clinically Relevant,,0.315,,ctrp_isoevodiamine,0.315,.+.
nintedanib,"tyrosine-kinase inhibitor, targeting VEGFR, FGFR and PDGFR",,0.315,,ctrp_nintedanib,0.315,.+.
kpt185,Not Clinically Relevant,,0.315,,ctrp_KPT185,0.315,.+.
azd4547,"FGFR-1,2 and 3 inhibitor",,0.314,,ctrp_AZD4547,0.314,.+.
brd-k90370028,Not Clinically Relevant,,0.314,,ctrp_BRD-K90370028,0.314,.+.
sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.314,,ctrp_sildenafil,0.314,.+.
cyclophosphamide,"alkylating agent, nitrogen mustard family, works by disrupting the duplication of DNA and the creation of RNA (Cytoxan)",,0.313,,ctrp_cyclophosphamide,0.313,.+.
brd8899,Not Clinically Relevant,,0.312,,ctrp_BRD8899,0.312,.+.
nsc48300,Not Clinically Relevant,,0.312,,ctrp_NSC48300,0.312,.+.
byl-719,PI3Kα inhibitor with minimal effect on PI3Kβ/γ/δ,,0.311,,ctrp_BYL-719,0.311,.+.
nsc-207895,Not Clinically Relevant,0.311,,,gdsc_NSC-207895,0.311,+..
cytarabine hydrochloride,Not Clinically Relevant,,0.311,,ctrp_cytarabine hydrochloride,0.311,.+.
apicidin,Not Clinically Relevant,,0.31,,ctrp_apicidin,0.31,.+.
sb-225002,Not Clinically Relevant,,0.309,,ctrp_SB-225002,0.309,.+.
nsc95397,Not Clinically Relevant,,0.308,,ctrp_NSC95397,0.308,.+.
ly-2183240,Not Clinically Relevant,,0.307,,ctrp_LY-2183240,0.307,.+.
sgx-523, Met inhibitor,,0.306,,ctrp_SGX-523,0.306,.+.
omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.305,,ctrp_omacetaxine mepesuccinate,0.305,.+.
jw-480,Not Clinically Relevant,,0.305,,ctrp_JW-480,0.305,.+.
su11274,Not Clinically Relevant,,0.305,,ctrp_SU11274,0.305,.+.
lbh-589,HDAC inhibitor,,0.305,,ctrp_LBH-589,0.305,.+.
nvp-adw742,Not Clinically Relevant,,0.304,,ctrp_NVP-ADW742,0.304,.+.
sn-38,"Topo I inhibitor, active metabolite of irinotecan but 1000 times more active",0.316,0.289,,ctrp_SN-38,0.302,++.
plx-4032,BRAF (V600E) inhibitor,,0.302,,ctrp_PLX-4032,0.302,.+.
ym201636,Not Clinically Relevant,0.301,,,gdsc_YM201636,0.301,+..
brd-k16147474,Not Clinically Relevant,,0.301,,ctrp_BRD-K16147474,0.301,.+.
brd-k75293299,Not Clinically Relevant,,0.301,,ctrp_BRD-K75293299,0.301,.+.
pyr-41,Not Clinically Relevant,,0.3,,ctrp_PYR-41,0.3,.+.
pitstop2,Not Clinically Relevant,,0.299,,ctrp_pitstop2,0.299,.+.
brd-k37390332,Not Clinically Relevant,,0.299,,ctrp_BRD-K37390332,0.299,.+.
brd-k80183349,Not Clinically Relevant,,0.299,,ctrp_BRD-K80183349,0.299,.+.
pdmp,Not Clinically Relevant,,0.299,,ctrp_PDMP,0.299,.+.
pifithrin-mu,Not Clinically Relevant,,0.299,,ctrp_pifithrin-mu,0.299,.+.
pandacostat,Not Clinically Relevant,,0.298,,ctrp_pandacostat,0.298,.+.
brd-k02251932,Not Clinically Relevant,,0.298,,ctrp_BRD-K02251932,0.298,.+.
erastin,Not Clinically Relevant,,0.298,,ctrp_erastin,0.298,.+.
qs-11,Not Clinically Relevant,,0.298,,ctrp_QS-11,0.298,.+.
importazole,Not Clinically Relevant,,0.297,,ctrp_importazole,0.297,.+.
gw-843682x,Not Clinically Relevant,,0.297,,ctrp_GW-843682X,0.297,.+.
ml083,Not Clinically Relevant,,0.297,,ctrp_ML083,0.297,.+.
bix-01294,Not Clinically Relevant,,0.29600000000000004,,ctrp_BIX-01294,0.296,.+.
myriocin,Not Clinically Relevant,,0.295,,ctrp_myriocin,0.295,.+.
gmx-1778,Not Clinically Relevant,,0.295,,ctrp_GMX-1778,0.295,.+.
brd-k61166597,Not Clinically Relevant,,0.294,,ctrp_BRD-K61166597,0.294,.+.
sb-525334,Not Clinically Relevant,,0.294,,ctrp_SB-525334,0.294,.+.
brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.294,,ctrp_brivanib,0.294,.+.
necrosulfonamide,Not Clinically Relevant,,0.294,,ctrp_necrosulfonamide,0.294,.+.
semagacestat,Notch (gamma secretase) inhibitor,,0.294,,ctrp_semagacestat,0.294,.+.
belinostat,HDAC inhibitor (PXD101),0.24600000000000002,0.341,,gdsc_Belinostat,0.294,++.
