drug,score,moa
gdsc_Alectinib,0.703,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)"
gdsc_Navitoclax,0.677,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_GSK1070916,0.632,Not Clinically Relevant
gdsc_Linsitinib,0.626,IGF-1R inhibitor
gdsc_Quizartinib,0.624,Flt3 inhibitor
gdsc_Tubastatin A,0.608,Not Clinically Relevant
gdsc_SB52334,0.607,Not Clinically Relevant
gdsc_VX-702,0.607,Not Clinically Relevant
gdsc_TL-2-105,0.594,Not Clinically Relevant
gdsc_QL-XII-61,0.593,Not Clinically Relevant
gdsc_GSK429286A,0.583,Not Clinically Relevant
gdsc_Tretinoin,0.570,Retinoid
gdsc_BX-912,0.549,Not Clinically Relevant
gdsc_QL-XI-92,0.548,Not Clinically Relevant
gdsc_GW-2580,0.535,Not Clinically Relevant
gdsc_Rucaparib,0.528,"PARP inhibitor, inhibits DNA repair"
gdsc_Axitinib,0.522,"VEGFR, c-KIT and PDGFR inhibitor"
gdsc_Y-39983,0.516,Not Clinically Relevant
gdsc_Amuvatinib,0.495,Not Clinically Relevant
ctrp_linsitinib,0.484,IGF-1R inhibitor
ctrp_avrainvillamide,0.480,Not Clinically Relevant
gdsc_HG-5-88-01,0.472,Not Clinically Relevant
ctrp_tretinoin,0.470,Retinoid
gdsc_XMD14-99,0.470,Not Clinically Relevant
ctrp_barasertib,0.464,highly selective Aurora B kinase inhibitor
gdsc_XMD13-2,0.462,Not Clinically Relevant
gdsc_Ispinesib Mesylate,0.460,Not Clinically Relevant
ctrp_indisulam,0.459,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2"
gdsc_GSK319347A,0.457,Not Clinically Relevant
ctrp_sotrastaurin,0.454,pan-PKC inhibitor
ctrp_staurosporine,0.451,Not Clinically Relevant
ctrp_tubastatin A,0.447,Not Clinically Relevant
gdsc_Masitinib,0.446,"tyrosine-kinase inhibitor used in the treatment of mast cell tumors in animals, specifically dogs"
gdsc_SB-505124,0.439,Not Clinically Relevant
ctrp_CCT036477,0.437,Not Clinically Relevant
ctrp_ABT-737,0.435,Bcl-2/Bcl-xL inhibitor
ctrp_chlorambucil,0.433,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
ctrp_BRD-K28456706,0.432,Not Clinically Relevant
ctrp_serdemetan,0.431,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
ctrp_ML239,0.431,Not Clinically Relevant
ctrp_belinostat,0.429,HDAC inhibitor (PXD101)
ctrp_BRD-K26531177,0.428,Not Clinically Relevant
ctrp_BRD-A71883111,0.427,Not Clinically Relevant
ctrp_BMS-195614,0.424,Not Clinically Relevant
ctrp_PF-4800567 hydrochloride,0.422,Not Clinically Relevant
ctrp_olaparib,0.422,PARP Inhibitor
ctrp_IU1,0.420,Not Clinically Relevant
ctrp_skepinone-L,0.419,Not Clinically Relevant
ctrp_alisertib,0.419,Aurora A kinase inhibitor
ctrp_XL765,0.418,PI3K/mTOR inhibitor
ctrp_ML050,0.418,Not Clinically Relevant
ctrp_tacrolimus,0.415,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
gdsc_Olaparib,0.415,PARP Inhibitor
ctrp_tipifarnib-P1,0.414,Not Clinically Relevant
ctrp_Compound 7d-cis,0.414,Not Clinically Relevant
ctrp_JW-74,0.414,Not Clinically Relevant
ctrp_BRD-K51490254,0.413,Not Clinically Relevant
ctrp_BRD-K42260513,0.409,Not Clinically Relevant
gdsc_Talazoparib,0.409,Not Clinically Relevant
ctrp_SR1001,0.406,Not Clinically Relevant
ctrp_BRD-K34485477,0.405,Not Clinically Relevant
ctrp_BRD-M00053801,0.405,Not Clinically Relevant
ctrp_KW-2449,0.405,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;"
ctrp_epigallocatechin-3-monogallate,0.402,Not Clinically Relevant
ctrp_axitinib,0.402,"VEGFR, c-KIT and PDGFR inhibitor"
ctrp_tamoxifen,0.401,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
ctrp_CIL55,0.401,Not Clinically Relevant
ctrp_RG-108,0.400,Not Clinically Relevant
ctrp_BRD-K51831558,0.400,Not Clinically Relevant
ctrp_foretinib,0.399,c-Met/VEGFR2 inhibitor
ctrp_KPT185,0.397,Not Clinically Relevant
ctrp_BRD-K88742110,0.397,Not Clinically Relevant
ctrp_BRD-K13999467,0.396,Not Clinically Relevant
ctrp_BRD-K49290616,0.396,Not Clinically Relevant
ctrp_necrostatin-7,0.395,Not Clinically Relevant
ctrp_16-beta-bromoandrosterone,0.393,Not Clinically Relevant
ctrp_BRD-K29313308,0.391,Not Clinically Relevant
gdsc_NPK76-II-72-1,0.389,Not Clinically Relevant
gdsc_KIN001-266,0.388,Not Clinically Relevant
ctrp_PRIMA-1-Met,0.387,Not Clinically Relevant
ctrp_ML203,0.386,Not Clinically Relevant
ctrp_BMS-270394,0.386,Not Clinically Relevant
ctrp_NSC23766,0.384,Not Clinically Relevant
ctrp_Repligen 136,0.384,Not Clinically Relevant
ctrp_cytarabine hydrochloride,0.382,Not Clinically Relevant
ctrp_BIBR-1532,0.379,Not Clinically Relevant
ctrp_VX-680,0.379,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C"
ctrp_PX-12,0.379,thioredoxin-1 (Trx-1) inhibitor
ctrp_ceranib-2,0.379,Not Clinically Relevant
ctrp_AC55649,0.378,Not Clinically Relevant
ctrp_SB-431542,0.378,Not Clinically Relevant
ctrp_GMX-1778,0.377,Not Clinically Relevant
ctrp_LY-2183240,0.377,Not Clinically Relevant
gdsc_TPCA-1,0.377,Not Clinically Relevant
gdsc_BMS-536924,0.375,Not Clinically Relevant
ctrp_MST-312,0.374,Not Clinically Relevant
ctrp_SKI-II,0.374,Not Clinically Relevant
gdsc_Daporinad,0.374,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells"
ctrp_elocalcitol,0.374,vitamin D receptor agonist
ctrp_BRD1835,0.372,Not Clinically Relevant
ctrp_NSC19630,0.372,Not Clinically Relevant
ctrp_isoliquiritigenin,0.370,Not Clinically Relevant
ctrp_NSC30930,0.370,Not Clinically Relevant
ctrp_itraconazole,0.369,"Anti-fungal, hedgehog antagonist"
ctrp_NSC 74859,0.368,Not Clinically Relevant
ctrp_BRD-K24690302,0.368,Not Clinically Relevant
ctrp_BMS-754807,0.368,Not Clinically Relevant
ctrp_Ki8751,0.368,Not Clinically Relevant
gdsc_BMS-345541,0.367,Not Clinically Relevant
ctrp_tacedinaline,0.367,Not Clinically Relevant
gdsc_Vorinostat,0.367,HDAC inhibitor (SAHA)
ctrp_ELCPK,0.366,Not Clinically Relevant
ctrp_BRD-K19103580,0.366,Not Clinically Relevant
gdsc_KIN001-270,0.366,Not Clinically Relevant
ctrp_fingolimod,0.366,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis"
ctrp_SB-225002,0.365,Not Clinically Relevant
