,mean_rank,weight
cervix,10.0,3.0
adrenal gland neuroblastoma,15.0,5.0
adrenal gland,31.0,3.0
neuroblastoma,37.0,52.0
endometrioid stromal sarcoma,44.0,3.0
small cell lung carcinoma,45.5,88.0
right pararenal lymph node,47.0,2.0
lung carcinoma,48.0,1.0
medulloblastoma,48.5,8.0
pancreatic somatostatinoma,49.0,3.0
cervical small cell carcinoma,52.0,1.0
vertebra,58.5,2.0
supraclavicular lymph node,63.0,3.0
supra-orbital region,64.0,1.0
testicular embryonal carcinoma,66.0,1.0
hereditary thyroid gland medullary carcinoma,70.0,1.0
multiple endocrine neoplasia type 2,70.0,1.0
prostate carcinoma,71.0,11.0
"squamous cell breast carcinoma, acantholytic variant",76.0,3.0
thyroid gland squamous cell carcinoma,81.0,3.0
embryonal carcinoma,82.0,1.0
gastric small cell neuroendocrine carcinoma,93.0,4.0
lung carcinoid tumor,101.5,6.0
pharyngeal squamous cell carcinoma,106.0,3.0
large cell lung carcinoma,107.5,32.0
mediastinal lymph node,112.0,1.0
brain,116.5,16.0
right thigh skin,118.0,2.0
ewing sarcoma,118.0,31.0
rhabdomyosarcoma,121.0,4.0
salivary gland squamous cell carcinoma,121.0,3.0
skin nodule,125.0,1.0
"childhood chronic myelogenous leukemia, bcr-abl1 positive",132.0,2.0
tonsillar squamous cell carcinoma,134.0,1.0
lung giant cell carcinoma,137.5,4.0
subserosa of fallopian tube,149.0,1.0
high grade ovarian serous adenocarcinoma,163.0,40.0
myeloid leukemia associated with down syndrome,172.0,1.0
bone marrow,178.0,65.0
not specified,179.0,3.0
cervical carcinoma,181.0,2.0
alveolar rhabdomyosarcoma,191.0,9.0
hypopharyngeal squamous cell carcinoma,193.0,5.0
endometrial carcinoma,194.5,8.0
minimally invasive lung adenocarcinoma,203.0,16.0
abdomen,203.5,2.0
brca1 syndrome,204.0,1.0
cervical squamous cell carcinoma,210.0,1.0
bronchogenic carcinoma,212.5,2.0
ovarian carcinoma,213.5,6.0
liposarcoma,219.0,1.0
ovarian serous cystadenocarcinoma,219.0,4.0
ovarian endometrioid adenocarcinoma,221.0,11.0
ovarian granulosa cell tumor,222.0,2.0
askin tumor,222.5,2.0
squamous cell lung carcinoma,230.5,48.0
brca2 syndrome,232.0,1.0
epithelioid cell type gastrointestinal stromal tumor,232.0,3.0
lung mucoepidermoid carcinoma,233.0,3.0
abdominal wall,238.5,2.0
biphasic synovial sarcoma,241.0,1.0
embryonal rhabdomyosarcoma,243.5,6.0
gastric adenosquamous carcinoma,244.0,2.0
uterine carcinosarcoma,244.0,2.0
primitive neuroectodermal tumor,248.5,2.0
burkitt lymphoma,251.0,8.0
osteosarcoma,255.0,23.0
esophageal squamous cell carcinoma,258.0,59.0
papillary renal cell carcinoma,258.0,5.0
pyriform fossa squamous cell carcinoma,259.0,1.0
skin squamous cell carcinoma,261.0,1.0
cervical lymph node,270.0,5.0
adenosquamous lung carcinoma,281.0,9.0
duodenal adenocarcinoma,288.0,1.0
adult b acute lymphoblastic leukemia,289.0,3.0
intraperitoneal,289.0,1.0
mucinous gastric adenocarcinoma,289.0,3.0
mandible,291.0,1.0
lung adenocarcinoma,300.0,145.0
recurrent bladder carcinoma,301.0,3.0
childhood acute myeloid leukemia with maturation,303.0,1.0
intrahepatic cholangiocarcinoma,305.5,6.0
pleural effusion,307.5,224.0
uterine corpus sarcoma,309.0,3.0
ovarian serous adenocarcinoma,312.0,7.0
ascites,312.0,103.0
bladder squamous cell carcinoma,314.0,3.0
gastric fundus carcinoma,319.0,1.0
endometrial adenosquamous carcinoma,319.5,6.0
poorly differentiated thyroid gland carcinoma,323.0,3.0
gastric carcinoma,323.5,12.0
erythroleukemia,324.0,3.0
hodgkin lymphoma,325.0,11.0
tongue squamous cell carcinoma,329.0,34.0
lymph node,332.0,105.0
plasma cell myeloma,334.5,30.0
ovarian adenocarcinoma,335.0,5.0
adult t acute lymphoblastic leukemia,341.0,5.0
malignant ovarian brenner tumor,342.0,1.0
right anterior leg,345.0,3.0
laryngeal squamous cell carcinoma,346.0,12.0
omentum,347.0,7.0
gastric choriocarcinoma,347.0,1.0
lung,348.0,7.0
diffuse large b-cell lymphoma germinal center b-cell type,348.5,8.0
undifferentiated gallbladder carcinoma,349.0,1.0
spleen,354.0,3.0
peritoneal effusion,354.0,6.0
ovarian leiomyosarcoma,355.0,3.0
rhabdoid tumor of the kidney,357.0,3.0
peritoneal ascites,357.0,2.0
pleural biphasic mesothelioma,359.0,7.0
ductal breast carcinoma,359.0,32.0
oral cavity squamous cell carcinoma,362.0,6.0
breast carcinoma,364.0,27.0
invasive lobular breast carcinoma,366.0,1.0
gastric tubular adenocarcinoma,369.0,11.0
cerebrospinal fluid,373.0,3.0
human papillomavirus-related endocervical adenocarcinoma,373.5,4.0
lymphoblastic lymphoma,378.0,1.0
breast adenocarcinoma,378.0,23.0
ovarian mucinous adenocarcinoma,378.0,4.0
oligodendroglioma,379.0,5.0
esophageal adenocarcinoma,380.0,9.0
neurofibromatosis type 1,380.0,1.0
squamous papilloma,381.0,1.0
gingival squamous cell carcinoma,381.0,2.0
hepatocellular carcinoma,383.0,51.0
mantle cell lymphoma,384.5,6.0
pancreatic adenocarcinoma,385.0,39.0
subcutaneous,385.0,7.0
small intestine,392.0,1.0
"invasive ductal carcinoma, not otherwise specified",392.0,30.0
skin,393.0,3.0
marek disease,393.0,1.0
bladder carcinoma,394.0,51.0
epstein-barr virus-related burkitt lymphoma,396.5,10.0
pleural sarcomatoid mesothelioma,397.0,8.0
liver,397.5,32.0
human papillomavirus-related cervical squamous cell carcinoma,398.5,8.0
peritoneum,399.0,1.0
anaplastic large cell lymphoma,400.0,8.0
natural killer cell lymphoblastic leukemia/lymphoma,401.0,1.0
adult acute monocytic leukemia,404.0,5.0
n/a,405.5,34.0
chronic lymphocytic leukemia,406.0,2.0
non-small cell lung carcinoma,410.0,24.0
