,mean_rank,weight
cervix,6.0,3.0
adrenal gland neuroblastoma,15.0,5.0
adrenal gland,22.0,3.0
vertebra,39.0,2.0
neuroblastoma,44.0,52.0
cervical small cell carcinoma,44.0,1.0
lung carcinoma,46.0,1.0
pancreatic somatostatinoma,47.0,3.0
small cell lung carcinoma,50.5,88.0
right pararenal lymph node,52.5,2.0
prostate carcinoma,59.0,11.0
medulloblastoma,62.5,8.0
embryonal carcinoma,63.0,1.0
endometrioid stromal sarcoma,65.0,3.0
testicular embryonal carcinoma,76.0,1.0
primitive neuroectodermal tumor,82.5,2.0
endometrial carcinoma,95.0,8.0
large cell lung carcinoma,96.0,32.0
gastric adenosquamous carcinoma,96.5,2.0
hereditary thyroid gland medullary carcinoma,102.0,1.0
multiple endocrine neoplasia type 2,102.0,1.0
brain,108.5,16.0
lung carcinoid tumor,110.5,6.0
abdomen,112.5,2.0
"squamous cell breast carcinoma, acantholytic variant",118.0,3.0
gastric small cell neuroendocrine carcinoma,118.5,4.0
skin nodule,120.0,1.0
rhabdoid tumor of the kidney,124.0,3.0
high grade ovarian serous adenocarcinoma,124.5,40.0
lung mucoepidermoid carcinoma,126.0,3.0
not specified,127.0,3.0
myeloid leukemia associated with down syndrome,132.0,1.0
supraclavicular lymph node,132.0,3.0
rhabdomyosarcoma,134.0,4.0
peritoneal ascites,137.0,2.0
thyroid gland squamous cell carcinoma,140.0,3.0
mediastinal lymph node,149.0,1.0
subserosa of fallopian tube,153.0,1.0
ovarian endometrioid adenocarcinoma,155.0,11.0
ewing sarcoma,161.0,31.0
salivary gland squamous cell carcinoma,161.0,3.0
right thigh skin,167.0,2.0
endometrial adenosquamous carcinoma,173.0,6.0
erythroleukemia,174.0,3.0
adrenal cortex carcinoma,176.0,1.0
cervical squamous cell carcinoma,180.0,1.0
embryonal rhabdomyosarcoma,180.5,6.0
uterine carcinosarcoma,183.0,2.0
ovarian carcinoma,187.0,6.0
papillary renal cell carcinoma,198.0,5.0
invasive lobular breast carcinoma,199.0,1.0
gastric fundus carcinoma,203.0,1.0
brca1 syndrome,205.0,1.0
ovarian serous adenocarcinoma,213.0,7.0
osteosarcoma,216.0,23.0
ovarian leiomyosarcoma,217.0,3.0
"childhood chronic myelogenous leukemia, bcr-abl1 positive",219.0,2.0
bronchogenic carcinoma,226.5,2.0
alveolar rhabdomyosarcoma,228.0,9.0
mucinous gastric adenocarcinoma,234.0,3.0
squamous cell lung carcinoma,237.0,48.0
undifferentiated gallbladder carcinoma,245.0,1.0
bone marrow,247.0,65.0
burkitt lymphoma,247.0,8.0
childhood acute myeloid leukemia with maturation,250.0,1.0
malignant ovarian brenner tumor,251.0,1.0
ovarian serous cystadenocarcinoma,258.5,4.0
lymphoma,263.0,1.0
lung giant cell carcinoma,264.5,4.0
pharyngeal squamous cell carcinoma,271.0,3.0
childhood t acute lymphoblastic leukemia,272.0,19.0
liposarcoma,273.0,1.0
spleen,275.0,3.0
chronic lymphocytic leukemia,275.0,2.0
ovarian adenocarcinoma,277.0,5.0
thyroid gland follicular carcinoma,280.5,10.0
abdominal wall,288.0,2.0
oligodendroglioma,289.0,5.0
tonsillar squamous cell carcinoma,291.0,1.0
omentum,292.0,7.0
pyriform fossa squamous cell carcinoma,294.0,1.0
