drug,score,moa
formestane,0.982,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer"
vinorelbine,0.980,disrupts microtubule dynamics; natural product
sitagliptin,0.975,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
alisertib,0.972,Aurora A kinase inhibitor
lenalidomide,0.968,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
GSK-461364,0.959,"Plk1 inhibitor, less active against Plk2 and Plk3."
tretinoin,0.956,Retinoid
barasertib,0.955,highly selective Aurora B kinase inhibitor
tacrolimus,0.951,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
ON-01910,0.935,"ON-01910, Plk-1 inhibitor"
sunitinib,0.934,"VEGFR2, PDGFRb and c-kit inhibitor; also inhibits FLT3"
hydrocortisone,0.924,Anti-inflammatory
raltitrexed,0.924,"antimetabolite,  inhibitor of thymidylate synthase"
temozolomide,0.924,alkylating agent
toremifene,0.917,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
ABT-737,0.912,Bcl-2/Bcl-xL inhibitor
docetaxel,0.904,inhibits microtubule dynamics; semi-synthetic analogue of paclitaxel
axitinib,0.902,"VEGFR, c-KIT and PDGFR inhibitor"
etoposide,0.900,Topo II inhibitor
cimetidine,0.898,(Tagamet) Antacid and antihistamine
idarubicin,0.888,"Topo II inhibitor, intercalates into DNA, anthracycline"
TG100-115,0.880,PI3Kγ/δ inhibitor
iobenguane,0.878,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
vinorelbine,0.866,disrupts microtubule dynamics; natural product
dexamethasone,0.863,"synthetic corticosteroid, used to reduce inflammation"
lapatinib,0.862,HER2/EGFR inhibitor
sorafenib,0.848,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
megestrol,0.845,steroidal progestin used in the treatment of breast and endometrial cancer
tandutinib,0.824,"FLT3 antagonist, also inhibits PDGFR and c-Kit, "
hydrocortisone,0.811,Anti-inflammatory
cladribine,0.809,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
canertinib,0.775,"pan-ErbB inhibitor for EGFR and ErbB2,  no activity to PDGFR, FGFR, InsR, PKC, or CDK1/2/4. "
tamoxifen,0.767,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
TG-101348,0.759,JAK2 inhibitor
sildenafil,0.749,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
bosutinib,0.732,"BCR-Abl, Src, Lyn and Hck inhibitor"
anagrelide,0.725,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML"
thiotepa,0.717,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
teniposide,0.713,Topo II inhibitor
irinotecan,0.694,"aka CPT-11, inhibitor of Topo I"
altretamine,0.686,alkylating antineoplastic agent
vinblastine,0.666,"disrupts microtubule dynamics; vinca alkaloid, chemical analogue of vincristine"
crizotinib,0.653,"ALK, ROS1 and MET inhibitor"
dexamethasone,0.651,"synthetic corticosteroid, used to reduce inflammation"
methoxsalen,0.640,used for skin diseases such as vitiligo and psoriasis
nilotinib,0.628,"inhibits the kinases BCR-ABL,[26] KIT, LCK, EPHA3, EPHA8, DDR1, DDR2, PDGFRB, MAPK11 and ZAK"
methotrexate,0.627,"antimetabolite, competitively inhibits dihydrofolate reductase (DHFR), inhibits synthesis of DNA, RNA, thymidylates, and proteins"
homoharringtonine,0.625,"natural product, protein translation inhibitor, used for myeloid leukemia"
docetaxel,0.618,inhibits microtubule dynamics; semi-synthetic analogue of paclitaxel
nilutamide,0.617," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer"
dexamethasone,0.615,"synthetic corticosteroid, used to reduce inflammation"
lapatinib,0.611,HER2/EGFR inhibitor
vincristine,0.610,"binds tubulin, disrupts microtubule dynamics"
sildenafil,0.604,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
etomoxir,0.601,"agonist of PPARα, inhibitor of carnitine palmitoyltransferase-1 (CPT-1)"
