,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.985,...+,673,1,1.0
alectinib,gdsc_Alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.7190000000000001,,,0.719,,+...,1,175,1.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.653,,,0.653,,+...,2,176,2.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.645,,,0.645,,+...,3,177,3.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.958,...+,675,4,4.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.631,,,0.631,,+...,4,178,4.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.584,,,0.584,,+...,5,179,5.0
ql-xi-92,gdsc_QL-XI-92,Not Clinically Relevant,0.569,,,0.569,,+...,6,180,6.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.5670000000000001,,,0.567,,+...,7,181,7.0
y-39983,gdsc_Y-39983,Not Clinically Relevant,0.564,,,0.564,,+...,8,182,8.0
ql-xii-61,gdsc_QL-XII-61,Not Clinically Relevant,0.561,,,0.561,,+...,9,183,9.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.556,,,0.556,,+...,10,184,10.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.539,,,0.539,,+...,12,185,12.0
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.8859999999999999,...+,677,12,12.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.62,0.436,,0.528,,++..,13,186,13.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.8590000000000001,...+,678,13,13.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.836,...+,679,14,14.0
xmd14-99,gdsc_XMD14-99,Not Clinically Relevant,0.527,,,0.527,,+...,14,187,14.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.833,...+,680,15,15.0
kin001-260,gdsc_KIN001-260,Not Clinically Relevant,0.506,,,0.506,,+...,16,188,16.0
escitalopram,cmap_escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI),,,,,0.82,...+,681,17,17.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.818,...+,682,18,18.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.47100000000000003,,,0.471,,+...,19,189,19.0
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.519,,,0.519,0.746,+..+,15,23,19.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.78,...+,685,20,20.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.465,,,0.465,,+...,20,190,20.0
raloxifene,cmap_raloxifene," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast",,,,,0.777,...+,686,21,21.0
hg-5-88-01,gdsc_HG-5-88-01,Not Clinically Relevant,0.45,,,0.45,,+...,21,191,21.0
tretinoin,ctrp_tretinoin,Retinoid,0.613,0.376,,0.494,0.71,++.++,18,26,22.0
axitinib,ctrp_axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.523,0.375,,0.449,0.7290000000000001,++.+,22,24,23.0
gsk319347a,gdsc_GSK319347A,Not Clinically Relevant,0.439,,,0.439,,+...,23,192,23.0
brd-k99006945,ctrp_BRD-K99006945,Not Clinically Relevant,,0.429,,0.429,,.+..,24,193,24.0
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.429,,0.429,,.+..,25,194,25.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.7240000000000001,...+,687,25,25.0
kin001-236,gdsc_KIN001-236,Not Clinically Relevant,0.42700000000000005,,,0.427,,+...,26,195,26.0
ispinesib mesylate,gdsc_Ispinesib Mesylate,Not Clinically Relevant,0.424,,,0.424,,+...,27,196,27.0
altretamine,cmap_altretamine,alkylating antineoplastic agent,,,,,0.672,...+,688,28,28.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.41600000000000004,,0.416,,.+..,28,197,28.0
vx-680,ctrp_VX-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.415,,0.415,,.+..,29,198,29.0
