drug,score,moa
iobenguane,0.991,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
idarubicin,0.987,"Topo II inhibitor, intercalates into DNA, anthracycline"
lapatinib,0.982,HER2/EGFR inhibitor
etoposide,0.975,Topo II inhibitor
lenalidomide,0.974,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
cladribine,0.972,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
raltitrexed,0.969,"antimetabolite,  inhibitor of thymidylate synthase"
etoposide,0.957,Topo II inhibitor
rucaparib,0.951,"PARP inhibitor, inhibits DNA repair"
alisertib,0.943,Aurora A kinase inhibitor
hydrocortisone,0.940,Anti-inflammatory
methotrexate,0.934,"antimetabolite, competitively inhibits dihydrofolate reductase (DHFR), inhibits synthesis of DNA, RNA, thymidylates, and proteins"
tretinoin,0.931,Retinoid
thiotepa,0.929,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
toremifene,0.925,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
hydrocortisone,0.917,Anti-inflammatory
temozolomide,0.915,alkylating agent
olaparib,0.912,PARP Inhibitor
irinotecan,0.910,"aka CPT-11, inhibitor of Topo I"
mitomycin-c,0.909,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
sorafenib,0.904,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
tamoxifen,0.903,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
hydrocortisone,0.890,Anti-inflammatory
sitagliptin,0.888,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
fludarabine,0.871,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase."
GSK-461364,0.871,"Plk1 inhibitor, less active against Plk2 and Plk3."
chlorambucil,0.869,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
teniposide,0.868,Topo II inhibitor
raloxifene,0.868," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast"
tacrolimus,0.860,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
gossypol,0.860,"Natural product, may function to inhibit Bcl2 family members"
amsacrine,0.859,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL"
TG100-115,0.847,PI3Kγ/δ inhibitor
gemcitabine,0.841,"Nucleoside analog,incorporation into DNA creates an irreparable error that leads to inhibition of further DNA synthesis"
trifluoperazine,0.836,"antipsychotic, antiadrenergic and antidopaminergic. Blocks dopamine D1 and D2 receptors "
vinorelbine,0.829,disrupts microtubule dynamics; natural product
JNJ-26854165,0.823,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
vorinostat,0.822,HDAC inhibitor (SAHA)
carmofur,0.818,"derivative of fluorouracil, pyrimidine analog"
dexamethasone,0.818,"synthetic corticosteroid, used to reduce inflammation"
dexamethasone,0.805,"synthetic corticosteroid, used to reduce inflammation"
barasertib,0.805,highly selective Aurora B kinase inhibitor
dexamethasone,0.797,"synthetic corticosteroid, used to reduce inflammation"
megestrol,0.788,steroidal progestin used in the treatment of breast and endometrial cancer
altretamine,0.770,alkylating antineoplastic agent
TG-101348,0.761,JAK2 inhibitor
vinorelbine,0.757,disrupts microtubule dynamics; natural product
pirfenidone,0.757, antifibrotic and anti-inflammatory
ABT-737,0.743,Bcl-2/Bcl-xL inhibitor
floxuridine,0.722,"antimetabolite,  catabolized to 5-fluorouracil"
sildenafil,0.717,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
sildenafil,0.715,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
lapatinib,0.713,HER2/EGFR inhibitor
ON-01910,0.712,"ON-01910, Plk-1 inhibitor"
thalidomide,0.711,"interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
dexamethasone,0.709,"synthetic corticosteroid, used to reduce inflammation"
exemestane,0.702,"aromatase inhibitor, blocks conversion of androgens to estrogens"
axitinib,0.701,"VEGFR, c-KIT and PDGFR inhibitor"
mitotane,0.689,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma "
clofarabine,0.679,purine nucleoside antimetabolite
anagrelide,0.676,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML"
hyperforin,0.676,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA"
capecitabine,0.674,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis"
megestrol,0.671,steroidal progestin used in the treatment of breast and endometrial cancer
CS-1657,0.665,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome "
mercaptopurine,0.664,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT"
topotecan,0.653,Topo I inhibitor
selumetinib,0.651,MEK1 inhibitor
floxuridine,0.624,"antimetabolite,  catabolized to 5-fluorouracil"
nilutamide,0.598," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer"
etomoxir,0.588,"agonist of PPARα, inhibitor of carnitine palmitoyltransferase-1 (CPT-1)"
sorafenib,0.578,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
vinblastine,0.560,"disrupts microtubule dynamics; vinca alkaloid, chemical analogue of vincristine"
serdemetan,0.541,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
sirolimus,0.536,"rapamycin, mTOR inhibitor"
entinostat,0.536,HDAC inhibitor
escitalopram,0.528,Selective Serotonin Reuptake Inhibitor (SSRI)
