,mean_rank,weight
cervix,16.0,3.0
lung carcinoma,19.0,1.0
adrenal gland,26.0,3.0
small cell lung carcinoma,31.5,88.0
supraclavicular lymph node,34.0,3.0
pancreatic somatostatinoma,35.0,3.0
lung carcinoid tumor,57.0,6.0
thyroid gland squamous cell carcinoma,58.0,3.0
medulloblastoma,62.0,8.0
adrenal gland neuroblastoma,64.0,5.0
abdomen,76.0,2.0
endometrioid stromal sarcoma,76.0,3.0
neuroblastoma,76.5,52.0
rhabdomyosarcoma,78.5,4.0
right anterior leg,90.0,3.0
embryonal carcinoma,92.0,1.0
mediastinal lymph node,97.0,1.0
skin nodule,104.0,1.0
inguinal lymph node,119.0,3.0
biphasic synovial sarcoma,121.0,1.0
hereditary thyroid gland medullary carcinoma,122.0,1.0
multiple endocrine neoplasia type 2,122.0,1.0
prostate carcinoma,123.0,11.0
embryonal rhabdomyosarcoma,125.0,6.0
vertebra,128.5,2.0
ewing sarcoma,129.0,31.0
osteosarcoma,139.0,23.0
large cell lung carcinoma,140.0,32.0
squamous papilloma,142.0,1.0
liposarcoma,142.0,1.0
high grade ovarian serous adenocarcinoma,143.0,40.0
right thigh skin,145.0,2.0
papillary renal cell carcinoma,147.0,5.0
gastric adenosquamous carcinoma,159.5,2.0
brain,160.5,16.0
thoracic lymph duct,163.0,1.0
pharyngeal squamous cell carcinoma,165.0,3.0
"squamous cell breast carcinoma, acantholytic variant",166.0,3.0
ovarian serous adenocarcinoma,167.0,7.0
pleural sarcomatoid mesothelioma,167.5,8.0
duodenal adenocarcinoma,172.0,1.0
right pararenal lymph node,180.0,2.0
ovarian carcinoma,181.0,6.0
uterine carcinosarcoma,182.5,2.0
ovarian leiomyosarcoma,184.0,3.0
gastric small cell neuroendocrine carcinoma,187.0,4.0
brca1 syndrome,193.0,1.0
myeloid leukemia associated with down syndrome,195.0,1.0
lung mucoepidermoid carcinoma,196.0,3.0
salivary gland squamous cell carcinoma,204.0,3.0
alveolar rhabdomyosarcoma,206.0,9.0
subserosa of fallopian tube,208.0,1.0
thyroid gland follicular carcinoma,209.5,10.0
bone marrow,212.0,65.0
vaginal melanoma,214.0,1.0
cervical squamous cell carcinoma,218.0,1.0
bronchogenic carcinoma,220.0,2.0
ovarian endometrioid adenocarcinoma,231.0,11.0
peritoneal ascites,234.5,2.0
oligodendroglioma,235.0,5.0
lung giant cell carcinoma,236.0,4.0
cutaneous melanoma,236.5,26.0
brca2 syndrome,245.0,1.0
oral cavity squamous cell carcinoma,246.5,6.0
adenosquamous lung carcinoma,257.0,9.0
squamous cell lung carcinoma,258.5,48.0
subcutaneous,262.0,7.0
bladder squamous cell carcinoma,264.0,3.0
cervical small cell carcinoma,265.0,1.0
axillary lymph node,265.5,6.0
small intestine,266.0,1.0
not specified,270.0,3.0
vulvar leiomyosarcoma,277.0,3.0
esophageal squamous cell carcinoma,278.0,59.0
endometrial adenosquamous carcinoma,279.0,6.0
poorly differentiated thyroid gland carcinoma,279.0,3.0
tonsillar squamous cell carcinoma,285.0,1.0
minimally invasive lung adenocarcinoma,287.0,16.0
ovarian granulosa cell tumor,288.5,2.0
testicular embryonal carcinoma,291.0,1.0
ovarian serous cystadenocarcinoma,291.0,4.0
endometrial carcinoma,294.5,8.0
primitive neuroectodermal tumor,295.0,2.0
right axillary lymph node,302.0,1.0
neurofibromatosis type 1,303.0,1.0
melanoma,305.0,94.0
glioblastoma,306.0,84.0
abdominal wall,308.5,2.0
plasma cell myeloma,310.5,30.0
hodgkin lymphoma,311.0,11.0
ductal breast carcinoma,319.0,32.0
chondrosarcoma,320.5,10.0
pleural epithelioid mesothelioma,321.5,18.0
skin,323.0,3.0
lymph node,325.0,105.0
gastric fundus carcinoma,326.0,1.0
astrocytoma,327.0,19.0
pleural biphasic mesothelioma,327.0,7.0
hypopharyngeal squamous cell carcinoma,330.0,5.0
bladder carcinoma,332.0,51.0
thyroid gland undifferentiated (anaplastic) carcinoma,339.0,13.0
erythroleukemia,341.0,3.0
