drug,score,moa
gdsc_Navitoclax,0.666,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_GSK1070916,0.617,Not Clinically Relevant
gdsc_Linsitinib,0.616,IGF-1R inhibitor
gdsc_TL-2-105,0.614,Not Clinically Relevant
gdsc_SB52334,0.597,Not Clinically Relevant
gdsc_Tubastatin A,0.590,Not Clinically Relevant
gdsc_GW-2580,0.579,Not Clinically Relevant
gdsc_GSK429286A,0.541,Not Clinically Relevant
gdsc_VX-702,0.516,Not Clinically Relevant
gdsc_Axitinib,0.513,"VEGFR, c-KIT and PDGFR inhibitor"
gdsc_BX-912,0.509,Not Clinically Relevant
gdsc_Rucaparib,0.491,"PARP inhibitor, inhibits DNA repair"
gdsc_Amuvatinib,0.457,Not Clinically Relevant
gdsc_HG-5-88-01,0.434,Not Clinically Relevant
ctrp_tubastatin A,0.434,Not Clinically Relevant
ctrp_linsitinib,0.430,IGF-1R inhibitor
gdsc_GSK319347A,0.429,Not Clinically Relevant
gdsc_XMD13-2,0.425,Not Clinically Relevant
ctrp_BMS-195614,0.422,Not Clinically Relevant
ctrp_staurosporine,0.409,Not Clinically Relevant
ctrp_BRD-K34485477,0.407,Not Clinically Relevant
ctrp_olaparib,0.407,PARP Inhibitor
ctrp_BRD-K99006945,0.405,Not Clinically Relevant
ctrp_VX-680,0.404,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C"
ctrp_16-beta-bromoandrosterone,0.403,Not Clinically Relevant
gdsc_Talazoparib,0.403,Not Clinically Relevant
gdsc_Olaparib,0.402,PARP Inhibitor
ctrp_BRD-M00053801,0.401,Not Clinically Relevant
ctrp_BRD-K28456706,0.401,Not Clinically Relevant
ctrp_BRD-K51490254,0.399,Not Clinically Relevant
ctrp_ABT-737,0.397,Bcl-2/Bcl-xL inhibitor
ctrp_Compound 7d-cis,0.395,Not Clinically Relevant
ctrp_chlorambucil,0.394,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
ctrp_BRD-K88742110,0.394,Not Clinically Relevant
ctrp_dabrafenib,0.393,Braf (V600E) inhibitor
ctrp_968,0.391,Not Clinically Relevant
ctrp_ML203,0.390,Not Clinically Relevant
ctrp_avrainvillamide,0.390,Not Clinically Relevant
ctrp_XL765,0.389,PI3K/mTOR inhibitor
ctrp_BRD-K13999467,0.388,Not Clinically Relevant
ctrp_BRD-K26531177,0.387,Not Clinically Relevant
ctrp_O-6-benzylguanine,0.387,"guanine analog, binds the DNA repair enzyme O(6)-alkylguanine DNA alkyltransferase (AGT) resulting in inhibition of AGT-mediated DNA repair"
gdsc_Ispinesib Mesylate,0.386,Not Clinically Relevant
ctrp_skepinone-L,0.384,Not Clinically Relevant
ctrp_serdemetan,0.382,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
ctrp_CCT036477,0.382,Not Clinically Relevant
ctrp_tretinoin,0.380,Retinoid
ctrp_indisulam,0.378,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2"
ctrp_CIL55,0.374,Not Clinically Relevant
ctrp_BRD-A71883111,0.374,Not Clinically Relevant
ctrp_BRD-K24690302,0.373,Not Clinically Relevant
