,moa,GDSC,CTRP,CCLE,drug,score,evidence
gsk1070916,Not Clinically Relevant,0.617,,,gdsc_GSK1070916,0.617,+..
tl-2-105,Not Clinically Relevant,0.614,,,gdsc_TL-2-105,0.614,+..
sb52334,Not Clinically Relevant,0.597,,,gdsc_SB52334,0.597,+..
gw-2580,Not Clinically Relevant,0.579,,,gdsc_GW-2580,0.579,+..
gsk429286a,Not Clinically Relevant,0.541,,,gdsc_GSK429286A,0.541,+..
linsitinib,IGF-1R inhibitor,0.616,0.43,,ctrp_linsitinib,0.523,++.
vx-702,Not Clinically Relevant,0.516,,,gdsc_VX-702,0.516,+..
tubastatin a,Not Clinically Relevant,0.59,0.434,,ctrp_tubastatin A,0.512,++.
bx-912,Not Clinically Relevant,0.509,,,gdsc_BX-912,0.509,+..
rucaparib,"PARP inhibitor, inhibits DNA repair",0.491,,,gdsc_Rucaparib,0.491,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.6659999999999999,0.29100000000000004,,ctrp_navitoclax,0.478,++.
amuvatinib,Not Clinically Relevant,0.457,,,gdsc_Amuvatinib,0.457,+..
axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.513,0.371,,ctrp_axitinib,0.442,++.
hg-5-88-01,Not Clinically Relevant,0.434,,,gdsc_HG-5-88-01,0.434,+..
gsk319347a,Not Clinically Relevant,0.429,,,gdsc_GSK319347A,0.429,+..
xmd13-2,Not Clinically Relevant,0.425,,,gdsc_XMD13-2,0.425,+..
bms-195614,Not Clinically Relevant,,0.42200000000000004,,ctrp_BMS-195614,0.422,.+.
staurosporine,Not Clinically Relevant,,0.409,,ctrp_staurosporine,0.409,.+.
brd-k34485477,Not Clinically Relevant,,0.40700000000000003,,ctrp_BRD-K34485477,0.407,.+.
brd-k99006945,Not Clinically Relevant,,0.405,,ctrp_BRD-K99006945,0.405,.+.
olaparib,PARP Inhibitor,0.402,0.40700000000000003,,gdsc_Olaparib,0.404,++.
vx-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.40399999999999997,,ctrp_VX-680,0.404,.+.
16-beta-bromoandrosterone,Not Clinically Relevant,,0.40299999999999997,,ctrp_16-beta-bromoandrosterone,0.403,.+.
talazoparib,Not Clinically Relevant,0.40299999999999997,,,gdsc_Talazoparib,0.403,+..
brd-m00053801,Not Clinically Relevant,,0.401,,ctrp_BRD-M00053801,0.401,.+.
brd-k28456706,Not Clinically Relevant,,0.401,,ctrp_BRD-K28456706,0.401,.+.
brd-k51490254,Not Clinically Relevant,,0.39899999999999997,,ctrp_BRD-K51490254,0.399,.+.
abt-737,Bcl-2/Bcl-xL inhibitor,,0.397,,ctrp_ABT-737,0.397,.+.
compound 7d-cis,Not Clinically Relevant,,0.395,,ctrp_Compound 7d-cis,0.395,.+.
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.39399999999999996,,ctrp_chlorambucil,0.394,.+.
brd-k88742110,Not Clinically Relevant,,0.39399999999999996,,ctrp_BRD-K88742110,0.394,.+.
968,Not Clinically Relevant,,0.391,,ctrp_968,0.391,.+.
ml203,Not Clinically Relevant,,0.39,,ctrp_ML203,0.39,.+.
avrainvillamide,Not Clinically Relevant,,0.39,,ctrp_avrainvillamide,0.39,.+.
xl765,PI3K/mTOR inhibitor,,0.389,,ctrp_XL765,0.389,.+.
brd-k13999467,Not Clinically Relevant,,0.38799999999999996,,ctrp_BRD-K13999467,0.388,.+.
brd-k26531177,Not Clinically Relevant,,0.387,,ctrp_BRD-K26531177,0.387,.+.
o-6-benzylguanine,"guanine analog, binds the DNA repair enzyme O(6)-alkylguanine DNA alkyltransferase (AGT) resulting in inhibition of AGT-mediated DNA repair",,0.387,,ctrp_O-6-benzylguanine,0.387,.+.
ispinesib mesylate,Not Clinically Relevant,0.386,,,gdsc_Ispinesib Mesylate,0.386,+..
skepinone-l,Not Clinically Relevant,,0.384,,ctrp_skepinone-L,0.384,.+.
cct036477,Not Clinically Relevant,,0.382,,ctrp_CCT036477,0.382,.+.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.37799999999999995,,ctrp_indisulam,0.378,.+.
cil55,Not Clinically Relevant,,0.374,,ctrp_CIL55,0.374,.+.
brd-a71883111,Not Clinically Relevant,,0.374,,ctrp_BRD-A71883111,0.374,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.373,,ctrp_barasertib,0.373,.+.
brd-k24690302,Not Clinically Relevant,,0.373,,ctrp_BRD-K24690302,0.373,.+.
pf-4800567 hydrochloride,Not Clinically Relevant,,0.37200000000000005,,ctrp_PF-4800567 hydrochloride,0.372,.+.
compound 1b,Not Clinically Relevant,,0.371,,ctrp_compound 1B,0.371,.+.
elcpk,Not Clinically Relevant,,0.37,,ctrp_ELCPK,0.37,.+.
prima-1-met,Not Clinically Relevant,,0.369,,ctrp_PRIMA-1-Met,0.369,.+.
abt-199,Bcl2 inhibitor,,0.36700000000000005,,ctrp_ABT-199,0.367,.+.
ml239,Not Clinically Relevant,,0.366,,ctrp_ML239,0.366,.+.
