,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.991,...+,673,1,1.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.617,,,0.617,,+...,1,175,1.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.614,,,0.614,,+...,2,176,2.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.972,...+,675,3,3.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.597,,,0.597,,+...,3,177,3.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.9690000000000001,...+,676,4,4.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.579,,,0.579,,+...,4,178,4.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.541,,,0.541,,+...,5,179,5.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.516,,,0.516,,+...,7,180,7.0
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.491,,,0.491,0.951,+..+,10,6,8.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.59,0.434,,0.512,,++..,8,181,8.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.509,,,0.509,,+...,9,182,9.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.929,...+,678,9,9.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.457,,,0.457,,+...,12,183,12.0
hg-5-88-01,gdsc_HG-5-88-01,Not Clinically Relevant,0.434,,,0.434,,+...,14,184,14.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.871,...+,681,14,14.0
gsk319347a,gdsc_GSK319347A,Not Clinically Relevant,0.429,,,0.429,,+...,15,185,15.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.425,,,0.425,,+...,16,186,16.0
olaparib,gdsc_Olaparib,PARP Inhibitor,0.402,0.40700000000000003,,0.404,0.912,++.+,21,11,16.0
bms-195614,ctrp_BMS-195614,Not Clinically Relevant,,0.42200000000000004,,0.422,,.+..,17,187,17.0
raloxifene,cmap_raloxifene," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast",,,,,0.868,...+,682,17,17.0
staurosporine,ctrp_staurosporine,Not Clinically Relevant,,0.409,,0.409,,.+..,18,188,18.0
brd-k34485477,ctrp_BRD-K34485477,Not Clinically Relevant,,0.40700000000000003,,0.407,,.+..,19,189,19.0
amsacrine,cmap_amsacrine,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL",,,,,0.8590000000000001,...+,683,19,19.0
brd-k99006945,ctrp_BRD-K99006945,Not Clinically Relevant,,0.405,,0.405,,.+..,20,190,20.0
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.847,...+,684,21,21.0
vx-680,ctrp_VX-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.40399999999999997,,0.404,,.+..,22,191,22.0
chlorambucil,ctrp_chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.39399999999999996,,0.394,0.8690000000000001,.+.+,30,15,22.5
16-beta-bromoandrosterone,ctrp_16-beta-bromoandrosterone,Not Clinically Relevant,,0.40299999999999997,,0.403,,.+..,23,192,23.0
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.823,...+,685,24,24.0
talazoparib,gdsc_Talazoparib,Not Clinically Relevant,0.40299999999999997,,,0.403,,+...,24,193,24.0
axitinib,ctrp_axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.513,0.371,,0.442,0.701,++.+,13,36,24.5
brd-k28456706,ctrp_BRD-K28456706,Not Clinically Relevant,,0.401,,0.401,,.+..,25,194,25.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.818,...+,686,26,26.0
brd-m00053801,ctrp_BRD-M00053801,Not Clinically Relevant,,0.401,,0.401,,.+..,26,195,26.0
brd-k51490254,ctrp_BRD-K51490254,Not Clinically Relevant,,0.39899999999999997,,0.399,,.+..,27,196,27.0
altretamine,cmap_altretamine,alkylating antineoplastic agent,,,,,0.77,...+,688,28,28.0
compound 7d-cis,ctrp_Compound 7d-cis,Not Clinically Relevant,,0.395,,0.395,,.+..,29,197,29.0
abt-737,ctrp_ABT-737,Bcl-2/Bcl-xL inhibitor,,0.397,,0.397,0.743,.+.+,28,31,29.5
pirfenidone,cmap_pirfenidone, antifibrotic and anti-inflammatory,,,,,0.757,...+,689,30,30.0
brd-k88742110,ctrp_BRD-K88742110,Not Clinically Relevant,,0.39399999999999996,,0.394,,.+..,31,198,31.0
968,ctrp_968,Not Clinically Relevant,,0.391,,0.391,,.+..,32,199,32.0
ml203,ctrp_ML203,Not Clinically Relevant,,0.39,,0.39,,.+..,33,200,33.0
on-01910,cmap_on-01910,"ON-01910, Plk-1 inhibitor",,,,,0.7120000000000001,...+,691,34,34.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.39,,0.39,,.+..,34,201,34.0
xl765,ctrp_XL765,PI3K/mTOR inhibitor,,0.389,,0.389,,.+..,35,202,35.0
brd-k13999467,ctrp_BRD-K13999467,Not Clinically Relevant,,0.38799999999999996,,0.388,,.+..,36,203,36.0
barasertib,ctrp_barasertib,highly selective Aurora B kinase inhibitor,,0.373,,0.373,0.805,.+.+,46,27,36.5
brd-k26531177,ctrp_BRD-K26531177,Not Clinically Relevant,,0.387,,0.387,,.+..,37,204,37.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.6890000000000001,...+,693,37,37.0
sitagliptin,ctrp_sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.35200000000000004,,0.352,0.888,.+.+,61,13,37.0
o-6-benzylguanine,ctrp_O-6-benzylguanine,"guanine analog, binds the DNA repair enzyme O(6)-alkylguanine DNA alkyltransferase (AGT) resulting in inhibition of AGT-mediated DNA repair",,0.387,,0.387,,.+..,38,205,38.0
ispinesib mesylate,gdsc_Ispinesib Mesylate,Not Clinically Relevant,0.386,,,0.386,,+...,39,206,39.0
alisertib,ctrp_alisertib,Aurora A kinase inhibitor,,0.34700000000000003,,0.347,0.943,.+.+,71,7,39.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,0.6759999999999999,...+,694,40,40.0
skepinone-l,ctrp_skepinone-L,Not Clinically Relevant,,0.384,,0.384,,.+..,40,207,40.0
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.382,,0.382,,.+..,41,208,41.0
capecitabine,cmap_capecitabine,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis",,,,,0.674,...+,695,42,42.0
indisulam,ctrp_indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.37799999999999995,,0.378,,.+..,42,209,42.0
floxuridine,cmap_floxuridine,"antimetabolite,  catabolized to 5-fluorouracil",,,,,0.673,...++,690,43,43.0
cil55,ctrp_CIL55,Not Clinically Relevant,,0.374,,0.374,,.+..,43,210,43.0
brd-a71883111,ctrp_BRD-A71883111,Not Clinically Relevant,,0.374,,0.374,,.+..,44,211,44.0
cs-1657,cmap_cs-1657,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.665,...+,696,44,44.0
mercaptopurine,cmap_mercaptopurine,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT",,,,,0.664,...+,697,45,45.0
brd-k24690302,ctrp_BRD-K24690302,Not Clinically Relevant,,0.373,,0.373,,.+..,45,212,45.0
megestrol,cmap_megestrol,steroidal progestin used in the treatment of breast and endometrial cancer,,,,,0.59825,...+++,687,47,47.0
pf-4800567 hydrochloride,ctrp_PF-4800567 hydrochloride,Not Clinically Relevant,,0.37200000000000005,,0.372,,.+..,47,213,47.0
compound 1b,ctrp_compound 1B,Not Clinically Relevant,,0.371,,0.371,,.+..,48,214,48.0
nilutamide,cmap_nilutamide," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer",,,,,0.598,...+,698,48,48.0
elcpk,ctrp_ELCPK,Not Clinically Relevant,,0.37,,0.37,,.+..,49,215,49.0
prima-1-met,ctrp_PRIMA-1-Met,Not Clinically Relevant,,0.369,,0.369,,.+..,50,216,50.0
abt-199,ctrp_ABT-199,Bcl2 inhibitor,,0.36700000000000005,,0.367,,.+..,51,217,51.0
