,mean_rank,weight
cervix,8.0,3.0
lung carcinoma,25.0,1.0
adrenal gland,33.0,3.0
supraclavicular lymph node,43.0,3.0
right anterior leg,45.0,3.0
small cell lung carcinoma,47.5,88.0
medulloblastoma,49.5,8.0
thyroid gland squamous cell carcinoma,50.0,3.0
neuroblastoma,54.5,52.0
adrenal gland neuroblastoma,65.0,5.0
embryonal carcinoma,73.0,1.0
rhabdomyosarcoma,79.0,4.0
lung carcinoid tumor,91.0,6.0
cervical small cell carcinoma,92.0,1.0
ewing sarcoma,94.0,31.0
mediastinal lymph node,97.0,1.0
natural killer cell lymphoblastic leukemia/lymphoma,105.0,1.0
oligodendroglioma,112.0,5.0
ovarian granulosa cell tumor,116.5,2.0
pancreatic somatostatinoma,117.0,3.0
endometrioid stromal sarcoma,119.0,3.0
right thigh skin,123.0,2.0
axillary lymph node,127.5,6.0
hereditary thyroid gland medullary carcinoma,130.0,1.0
multiple endocrine neoplasia type 2,130.0,1.0
testicular embryonal carcinoma,134.0,1.0
peritoneal ascites,135.5,2.0
primitive neuroectodermal tumor,148.5,2.0
ovarian leiomyosarcoma,150.0,3.0
myeloid leukemia associated with down syndrome,151.0,1.0
brain,153.0,16.0
not specified,157.0,3.0
neurofibromatosis type 1,158.0,1.0
embryonal rhabdomyosarcoma,161.0,6.0
large cell lung carcinoma,161.5,32.0
gastric small cell neuroendocrine carcinoma,164.0,4.0
prostate carcinoma,167.0,11.0
lung giant cell carcinoma,168.5,4.0
alveolar rhabdomyosarcoma,170.0,9.0
uterine carcinosarcoma,176.5,2.0
abdomen,178.5,2.0
vertebra,178.5,2.0
inguinal lymph node,182.0,3.0
pelvic wall,184.0,3.0
right pararenal lymph node,187.5,2.0
lymphoma,189.0,1.0
pharyngeal squamous cell carcinoma,191.0,3.0
askin tumor,192.0,2.0
ovarian carcinoma,192.5,6.0
subserosa of fallopian tube,200.0,1.0
osteosarcoma,202.0,23.0
high grade ovarian serous adenocarcinoma,202.0,40.0
papillary renal cell carcinoma,205.0,5.0
supra-orbital region,218.0,1.0
cutaneous melanoma,219.5,26.0
skin nodule,221.0,1.0
gliosarcoma,221.5,6.0
thyroid gland follicular carcinoma,222.0,10.0
chondrosarcoma,222.5,10.0
bone marrow,223.0,65.0
left leg muscle,227.0,3.0
ovarian serous cystadenocarcinoma,229.0,4.0
brca1 syndrome,230.0,1.0
squamous cell lung carcinoma,242.0,48.0
ovarian endometrioid adenocarcinoma,245.0,11.0
melanoma,248.0,94.0
groin lymph node,254.0,5.0
amelanotic melanoma,269.0,16.0
"squamous cell breast carcinoma, acantholytic variant",270.0,3.0
astrocytoma,271.0,19.0
n/a,271.5,34.0
hodgkin lymphoma,272.0,11.0
subcutaneous,274.0,7.0
thyroid gland sarcoma,277.0,1.0
rhabdoid tumor of the kidney,277.0,3.0
thyroid gland undifferentiated (anaplastic) carcinoma,279.0,13.0
ovarian mixed germ cell tumor,279.0,1.0
intraperitoneal,282.0,1.0
adenosquamous lung carcinoma,283.0,9.0
erythroleukemia,283.0,3.0
endometrial adenosquamous carcinoma,285.0,6.0
poorly differentiated thyroid gland carcinoma,285.0,3.0
squamous papilloma,288.0,1.0
vaginal melanoma,291.0,1.0
cerebrospinal fluid,292.0,3.0
plasma cell myeloma,292.0,30.0
liposarcoma,296.0,1.0
childhood acute myeloid leukemia with maturation,297.0,1.0
glioblastoma,304.0,84.0
endometrial carcinoma,305.0,8.0
pleural epithelioid mesothelioma,307.5,18.0
hepatocellular carcinoma,308.0,51.0
ovarian serous adenocarcinoma,311.0,7.0
abdominal wall,311.5,2.0
mucinous gastric adenocarcinoma,322.0,3.0
