,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
formestane,cmap_formestane,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer",,,,,0.982,...+,673,1,1.0
alectinib,gdsc_Alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.7190000000000001,,,0.719,,+...,1,175,1.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.616,,,0.616,,+...,2,176,2.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.594,,,0.594,,+...,3,177,3.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.593,,,0.593,,+...,4,178,4.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.9590000000000001,...+,674,5,5.0
ql-xii-61,gdsc_QL-XII-61,Not Clinically Relevant,0.593,,,0.593,,+...,5,179,5.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.574,,,0.574,,+...,6,180,6.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.5660000000000001,,,0.566,,+...,7,181,7.0
on-01910,cmap_on-01910,"ON-01910, Plk-1 inhibitor",,,,,0.935,...+,675,7,7.0
ql-xi-92,gdsc_QL-XI-92,Not Clinically Relevant,0.545,,,0.545,,+...,8,182,8.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.924,...+,677,8,8.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.5920000000000001,0.489,,0.54,,++..,9,183,9.0
y-39983,gdsc_Y-39983,Not Clinically Relevant,0.532,,,0.532,,+...,10,184,10.0
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.88,...+,680,12,12.0
kin001-260,gdsc_KIN001-260,Not Clinically Relevant,0.514,,,0.514,,+...,12,185,12.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.878,...+,681,13,13.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.512,,,0.512,,+...,14,186,14.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.809,...+,683,15,15.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.505,,,0.505,,+...,15,187,15.0
barasertib,ctrp_barasertib,highly selective Aurora B kinase inhibitor,,0.418,,0.418,0.955,.+.+,27,6,16.5
hg-5-88-01,gdsc_HG-5-88-01,Not Clinically Relevant,0.478,,,0.478,,+...,17,188,17.0
axitinib,ctrp_axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.489,0.374,,0.432,0.902,++.+,25,11,18.0
xmd14-99,gdsc_XMD14-99,Not Clinically Relevant,0.47200000000000003,,,0.472,,+...,18,189,18.0
staurosporine,ctrp_staurosporine,Not Clinically Relevant,,0.46,,0.46,,.+..,20,190,20.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.449,,,0.449,,+...,21,191,21.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.449,,,0.449,,+...,22,192,22.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,0.725,...+,684,22,22.0
ispinesib mesylate,gdsc_Ispinesib Mesylate,Not Clinically Relevant,0.44,,,0.44,,+...,23,193,23.0
