drug,score,moa
TG100-115,0.995,PI3Kγ/δ inhibitor
lenalidomide,0.992,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
lapatinib,0.985,HER2/EGFR inhibitor
sitagliptin,0.984,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
escitalopram,0.969,Selective Serotonin Reuptake Inhibitor (SSRI)
GSK-461364,0.965,"Plk1 inhibitor, less active against Plk2 and Plk3."
idarubicin,0.959,"Topo II inhibitor, intercalates into DNA, anthracycline"
axitinib,0.949,"VEGFR, c-KIT and PDGFR inhibitor"
ABT-737,0.948,Bcl-2/Bcl-xL inhibitor
thiotepa,0.946,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
raltitrexed,0.943,"antimetabolite,  inhibitor of thymidylate synthase"
tretinoin,0.935,Retinoid
hydrocortisone,0.915,Anti-inflammatory
temozolomide,0.910,alkylating agent
olaparib,0.903,PARP Inhibitor
exemestane,0.902,"aromatase inhibitor, blocks conversion of androgens to estrogens"
hydrocortisone,0.902,Anti-inflammatory
alisertib,0.898,Aurora A kinase inhibitor
dexamethasone,0.886,"synthetic corticosteroid, used to reduce inflammation"
cladribine,0.886,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
tamoxifen,0.877,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
tacrolimus,0.877,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
sorafenib,0.864,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
vinorelbine,0.863,disrupts microtubule dynamics; natural product
dexamethasone,0.847,"synthetic corticosteroid, used to reduce inflammation"
etoposide,0.845,Topo II inhibitor
fulvestrant,0.845,selective estrogen receptor degrader (SERD)
hyperforin,0.844,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA"
sunitinib,0.834,"VEGFR2, PDGFRb and c-kit inhibitor; also inhibits FLT3"
ON-01910,0.828,"ON-01910, Plk-1 inhibitor"
iobenguane,0.820,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
vincristine,0.817,"binds tubulin, disrupts microtubule dynamics"
mitomycin-c,0.799,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
etomoxir,0.794,"agonist of PPARα, inhibitor of carnitine palmitoyltransferase-1 (CPT-1)"
rucaparib,0.794,"PARP inhibitor, inhibits DNA repair"
mitotane,0.793,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma "
gossypol,0.783,"Natural product, may function to inhibit Bcl2 family members"
mercaptopurine,0.779,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT"
docetaxel,0.777,inhibits microtubule dynamics; semi-synthetic analogue of paclitaxel
vorinostat,0.776,HDAC inhibitor (SAHA)
dexamethasone,0.768,"synthetic corticosteroid, used to reduce inflammation"
etoposide,0.751,Topo II inhibitor
cimetidine,0.740,(Tagamet) Antacid and antihistamine
sildenafil,0.738,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
sildenafil,0.732,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
irinotecan,0.725,"aka CPT-11, inhibitor of Topo I"
exemestane,0.722,"aromatase inhibitor, blocks conversion of androgens to estrogens"
vinblastine,0.700,"disrupts microtubule dynamics; vinca alkaloid, chemical analogue of vincristine"
raloxifene,0.695," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast"
chlorambucil,0.691,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
JNJ-26854165,0.689,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
carmofur,0.686,"derivative of fluorouracil, pyrimidine analog"
