,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.647,,,0.647,,+...,1,175,1.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.639,,,0.639,,+...,2,176,2.0
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.975,...+,673,3,3.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.633,,,0.633,,+...,3,177,3.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.9329999999999999,...+,675,4,4.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.623,,,0.623,,+...,4,178,4.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.5870000000000001,,,0.587,,+...,5,179,5.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.925,...+,676,6,6.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.628,0.418,,0.523,,++..,7,180,7.0
altretamine,cmap_altretamine,alkylating antineoplastic agent,,,,,0.914,...+,677,7,7.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.902,...+,678,8,8.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.522,,,0.522,,+...,8,181,8.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.519,,,0.519,,+...,9,182,9.0
streptozotocin,cmap_streptozotocin,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells.",,,,,0.872,...+,680,11,11.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.865,...+,681,12,12.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.493,,,0.493,,+...,12,183,12.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.47,,,0.47,,+...,13,184,13.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,0.8490000000000001,...+,683,14,14.0
gsk319347a,gdsc_GSK319347A,Not Clinically Relevant,0.449,,,0.449,,+...,14,185,14.0
abt-737,ctrp_ABT-737,Bcl-2/Bcl-xL inhibitor,,0.429,,0.429,0.8640000000000001,.+.+,15,13,14.0
escitalopram,cmap_escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI),,,,,0.8420000000000001,...+,684,15,15.0
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.505,,,0.505,0.74,+..+,10,20,15.0
sb-505124,gdsc_SB-505124,Not Clinically Relevant,0.424,,,0.424,,+...,16,186,16.0
brd-k28456706,ctrp_BRD-K28456706,Not Clinically Relevant,,0.414,,0.414,,.+..,17,187,17.0
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.7929999999999999,...+,686,17,17.0
staurosporine,ctrp_staurosporine,Not Clinically Relevant,,0.41200000000000003,,0.412,,.+..,18,188,18.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.7859999999999999,...+,687,18,18.0
cil55,ctrp_CIL55,Not Clinically Relevant,,0.41100000000000003,,0.411,,.+..,19,189,19.0
ml239,ctrp_ML239,Not Clinically Relevant,,0.41,,0.41,,.+..,20,190,20.0
brd-k34485477,ctrp_BRD-K34485477,Not Clinically Relevant,,0.409,,0.409,,.+..,21,191,21.0
exemestane,cmap_exemestane,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,0.6955,...++,679,22,22.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.40700000000000003,,0.407,,.+..,22,192,22.0
brd-k99006945,ctrp_BRD-K99006945,Not Clinically Relevant,,0.40399999999999997,,0.404,,.+..,23,193,23.0
talazoparib,gdsc_Talazoparib,Not Clinically Relevant,0.40399999999999997,,,0.404,,+...,24,194,24.0
brd-k88742110,ctrp_BRD-K88742110,Not Clinically Relevant,,0.402,,0.402,,.+..,25,195,25.0
on-01910,cmap_on-01910,"ON-01910, Plk-1 inhibitor",,,,,0.649,...+,688,25,25.0
xl765,ctrp_XL765,PI3K/mTOR inhibitor,,0.395,,0.395,,.+..,26,196,26.0
mercaptopurine,cmap_mercaptopurine,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT",,,,,0.639,...+,689,26,26.0
bms-195614,ctrp_BMS-195614,Not Clinically Relevant,,0.39399999999999996,,0.394,,.+..,27,197,27.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.631,...+,690,27,27.0
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.39399999999999996,,0.394,,.+..,28,198,28.0
sotrastaurin,ctrp_sotrastaurin,pan-PKC inhibitor,,0.392,,0.392,,.+..,29,199,29.0
unc1215,gdsc_UNC1215,Not Clinically Relevant,0.39,,,0.39,,+...,30,200,30.0
sitagliptin,ctrp_sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.354,,0.354,0.977,.+.+,59,2,30.5
brd-k51831558,ctrp_BRD-K51831558,Not Clinically Relevant,,0.385,,0.385,,.+..,31,201,31.0
cs-1657,cmap_cs-1657,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.56,...+,691,32,32.0
brd-k26531177,ctrp_BRD-K26531177,Not Clinically Relevant,,0.38299999999999995,,0.383,,.+..,32,202,32.0
brd-a71883111,ctrp_BRD-A71883111,Not Clinically Relevant,,0.38299999999999995,,0.383,,.+..,33,203,33.0
navitoclax,ctrp_navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.7020000000000001,0.297,,0.5,0.261,++.+,11,57,34.0
raloxifene,cmap_raloxifene," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast",,,,,0.511,...+,692,34,34.0
capecitabine,cmap_capecitabine,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis",,,,,0.507,...+,693,35,35.0
brd-k49290616,ctrp_BRD-K49290616,Not Clinically Relevant,,0.38299999999999995,,0.383,,.+..,35,204,35.0
brd-k42260513,ctrp_BRD-K42260513,Not Clinically Relevant,,0.382,,0.382,,.+..,36,205,36.0
tegafur,cmap_tegafur,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU",,,,,0.46,...+,694,37,37.0
compound 1541a,ctrp_Compound 1541A,Not Clinically Relevant,,0.379,,0.379,,.+..,37,206,37.0
isoliquiritigenin,ctrp_isoliquiritigenin,Not Clinically Relevant,,0.379,,0.379,,.+..,38,207,38.0
