drug,score,moa
lapatinib,0.998,HER2/EGFR inhibitor
tretinoin,0.991,Retinoid
sitagliptin,0.977,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
lenalidomide,0.977,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
TG100-115,0.975,PI3Kγ/δ inhibitor
hydrocortisone,0.953,Anti-inflammatory
dexamethasone,0.937,"synthetic corticosteroid, used to reduce inflammation"
iobenguane,0.933,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
alisertib,0.928,Aurora A kinase inhibitor
GSK-461364,0.925,"Plk1 inhibitor, less active against Plk2 and Plk3."
dexamethasone,0.919,"synthetic corticosteroid, used to reduce inflammation"
altretamine,0.914,alkylating antineoplastic agent
mitotane,0.902,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma "
exemestane,0.895,"aromatase inhibitor, blocks conversion of androgens to estrogens"
temozolomide,0.882,alkylating agent
tacrolimus,0.876,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
streptozotocin,0.872,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells."
carmofur,0.865,"derivative of fluorouracil, pyrimidine analog"
ABT-737,0.864,Bcl-2/Bcl-xL inhibitor
toremifene,0.856,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
anagrelide,0.849,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML"
escitalopram,0.842,Selective Serotonin Reuptake Inhibitor (SSRI)
fludarabine,0.826,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase."
vinorelbine,0.822,disrupts microtubule dynamics; natural product
sorafenib,0.796,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
gossypol,0.794,"Natural product, may function to inhibit Bcl2 family members"
JNJ-26854165,0.793,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
thiotepa,0.786,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
hydrocortisone,0.783,Anti-inflammatory
docetaxel,0.782,inhibits microtubule dynamics; semi-synthetic analogue of paclitaxel
etomoxir,0.776,"agonist of PPARα, inhibitor of carnitine palmitoyltransferase-1 (CPT-1)"
tamoxifen,0.774,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
lapatinib,0.759,HER2/EGFR inhibitor
hyperforin,0.750,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA"
mitomycin-c,0.744,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
rucaparib,0.740,"PARP inhibitor, inhibits DNA repair"
sildenafil,0.728,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
cimetidine,0.718,(Tagamet) Antacid and antihistamine
sildenafil,0.705,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
fulvestrant,0.705,selective estrogen receptor degrader (SERD)
axitinib,0.693,"VEGFR, c-KIT and PDGFR inhibitor"
procarbazine,0.681,alkylating agent
hydrocortisone,0.653,Anti-inflammatory
ON-01910,0.649,"ON-01910, Plk-1 inhibitor"
mercaptopurine,0.639,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT"
cladribine,0.631,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
barasertib,0.611,highly selective Aurora B kinase inhibitor
pazopanib,0.594,"KIT, FGFR, PDGFR and VEGFR inhibitor"
sirolimus,0.588,"rapamycin, mTOR inhibitor"
sunitinib,0.575,"VEGFR2, PDGFRb and c-kit inhibitor; also inhibits FLT3"
olaparib,0.563,PARP Inhibitor
CS-1657,0.560,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome "
vinblastine,0.545,"disrupts microtubule dynamics; vinca alkaloid, chemical analogue of vincristine"
