drug_name,MB009
EIF2C3,0.9995
PAPSS1,0.9995
ESRRA,0.9995
CPNE3,0.9995
PABPC1,0.9995
P2RY2,0.9993000000000001
KIF14,0.9992
NFRKB,0.9991
NIPBL,0.9991
ZNF562,0.9991
TMEM174,0.9991
PSMG1,0.9989
POLD4,0.9987
ATG4A,0.9986
DBI,0.9986
actarit,0.9986
VDAC1,0.9984000000000001
pravastatin,0.9982
LAMB1,0.9982
DFFA,0.9982
BRD-K70693222,0.9981
PRKRIR,0.9981
ZBTB24,0.9979
ARHGEF2,0.9979
ZNF365,0.9979
COX7B,0.9979
phenprobamate,0.9979
PBX1,0.9976999999999999
CEP72,0.9976999999999999
NFIB,0.9976999999999999
TAF5L,0.9976
MAPK1,0.9976
BRD-K17693482,0.9974
nomegestrol,0.9972
MLH1,0.9972
ISOC1,0.9971
EIF4E,0.9971
TES,0.9971
KIAA0317,0.9971
USP14,0.9969
2-aminopurine,0.9968
PRMT3,0.9968
A2M,0.9968
RAB31,0.9967
CCNH,0.9965999999999999
n-(3-acetamidophenyl)-3-chlorobenzamide,0.9965
deferiprone,0.9965
RBBP4,0.9964
TADA3,0.9963
TCF4,0.9958
EIF4A2,0.9958
lenalidomide,0.9958
LIM class homeoboxes GOF,0.9958
SIAH2,0.9958
PPM1L,0.9956999999999999
XPO7,0.9954999999999999
ANKZF1,0.9954999999999999
CPD,0.9954000000000001
3-amino-benzamide,0.9954000000000001
sitagliptin,0.9954000000000001
BRD-A38793261,0.9954000000000001
SLC29A2,0.9953
PIK3C2A,0.9953
GW-311616,0.9951000000000001
norepinephrine,0.9951000000000001
BRD-K88742110,0.9951000000000001
TRAF2,0.995
NR2C1,0.995
ATF4,0.995
YWHAZ,0.9948999999999999
TSPAN8,0.9948999999999999
SOX10,0.9948999999999999
FAM114A2,0.9944
tyrphostin-AG-1295,0.9944
ACBD3,0.9943000000000001
MIF,0.9942
LRPAP1,0.9942
RALA,0.9940000000000001
zileuton,0.9940000000000001
POU2AF1,0.9939
MPZL1,0.9939
RPL39L,0.9939
GSK-1904529A,0.9937
CELSR2,0.9937
GMPR2,0.9934999999999999
S1PR3,0.9934000000000001
KCTD5,0.9933
IDH2,0.9932
LHX9,0.9931
ZSWIM2,0.993
AC-55649,0.993
diethylcarbamazine,0.9928
DUSP7,0.9926
BRD-K15107389,0.9926
TSPAN4,0.9926
IGF2,0.9926
ARPC1A,0.9926
SJ-172550,0.9926
ICAM3,0.9926
NAA25,0.9924
PRKAR2A,0.9921
BAS-09104376,0.9919
triacsin-c,0.9919
ATP6V0B,0.9918
TNKS2,0.9915999999999999
zidovudine,0.9913
ADAT1,0.9911
OAT,0.9911
NSD1,0.991
PREP,0.991
L-368899,0.9908
MPDZ,0.9908
CCDC85B,0.9906999999999999
PRDM1,0.9903
DHFR,0.9903
RELA,0.9903
rescinnamine,0.9902
TFDP1,0.99
SPAG4,0.99
EMSY complex LOF,0.9899
cinalukast,0.9898
SCMH1,0.9897
SCP2,0.9895
MAPK3,0.9892
TNF,0.9892
ZNF398,0.9892
coumarin,0.9891
GABARAPL1,0.9889
CISH,0.9889
AIRE,0.9889
DMEOB,0.9887
POLE3,0.9887
PNU-120596,0.9886
pseudopelletierine,0.9884000000000001
ANKZF1,0.9884000000000001
MOK,0.9884000000000001
ATP6V1D,0.9881
spectinomycin,0.9881
PPAT,0.988
ABCF3,0.988
RCHY1,0.9879000000000001
ERCC4,0.9879000000000001
sulfafurazole,0.9876999999999999
EIF2AK1,0.9876
avrainvillamide-analog-3,0.9873000000000001
SB-216763,0.9873000000000001
BRD-K16618170,0.9873000000000001
retinol,0.9872
TMEM110,0.9871
MIF,0.9871
BRD-K73285375,0.987
ACD,0.9868000000000001
farnesylthioacetic-acid,0.9868000000000001
Mitogen activated protein kinases LOF,0.9867
CREM,0.9865999999999999
FBXO5,0.9865999999999999
PFAS,0.9865999999999999
guanfacine,0.9864
SMAD7,0.9863
PRL-3-inhibitor-I,0.9862000000000001
CSDA,0.9861
FBXO11,0.9861
CASK,0.9861
CEBPZ,0.9861
NDUFA3,0.9861
ALW-II-49-7,0.986
CHAC1,0.986
epitestosterone,0.9859
GW-843682X,0.9859
ethisterone,0.9859
SRP14,0.9858
danoprevir,0.9856
sumatriptan,0.9856
SALL4,0.9856
EPN2,0.9854
GNAS,0.9853000000000001
SNX6,0.9853000000000001
fexaramine,0.9852
LPGAT1,0.9851000000000001
TCEA1,0.985
IKK-2-inhibitor,0.9848
CDK7,0.9847
MGST2,0.9847
RAB5A,0.9847
CRCP,0.9847
PTPRF,0.9845
DR1,0.9845
VX-222,0.9845
HMOX1,0.9843999999999999
ergocornine,0.9838
griseofulvin,0.9836
TFAP4,0.9836
DVL1,0.9834
thiotepa,0.9834
RAB11FIP2,0.9833
ZNF354B,0.9829000000000001
L-689560,0.9826999999999999
AS-605240,0.9826999999999999
DYNLT3,0.9825
skatole,0.9823999999999999
epibatidine,0.9823000000000001
SLC36A4,0.9823000000000001
TNFRSF10A,0.9821
PTGER4,0.9821
QX-222,0.9813
niflumic-acid,0.9812000000000001
PEMT,0.981
TCF7L2,0.9806
PIAS1,0.9806
NPDC1,0.9804
ITGA1,0.9803000000000001
HADHA,0.98
TPM1,0.9798
etodolac,0.9797
ZKSCAN2,0.9795
TCF7L1,0.9795
O3FAR1,0.9793999999999999
WNT7B,0.9793000000000001
CD320,0.9792000000000001
hydroquinidine,0.9792000000000001
LM-1685,0.9791
OSGEP,0.9789
ergometrine,0.9789
ATP1A1,0.9787
CTTN,0.9787
COX4I1,0.9787
FGFR4,0.9782
RRAGB,0.9781
POLQ,0.978
JTE-013,0.978
chlormadinone,0.9779000000000001
HDAC11,0.9777
BAY-K8644,0.9776
SIRPG,0.9775
TAF13,0.9775
GPATCH8,0.9773999999999999
MAS1L,0.9773000000000001
ZNF576,0.9773000000000001
PTCH1,0.9772
GNGT2,0.9771
phenytoin,0.9771
CDK8,0.9769
AKR1C2,0.9768000000000001
SRPK1,0.9767
MDM inhibitor,0.9767
CDK5,0.9767
AT-9283,0.9767
phensuximide,0.9765999999999999
PIK3CD,0.9764
PAFAH1B3,0.9764
finasteride,0.9763
ALDH3A2,0.976
YTHDF2,0.9759
IPO13,0.9756
PFN2,0.9754999999999999
MTERFD1,0.9754
PCNA,0.9752
LGALS1,0.9751000000000001
FGIN-1-43,0.975
ERO1L,0.975
methimazole,0.9745999999999999
QW-BI-011,0.9745999999999999
CCRN4L,0.9745
ATRX,0.9741
FKBP3,0.9740000000000001
mirin,0.9739
PD-0325901,0.9739
salubrinal,0.9739
NNT,0.9739
immepip,0.9738
SH2B3,0.9737
UGP2,0.9737
SLC7A11,0.9736
danazol,0.9736
DCTD,0.9734999999999999
HLA-DPB1,0.9734
CERK,0.9734
VAV3,0.9732
PCCB,0.9732
LIPH,0.9731000000000001
lapatinib,0.9729000000000001
dicloxacillin,0.9728
piperidolate,0.9727
Dihydrofolate reductase inhibitor,0.9726
VU-0400193-3,0.9726
isoxicam,0.9725
P2RY6,0.9722
febuxostat,0.9721
TP53TG1,0.9718000000000001
terbutaline,0.9715
quinine,0.9714
cholic-acid,0.9711
ANP32E,0.9709
TFE3,0.9709
UCK2,0.9708
PRR15L,0.9708
ZNF219,0.9708
LRP4,0.9706
ABCG2,0.9704999999999999
IRL-2500,0.9704999999999999
NRP1,0.9704
PHF19,0.9704
bromocriptine,0.9703
CSNK1G3,0.9701000000000001
warfarin,0.9698
BCKDHA,0.9698
MAOA,0.9697
STAT2,0.9693999999999999
ESYT1,0.9693
TPR,0.9692000000000001
BUB1B,0.9692000000000001
SIN3A,0.9689
ADSS,0.9688
BRD-K91485395,0.9686
GNA15,0.9679000000000001
CASP9,0.9679000000000001
CISD1,0.9679000000000001
ABCC4,0.9679000000000001
PD-0325901,0.9678
MRGPRX1,0.9678
STK19,0.9677
SEC24B,0.9677
ZNF85,0.9676
SOAT1,0.9675
RRP8,0.9672
SULT1A2,0.9671
GTF2A2,0.9669
RAB11FIP2,0.9668000000000001
flupirtine,0.9668000000000001
OXSR1,0.9667
n-arachidonyl-GABA,0.9666
ROCK2,0.9665
DUSP2,0.9664
MBNL2,0.9662999999999999
methantheline,0.9662000000000001
PPP2R1A,0.9662000000000001
PBRM1,0.9661
RNF5,0.9658
CD24,0.9656999999999999
RAB1B,0.9656
AS-703026,0.9655
NAMPT,0.9655
HADHB,0.9654
etodolac,0.9652
melperone,0.9651000000000001
I-OMe-AG-538,0.9651000000000001
RRM2,0.9651000000000001
NR0B2,0.9651000000000001
ENOPH1,0.965
SMARCA4,0.965
GRPR,0.9647
HAL,0.9647
PI3K Signaling LOF,0.9645999999999999
HSF2,0.9642000000000001
KIF9,0.9641
carmofur,0.9639
MAF,0.9638
BRP44,0.9637
parthenolide,0.9634
TFCP2,0.9634
SPA17,0.9634
GPR83,0.9634
PGAM1,0.9632999999999999
pindolol,0.9632
ZNF582,0.9631000000000001
E2F6,0.9631000000000001
4-(2-Amino-ethyl)-benzenesulfonamide,0.963
SIX2,0.9628
EPHX2,0.9627
ST6GALNAC2,0.9623999999999999
MORF4L1,0.9623
ATF1,0.9623
ZNF267,0.9623
AKR1C3,0.9615
BMI1,0.9615
lumicolchicine,0.9611
IL12B,0.9609000000000001
ZNF449,0.9608
SREBF1,0.9608
GAA,0.9606999999999999
VU-0365114-2,0.9606999999999999
celecoxib,0.9606
NR0B1,0.9606
fluoropyruvate,0.9601999999999999
ZNF619,0.9601000000000001
PAF1,0.9598
SLC29A1,0.9597
NF-449,0.9597
zolmitriptan,0.9597
PPP2R2C,0.9597
MSX1,0.9595999999999999
ZNF174,0.9593
PURA,0.9592
STK11,0.9592
NAT10,0.9588
linezolid,0.9588
PROKR1,0.9586
BRD-K79511609,0.9584999999999999
liothyronine,0.9584999999999999
PLOD2,0.9584
HOXB7,0.9579000000000001
STRADB,0.9578
POLG2,0.9578
dexamethasone,0.9577
phenothiazine,0.9575
KLF14,0.9573999999999999
RBM6,0.9573999999999999
temozolomide,0.9571999999999999
nabumetone,0.9571
mupirocin,0.9570000000000001
CTNND1,0.9568000000000001
CAT,0.9565
MYL6B,0.9565
KIF2C,0.9564
BRD-K87426499,0.9564
betamethasone,0.9562999999999999
fluocinonide,0.9562999999999999
PIGA,0.9562
TATDN2,0.9562
CYP3A5,0.9561
pseudoephedrine,0.956
TPD52L2,0.9559000000000001
MED1,0.9556
capsaicin,0.9555
pantoprazole,0.9555
RPF1,0.9551000000000001
SULT1A1,0.955
APBB2,0.955
quinidine,0.9549
triprolidine,0.9549
Y-27632,0.9544
salicin,0.9543
ingenol,0.9542
FZD7,0.9542
TCF7L2,0.9541
sibutramine,0.9538
DFFB,0.9537
mestranol,0.9537
UGT1A6,0.9537
aspirin,0.9537
NRIP3,0.9536
ITPK1,0.9534999999999999
HOXA5,0.9534
NUP62,0.9531999999999999
VU-0400071-3,0.9531999999999999
RRM2,0.953
GNPDA1,0.953
DLD,0.9528
dydrogesterone,0.9528
metanephrine,0.9528
voriconazole,0.9525
necrostatin-1,0.9523999999999999
RPS6KL1,0.9523999999999999
MED28,0.9523
Bile acid,0.9523
ZM-241385,0.9523
CCRN4L,0.9523
OTX2,0.9521999999999999
PPP2R5E,0.9520000000000001
TLE3,0.9518000000000001
vinorelbine,0.9517
MELK,0.9517
LPHN1,0.9514
hydrocortisone,0.9512999999999999
RITA,0.9505
STK24,0.9505
KDM4B,0.9501999999999999
IGF2BP3,0.9501999999999999
nikkomycin,0.9497
RPS6KB2,0.9495999999999999
EIF1B,0.9492
DNAJC15,0.9490000000000001
metyrapone,0.9490000000000001
tetrabenazine,0.9486
ALAS1,0.9484
VU-0420363-1,0.9484
POU5F1,0.9481
minoxidil,0.9481
SMO,0.9481
QX-314,0.948
TSN,0.948
BRD-K67258146,0.9477
flubendazole,0.9477
PIK3C3,0.9477
INPP1,0.9475
fenbendazole,0.9475
17-beta-estradiol,0.9475
CHUK,0.9473999999999999
EZH1,0.9473999999999999
diltiazem,0.9473
PA2G4,0.9470000000000001
CDKAL1,0.9468000000000001
RNF7,0.9465
SCYL3,0.9464
IL8,0.9464
