,mean_rank,weight
cervix,10.0,3.0
lung carcinoma,34.0,1.0
small cell lung carcinoma,34.5,88.0
pancreatic somatostatinoma,39.0,3.0
medulloblastoma,46.5,8.0
adrenal gland,49.0,3.0
adrenal gland neuroblastoma,49.0,5.0
vertebra,63.5,2.0
neuroblastoma,65.0,52.0
cervical small cell carcinoma,79.0,1.0
supraclavicular lymph node,83.0,3.0
embryonal carcinoma,87.0,1.0
lung carcinoid tumor,87.0,6.0
testicular embryonal carcinoma,89.0,1.0
right anterior leg,90.0,3.0
endometrioid stromal sarcoma,91.0,3.0
prostate carcinoma,94.0,11.0
ewing sarcoma,114.0,31.0
mediastinal lymph node,114.0,1.0
brain,117.5,16.0
multiple endocrine neoplasia type 2,123.0,1.0
hereditary thyroid gland medullary carcinoma,123.0,1.0
right pararenal lymph node,127.0,2.0
right thigh skin,128.5,2.0
skin nodule,130.0,1.0
not specified,133.0,3.0
salivary gland squamous cell carcinoma,138.0,3.0
rhabdomyosarcoma,141.5,4.0
embryonal rhabdomyosarcoma,144.0,6.0
high grade ovarian serous adenocarcinoma,149.5,40.0
thyroid gland squamous cell carcinoma,150.0,3.0
uterine carcinosarcoma,159.0,2.0
invasive lobular breast carcinoma,165.0,1.0
thigh skin,167.0,1.0
cervical squamous cell carcinoma,171.0,1.0
subserosa of fallopian tube,175.0,1.0
supra-orbital region,175.0,1.0
ovarian granulosa cell tumor,176.0,2.0
abdomen,183.5,2.0
osteosarcoma,186.0,23.0
pharyngeal squamous cell carcinoma,188.0,3.0
gastric small cell neuroendocrine carcinoma,192.0,4.0
oligodendroglioma,192.0,5.0
thoracic lymph duct,195.0,1.0
brca2 syndrome,197.0,1.0
axillary lymph node,197.0,6.0
subcutaneous,197.0,7.0
ovarian carcinoma,197.5,6.0
cutaneous melanoma,201.5,26.0
inguinal lymph node,203.0,3.0
bronchogenic carcinoma,207.0,2.0
endometrial carcinoma,208.0,8.0
ovarian endometrioid adenocarcinoma,209.0,11.0
large cell lung carcinoma,209.0,32.0
groin lymph node,212.0,5.0
minimally invasive lung adenocarcinoma,212.5,16.0
pelvic wall,216.0,3.0
pleural epithelioid mesothelioma,216.0,18.0
erythroleukemia,223.0,3.0
liposarcoma,224.0,1.0
endometrial adenosquamous carcinoma,232.0,6.0
papillary renal cell carcinoma,234.0,5.0
askin tumor,243.5,2.0
melanoma,245.5,94.0
thyroid gland follicular carcinoma,247.0,10.0
"squamous cell breast carcinoma, acantholytic variant",248.0,3.0
natural killer cell lymphoblastic leukemia/lymphoma,255.0,1.0
squamous cell lung carcinoma,255.0,48.0
peritoneal ascites,256.5,2.0
amelanotic melanoma,262.0,16.0
lung mucoepidermoid carcinoma,265.0,3.0
ovarian leiomyosarcoma,267.0,3.0
bone marrow,270.0,65.0
gastric adenosquamous carcinoma,270.0,2.0
tonsillar squamous cell carcinoma,278.0,1.0
breast carcinoma,280.0,27.0
brca1 syndrome,282.0,1.0
abdominal wall,282.0,2.0
spleen,282.0,3.0
ovarian serous adenocarcinoma,285.0,7.0
gestational choriocarcinoma,286.5,2.0
gastric choriocarcinoma,287.0,1.0
primitive neuroectodermal tumor,288.5,2.0
adenosquamous lung carcinoma,291.0,9.0
cerebrospinal fluid,294.0,3.0
neurofibromatosis type 1,295.0,1.0
ovarian adenocarcinoma,298.0,5.0
alveolar rhabdomyosarcoma,299.0,9.0
lymphoma,307.0,1.0
right axillary lymph node,309.0,1.0
vaginal melanoma,317.0,1.0
childhood t lymphoblastic lymphoma,319.0,2.0
pleural effusion,319.5,224.0
bladder squamous cell carcinoma,327.0,3.0
lymph node,328.0,105.0
adult t acute lymphoblastic leukemia,330.0,5.0
laryngeal squamous cell carcinoma,330.0,12.0
squamous papilloma,330.0,1.0
ovarian mixed germ cell tumor,338.0,1.0
glioblastoma,339.0,84.0
ascites,340.0,103.0
plasma cell myeloma,340.0,30.0
hepatocellular carcinoma,342.0,51.0
childhood t acute lymphoblastic leukemia,343.0,19.0
n/a,343.5,34.0
esophageal squamous cell carcinoma,347.0,59.0
biphasic synovial sarcoma,347.0,1.0
hypopharyngeal squamous cell carcinoma,350.0,5.0
lung giant cell carcinoma,350.5,4.0
chondrosarcoma,352.0,10.0
lung adenocarcinoma,354.0,145.0
celiac axis lymph node,354.5,2.0
cervical lymph node,358.0,5.0
renal cell carcinoma,363.0,37.0
ovarian serous cystadenocarcinoma,365.0,4.0
ductal breast carcinoma,365.0,32.0
undifferentiated gallbladder carcinoma,365.0,1.0
malignant ovarian brenner tumor,365.0,1.0
skin squamous cell carcinoma,367.0,1.0
oral cavity squamous cell carcinoma,369.5,6.0
