,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
alectinib,gdsc_Alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.738,,,0.738,,+...,1,175,1.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.6609999999999999,,,0.661,,+...,2,176,2.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.635,,,0.635,,+...,3,177,3.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.935,...+,675,4,4.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.63,,,0.63,,+...,4,178,4.0
ql-xii-61,gdsc_QL-XII-61,Not Clinically Relevant,0.593,,,0.593,,+...,5,179,5.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.925,...+,676,6,6.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.59,,,0.59,,+...,6,180,6.0
ql-xi-92,gdsc_QL-XI-92,Not Clinically Relevant,0.573,,,0.573,,+...,7,181,7.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.919,...+,677,7,7.0
y-39983,gdsc_Y-39983,Not Clinically Relevant,0.561,,,0.561,,+...,8,182,8.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.5529999999999999,,,0.553,,+...,9,183,9.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.883,...+,678,10,10.0
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.499,,,0.499,0.985,+..+,19,2,10.5
bx-912,gdsc_BX-912,Not Clinically Relevant,0.55,,,0.55,,+...,11,184,11.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.8740000000000001,...+,679,11,11.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.637,0.456,,0.546,,++..,12,185,12.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.87,...+,680,12,12.0
kin001-260,gdsc_KIN001-260,Not Clinically Relevant,0.5429999999999999,,,0.543,,+...,13,186,13.0
xmd14-99,gdsc_XMD14-99,Not Clinically Relevant,0.527,,,0.527,,+...,14,187,14.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.504,,,0.504,,+...,17,188,17.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.5,,,0.5,,+...,18,189,18.0
