drug,score,moa
sitagliptin,0.993,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
lenalidomide,0.993,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
lapatinib,0.990,HER2/EGFR inhibitor
temozolomide,0.982,alkylating agent
tretinoin,0.976,Retinoid
thiotepa,0.959,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
hydrocortisone,0.952,Anti-inflammatory
raltitrexed,0.951,"antimetabolite,  inhibitor of thymidylate synthase"
escitalopram,0.951,Selective Serotonin Reuptake Inhibitor (SSRI)
rucaparib,0.948,"PARP inhibitor, inhibits DNA repair"
vinorelbine,0.947,disrupts microtubule dynamics; natural product
cladribine,0.938,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
GSK-461364,0.938,"Plk1 inhibitor, less active against Plk2 and Plk3."
formestane,0.930,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer"
alisertib,0.919,Aurora A kinase inhibitor
irinotecan,0.918,"aka CPT-11, inhibitor of Topo I"
tacrolimus,0.911,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
CS-1657,0.904,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome "
vincristine,0.899,"binds tubulin, disrupts microtubule dynamics"
tamoxifen,0.899,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
toremifene,0.898,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
goserelin,0.896,"decapeptide, synthetic analog of LHRH, suppresses production of testosterone and estrogen"
lapatinib,0.892,HER2/EGFR inhibitor
ON-01910,0.889,"ON-01910, Plk-1 inhibitor"
sildenafil,0.886,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
cimetidine,0.885,(Tagamet) Antacid and antihistamine
TG100-115,0.874,PI3Kγ/δ inhibitor
hydrocortisone,0.866,Anti-inflammatory
dexamethasone,0.855,"synthetic corticosteroid, used to reduce inflammation"
barasertib,0.848,highly selective Aurora B kinase inhibitor
altretamine,0.848,alkylating antineoplastic agent
etoposide,0.840,Topo II inhibitor
tacrolimus,0.836,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
homoharringtonine,0.826,"natural product, protein translation inhibitor, used for myeloid leukemia"
idarubicin,0.826,"Topo II inhibitor, intercalates into DNA, anthracycline"
sorafenib,0.813,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
carmofur,0.788,"derivative of fluorouracil, pyrimidine analog"
sunitinib,0.782,"VEGFR2, PDGFRb and c-kit inhibitor; also inhibits FLT3"
fulvestrant,0.777,selective estrogen receptor degrader (SERD)
dexamethasone,0.741,"synthetic corticosteroid, used to reduce inflammation"
olaparib,0.733,PARP Inhibitor
simvastatin,0.728,"HMG-CoA reductase inhibitor,"
cediranib,0.728,VEGFR inhibitor
hydrocortisone,0.726,Anti-inflammatory
gossypol,0.719,"Natural product, may function to inhibit Bcl2 family members"
afatinib,0.713,EGFR and ErbB2 inhibitor
tegafur,0.712,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU"
palonosetron,0.709, 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting
mitomycin-c,0.706,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
iobenguane,0.703,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
