drug_name,ICB1572
SIAH2,0.9995
PAPSS1,0.9995
bromocriptine,0.9993000000000001
actarit,0.9993000000000001
TNKS2,0.9992
SCMH1,0.9992
MED28,0.9991
GNA15,0.9991
TMEM174,0.9991
HADHA,0.9991
treprostinil,0.9989
EIF4E,0.9989
n-(3-acetamidophenyl)-3-chlorobenzamide,0.9989
PRKRIR,0.9987999999999999
PSMA3,0.9986
ZNF449,0.9986
AM-404,0.9986
tyrphostin-AG-1295,0.9986
INPP1,0.9986
EIF2C3,0.9984000000000001
PRKAR2A,0.9984000000000001
DFFA,0.9984000000000001
PSMG1,0.9984000000000001
retinol,0.9982
doxylamine,0.9982
IRL-2500,0.9982
TADA3,0.9981
TMEM110,0.9981
WNT7B,0.9981
propantheline,0.9979
FPL-64176,0.9979
flecainide,0.9979
LIF,0.9979
S1PR3,0.9979
MTFR1,0.9976999999999999
FGFR2,0.9976999999999999
ISOC1,0.9976
INS,0.9976
BRD-A05680309,0.9975
BAS-09104376,0.9975
fexaramine,0.9975
TES,0.9974
CEP72,0.9972
ATG4A,0.9972
danazol,0.9972
ANKZF1,0.9972
2-aminopurine,0.9972
POLE3,0.9971
FBXO11,0.9971
MAPK1,0.9968
ZKSCAN2,0.9967
BRD-K87426499,0.9965
sumatriptan,0.9965
nikkomycin,0.9965
Bacterial 30S ribosomal subunit inhibitor,0.9964
CISH,0.9964
General transcription factors group 1 LOF,0.9964
PPIG,0.9963
KCTD5,0.9963
TNFRSF10A,0.9963
HSF2,0.9963
TSPAN8,0.9963
ALW-II-49-7,0.9961
PREP,0.9961
LM-1685,0.9961
oxymetholone,0.9961
ZNF398,0.9961
TTNPB,0.996
epigallocatechin,0.9959
LOXL1,0.9958
MIF,0.9958
DMEOB,0.9958
AIRE,0.9958
EBNA1BP2,0.9958
PHF19,0.9958
triacsin-c,0.9956999999999999
XRCC6,0.9956
PURA,0.9954999999999999
GTF2A2,0.9954000000000001
TRIM9,0.9954000000000001
mepyramine,0.9954000000000001
DHX8,0.9954000000000001
luzindole,0.9954000000000001
MRGPRD,0.9953
OAT,0.9953
DENND1B,0.9953
BRD-K91485395,0.9952
chlormadinone,0.9951000000000001
ZNF562,0.9951000000000001
CASK,0.9947
nomegestrol,0.9944
epibatidine,0.9944
PCCB,0.9944
POU5F2,0.9944
UCK2,0.9942
IFIH1,0.9942
ALAS1,0.9942
mupirocin,0.9940000000000001
IKK-2-inhibitor,0.9940000000000001
DLGAP5,0.9940000000000001
LRP4,0.9939
O3FAR1,0.9939
STK24,0.9939
celecoxib,0.9937
finasteride,0.9937
CELSR2,0.9937
SOAT1,0.9934999999999999
CLTB,0.9932
SALL4,0.9931
HOXB7,0.9931
pindolol,0.993
sitagliptin,0.993
lenalidomide,0.993
BDKRB2,0.9929000000000001
PPM1L,0.9929000000000001
TRAF2,0.9929000000000001
BRD-A38793261,0.9928
GPR83,0.9926
PEBP1,0.9926
norepinephrine,0.9926
FAM114A2,0.9923000000000001
BRL-50481,0.9922
griseofulvin,0.9922
RALA,0.9921
CTTN,0.9919
3-amino-benzamide,0.9918
BCL6B,0.9918
NR0B2,0.9917
ATF1,0.9915999999999999
RAB11FIP2,0.9915999999999999
AC-55649,0.9915
RBM6,0.9914000000000001
SNAPC4,0.9913
SJ-172550,0.9913
SMAD7,0.9912000000000001
carbinoxamine,0.9912000000000001
CHRAC1,0.9912000000000001
CASD1,0.9911
VU-0420363-1,0.9911
SULT1A2,0.9908
VAV3,0.9906999999999999
BRD-K16618170,0.9906999999999999
HOXC9,0.9904999999999999
flumazenil,0.9904999999999999
BRD-A81377415,0.9904999999999999
PABPC1,0.9904000000000001
Dihydrofolate reductase inhibitor,0.9904000000000001
FGFR4,0.9903
EIF4A2,0.9903
PAQR7,0.9903
GTF3C2,0.9902
cinalukast,0.9901000000000001
lapatinib,0.9901000000000001
phensuximide,0.9901000000000001
spectinomycin,0.9901000000000001
RNF7,0.99
SH2B3,0.99
AP1B1,0.9899
ZNF85,0.9898
ATP6V1D,0.9898
tranilast,0.9898
SIX2,0.9895999999999999
BRD-K70751730,0.9895
PPAT,0.9895
VX-745,0.9894
P2RY2,0.9893000000000001
TFDP1,0.9892
RXFP4,0.9892
MRGPRX4,0.9892
GW-843682X,0.9891
Bile acid,0.9890000000000001
CRYZ,0.9890000000000001
CCDC85B,0.9889
F3,0.9887999999999999
KUC104502N,0.9887
CDX2,0.9887
SOD2,0.9884999999999999
PYCR1,0.9884000000000001
COX4I1,0.988
immepip,0.988
FBXO11,0.988
RCHY1,0.9878
SOX10,0.9878
17-hydroxyprogesterone-caproate,0.9876999999999999
GMPR2,0.9875
psoromic-acid,0.9875
metyrapone,0.9873000000000001
TP53TG1,0.9872
HMOX1,0.9871
LAMB1,0.9871
VU-0400195-3,0.987
guanfacine,0.987
NAA25,0.987
USP14,0.9867
desoxycortone,0.9865999999999999
ZNF669,0.9865999999999999
MLH1,0.9865999999999999
CAB39,0.9865
PIK3C2A,0.9864
BRD-K67258146,0.9859
SB-216763,0.9856
UGP2,0.9856
PA2G4,0.9856
NFATC2,0.9854999999999999
PPP2R2C,0.9853000000000001
MBNL2,0.9853000000000001
MGST2,0.9852
naftopidil,0.9852
CDK1-5-inhibitor,0.9852
AP1S2,0.9852
CD81,0.9852
UBE2N,0.9851000000000001
ESRRA,0.985
lonidamine,0.9848
coumarin,0.9848
MIF,0.9847
SRP14,0.9847
