drug,score,moa
lapatinib,0.994,HER2/EGFR inhibitor
etoposide,0.989,Topo II inhibitor
iobenguane,0.984,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
procarbazine,0.980,alkylating agent
lenalidomide,0.974,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
tretinoin,0.970,Retinoid
mitomycin-c,0.970,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
chlorambucil,0.968,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
sitagliptin,0.964,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
TG100-115,0.958,PI3Kγ/δ inhibitor
irinotecan,0.953,"aka CPT-11, inhibitor of Topo I"
hydrocortisone,0.947,Anti-inflammatory
megestrol,0.943,steroidal progestin used in the treatment of breast and endometrial cancer
temozolomide,0.942,alkylating agent
GSK-461364,0.941,"Plk1 inhibitor, less active against Plk2 and Plk3."
fludarabine,0.938,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase."
JNJ-26854165,0.935,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
escitalopram,0.927,Selective Serotonin Reuptake Inhibitor (SSRI)
thiotepa,0.923,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
hydrocortisone,0.921,Anti-inflammatory
hydrocortisone,0.918,Anti-inflammatory
raltitrexed,0.908,"antimetabolite,  inhibitor of thymidylate synthase"
tacrolimus,0.903,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
sorafenib,0.902,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
idarubicin,0.896,"Topo II inhibitor, intercalates into DNA, anthracycline"
cladribine,0.895,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
tamoxifen,0.895,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
dexamethasone,0.887,"synthetic corticosteroid, used to reduce inflammation"
dexamethasone,0.880,"synthetic corticosteroid, used to reduce inflammation"
lapatinib,0.872,HER2/EGFR inhibitor
barasertib,0.857,highly selective Aurora B kinase inhibitor
dexamethasone,0.843,"synthetic corticosteroid, used to reduce inflammation"
olaparib,0.832,PARP Inhibitor
hyperforin,0.831,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA"
toremifene,0.819,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
serdemetan,0.817,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
amsacrine,0.810,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL"
capecitabine,0.800,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis"
axitinib,0.790,"VEGFR, c-KIT and PDGFR inhibitor"
vorinostat,0.778,HDAC inhibitor (SAHA)
gossypol,0.764,"Natural product, may function to inhibit Bcl2 family members"
sildenafil,0.761,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
