drug,score,moa
lapatinib,0.978,HER2/EGFR inhibitor
lenalidomide,0.978,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
iobenguane,0.976,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
TG100-115,0.975,PI3Kγ/δ inhibitor
hydrocortisone,0.953,Anti-inflammatory
sitagliptin,0.951,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
tretinoin,0.946,Retinoid
idarubicin,0.936,"Topo II inhibitor, intercalates into DNA, anthracycline"
rucaparib,0.936,"PARP inhibitor, inhibits DNA repair"
irinotecan,0.930,"aka CPT-11, inhibitor of Topo I"
temozolomide,0.927,alkylating agent
tacrolimus,0.925,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
alisertib,0.921,Aurora A kinase inhibitor
etomoxir,0.912,"agonist of PPARα, inhibitor of carnitine palmitoyltransferase-1 (CPT-1)"
etoposide,0.892,Topo II inhibitor
vinorelbine,0.885,disrupts microtubule dynamics; natural product
hydrocortisone,0.882,Anti-inflammatory
sorafenib,0.870,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
fulvestrant,0.850,selective estrogen receptor degrader (SERD)
ABT-737,0.850,Bcl-2/Bcl-xL inhibitor
anagrelide,0.840,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML"
cladribine,0.834,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
thiotepa,0.832,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
exemestane,0.826,"aromatase inhibitor, blocks conversion of androgens to estrogens"
dexamethasone,0.820,"synthetic corticosteroid, used to reduce inflammation"
GSK-461364,0.816,"Plk1 inhibitor, less active against Plk2 and Plk3."
vorinostat,0.813,HDAC inhibitor (SAHA)
barasertib,0.808,highly selective Aurora B kinase inhibitor
altretamine,0.803,alkylating antineoplastic agent
mitomycin-c,0.802,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
tacrolimus,0.785,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
etoposide,0.777,Topo II inhibitor
lapatinib,0.777,HER2/EGFR inhibitor
raltitrexed,0.766,"antimetabolite,  inhibitor of thymidylate synthase"
dexamethasone,0.763,"synthetic corticosteroid, used to reduce inflammation"
exemestane,0.763,"aromatase inhibitor, blocks conversion of androgens to estrogens"
dexamethasone,0.753,"synthetic corticosteroid, used to reduce inflammation"
formestane,0.740,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer"
tamoxifen,0.730,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
cimetidine,0.726,(Tagamet) Antacid and antihistamine
teniposide,0.726,Topo II inhibitor
carmofur,0.725,"derivative of fluorouracil, pyrimidine analog"
megestrol,0.700,steroidal progestin used in the treatment of breast and endometrial cancer
mercaptopurine,0.695,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT"
sildenafil,0.685,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
pirfenidone,0.681, antifibrotic and anti-inflammatory
JNJ-26854165,0.678,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
TG-101348,0.675,JAK2 inhibitor
dexamethasone,0.673,"synthetic corticosteroid, used to reduce inflammation"
serdemetan,0.670,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
axitinib,0.660,"VEGFR, c-KIT and PDGFR inhibitor"
olaparib,0.658,PARP Inhibitor
MK-1775,0.645,Wee1 kinase inhibitor
toremifene,0.644,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
azacitidine,0.638,"Nucleoside analog, inhibitor of DNA methylation and DNA/RNA synthesis (Vidaza)"
hyperforin,0.633,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA"
megestrol,0.628,steroidal progestin used in the treatment of breast and endometrial cancer
nilutamide,0.615," synthetic, non-steroidal antiandrogen, selective antagonist of the androgen receptor,  used for metastatic prostate cancer"
brivanib,0.611,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR"
vincristine,0.584,"binds tubulin, disrupts microtubule dynamics"
vemurafenib,0.564,BRAF (V600E) inhibitor
selumetinib,0.559,MEK1 inhibitor
canertinib,0.553,"pan-ErbB inhibitor for EGFR and ErbB2,  no activity to PDGFR, FGFR, InsR, PKC, or CDK1/2/4. "
vinorelbine,0.541,disrupts microtubule dynamics; natural product
amsacrine,0.526,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL"
mitotane,0.514,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma "
hydrocortisone,0.499,Anti-inflammatory
sildenafil,0.489,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
BI-2536,0.487,"Plk1 inhibitor, less active against Plk2 and Plk3."
hydrocortisone,0.485,Anti-inflammatory
streptozotocin,0.460,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells."
fulvestrant,0.455,selective estrogen receptor degrader (SERD)
SN-38,0.454,"Topo I inhibitor, active metabolite of irinotecan but 1000 times more active"
prednisone,0.453,synthetic corticosteroid
palonosetron,0.447, 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting
raloxifene,0.442," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast"
escitalopram,0.438,Selective Serotonin Reuptake Inhibitor (SSRI)
lovastatin,0.437,"HMG-CoA reductase inhibitor,"
