drug_name,RCMB20
PAPSS1,0.9995
CCNH,0.9995
PBX1,0.9995
DFFA,0.9995
TMEM174,0.9991
ZNF562,0.9991
BRD-A38793261,0.9989
MOK,0.9987
NIPBL,0.9987
FGFR4,0.9987
ESRRA,0.9987
actarit,0.9986
DVL1,0.9986
RBBP7,0.9986
MED28,0.9986
PSMG1,0.9984000000000001
NPDC1,0.9984000000000001
P2RY2,0.9984000000000001
OAT,0.9984000000000001
BMS-191011,0.9982
NNT,0.9982
VDAC1,0.9982
CEP72,0.9981
MAPK1,0.9981
SULT1A1,0.9979
TES,0.9979
CBR3,0.9976999999999999
KCTD5,0.9976
ARHGEF2,0.9974
LRP4,0.9974
SLC29A2,0.9974
TNKS2,0.9973000000000001
HADHA,0.9972
BRD-K70693222,0.9972
MLH1,0.9972
tyrphostin-AG-1295,0.9972
n-(3-acetamidophenyl)-3-chlorobenzamide,0.9972
ATP6V1D,0.9963
rescinnamine,0.9961
POU5F2,0.9961
ATG4A,0.9958
norepinephrine,0.9958
XPO7,0.9958
methysergide,0.9958
PTGER4,0.9956
ergocornine,0.9954000000000001
epibatidine,0.9951000000000001
triacsin-c,0.9951000000000001
ISOC1,0.9951000000000001
EPB41L4B,0.995
CFD,0.995
NOSIP,0.9948999999999999
TSPAN8,0.9948999999999999
ELF4,0.9948999999999999
RAB31,0.9948999999999999
IKK-2-inhibitor,0.9947
DMEOB,0.9947
POU2AF1,0.9945
LAMB1,0.9945
retinol,0.9944
ALW-II-49-7,0.9943000000000001
ADSS,0.9942
PIM1,0.9942
PRKAR2A,0.9942
ABCA5,0.9942
ACD,0.9942
AIRE,0.9941
sitagliptin,0.9940000000000001
IDH2,0.9939
cholic-acid,0.9937
CREM,0.9934000000000001
POLQ,0.9934000000000001
finasteride,0.9933
LHX9,0.9932
CPNE3,0.9932
BUB1B,0.993
TSPAN6,0.9929000000000001
POLA2,0.9929000000000001
TFDP1,0.9926999999999999
UGP2,0.9926
SHB,0.9926
RPS3,0.9926
SLC7A11,0.9925
KLF10,0.9921
MRGPRX1,0.9921
EBNA1BP2,0.9921
SMC4,0.9919
HDAC1-selective,0.9919
STXBP2,0.9919
EPN2,0.9918
MED1,0.9915999999999999
farnesylthioacetic-acid,0.9915999999999999
FBXO11,0.9915999999999999
CPD,0.9915
LRPAP1,0.9915
lonidamine,0.9915
PREP,0.9911
EIF2C3,0.9908
YTHDF2,0.9906999999999999
DHFR,0.9906999999999999
SOX10,0.9906999999999999
CD24,0.9906999999999999
UCK2,0.9904999999999999
deferiprone,0.9904999999999999
TP53TG1,0.9904999999999999
GLOD4,0.9904000000000001
RALA,0.9903
hydroquinidine,0.9901000000000001
BRD-K88742110,0.9901000000000001
IL12B,0.9897
RPS6KA4,0.9895999999999999
ATF4,0.9895
PRKRIR,0.9894
SH2B3,0.9892
TPR,0.9892
SIAH2,0.9892
CRCP,0.9889
KIAA0317,0.9889
neurodazine,0.9887
zileuton,0.9887
RBBP4,0.9887
PRDM1,0.9886
ICAM3,0.9884000000000001
VAV3,0.9884000000000001
RPS6KL1,0.9883
A2M,0.9882
MAPK3,0.9882
GPATCH8,0.9882
flecainide,0.9881
TCF7L2,0.988
GSK-1904529A,0.988
BRD-K67258146,0.9876999999999999
lenalidomide,0.9876999999999999
SIRPG,0.9876
FGFR inhibitor,0.9873000000000001
FADS2,0.9873000000000001
VU-0400071-3,0.987
GMPR2,0.987
gabazine,0.987
Bile acid,0.9869
LIF,0.9868000000000001
PPM1L,0.9865999999999999
immepip,0.9865999999999999
BRD-K87426499,0.9865
SRPK1,0.9864
MIF,0.9864
NSD1,0.9863
INS,0.9863
amonafide,0.9861
CCDC85B,0.986
danazol,0.9858
LPHN1,0.9858
POLE3,0.9856999999999999
MPDZ,0.9853000000000001
Mitogen activated protein kinases LOF,0.9852
IRL-2500,0.9852
SJ-172550,0.9852
TNF,0.985
TCF4,0.985
quinine,0.985
PAK1,0.9849
MIF,0.9847
SLC29A1,0.9847
PABPC1,0.9843999999999999
PRMT3,0.9843000000000001
ARPC1A,0.9843000000000001
SCYL3,0.9843000000000001
ANP32E,0.9841
phenprobamate,0.9841
ZNF398,0.9841
ZNF85,0.9841
BAS-09104376,0.9839
3-amino-benzamide,0.9838
AC-55649,0.9833
TMEM110,0.9833
SLC25A14,0.9833
FGIN-1-43,0.9833
WASF3,0.9832
OXA1L,0.9831
DUSP7,0.983
NUDT6,0.9829000000000001
SCMH1,0.9829000000000001
chlormadinone,0.9826999999999999
FAM114A2,0.9825
ethisterone,0.9823999999999999
BRD-K86682249,0.9823000000000001
ALAS1,0.9822
MRGPRX4,0.9822
ABCC4,0.9821
CDIPT,0.9818000000000001
CSDA,0.9815
VX-745,0.9814
EIF4E,0.9813
ATRX,0.9813
SB-216763,0.9813
KIF14,0.9812000000000001
CISH,0.9811
bromocriptine,0.981
thiotepa,0.9809
TADA3,0.9808
FAM120A,0.9806999999999999
testosterone,0.9806
EIF2AK1,0.9804999999999999
RELA,0.98
LM-1685,0.9799
NFATC2,0.9798
diltiazem,0.9798
TEAD4,0.9792000000000001
GRPR,0.9792000000000001
NAA25,0.9789
CHAC1,0.9787
PAF1,0.9787
RRAGB,0.9787
BRD-K16618170,0.9784999999999999
DR1,0.9782
androstenedione,0.9781
KDM4B,0.978
TRAF2,0.9775
FKBP3,0.9775
NR2C1,0.9773999999999999
FZD7,0.9773000000000001
LPGAT1,0.9772
PTPN11,0.9771
FOXN3,0.9769
KIF9,0.9768000000000001
parthenolide,0.9767
DCXR,0.9765
POLG2,0.9763
F10,0.9763
PIAS3,0.9763
nomegestrol,0.976
FPL-64176,0.9759
PFN2,0.9759
fluoropyruvate,0.9756999999999999
HOXB7,0.9754999999999999
RAB11FIP2,0.9754999999999999
SPHK2,0.9754
JAK2,0.975
quinidine,0.975
SMAD7,0.975
BCKDHA,0.975
EMSY complex LOF,0.9749
ABCF1,0.9748
PPP2R5E,0.9745999999999999
ZNF365,0.9745
COX7B,0.9742000000000001
etodolac,0.9742000000000001
ZNF576,0.9736
MBNL2,0.9736
BMI1,0.9732
F3,0.9732
MSX1,0.9731000000000001
POLD4,0.973
TAF15,0.973
IL1B,0.9729000000000001
dicloxacillin,0.9729000000000001
KDELR3,0.9727
PHF19,0.9727
sumatriptan,0.9725
CASK,0.9723999999999999
ZNF449,0.9723999999999999
EIF4A2,0.9722
PIAS1,0.9718000000000001
beta-CCP,0.9718000000000001
NIPSNAP1,0.9716
PVRL2,0.9716
PLOD2,0.9715
VU-0400195-3,0.9715
USP14,0.9714
KLF6,0.9712999999999999
orantinib,0.9712000000000001
PTPN1,0.9712000000000001
toremifene,0.9711
RPL39L,0.971
ATP6V0B,0.971
phensuximide,0.9708
mirin,0.9708
GW-843682X,0.9706999999999999
erythromycin,0.9704
Bacterial 30S ribosomal subunit inhibitor,0.9701000000000001
noreleagnine,0.9699
OSGEP,0.9698
PRKAB1,0.9697
DBI,0.9695
AP4S1,0.9692000000000001
PT-630,0.9691
MYNN,0.9686
prostaglandin,0.9684
DYNLT3,0.9682
GABARAPL1,0.968
BAY-K8644,0.968
spectinomycin,0.9677
S1PR3,0.9677
coumarin,0.9677
IGF2,0.9676
doxercalciferol,0.9676
ZNF488,0.9672
SLC38A2,0.9670000000000001
LGALS1,0.9669
EIF4E,0.9667
MAS1L,0.9667
methantheline,0.9667
TIMM50,0.9666
PNU-120596,0.9665
flupirtine,0.9664
AXIN1,0.9662999999999999
oxymetholone,0.9662000000000001
IDH1,0.966
SIX2,0.966
MYCBP2,0.9656
MTERFD1,0.9655
NAMPT,0.9655
MPZL1,0.9653
COASY,0.9651000000000001
capsaicin,0.9651000000000001
SULT1A2,0.965
barasertib,0.965
PTPRF,0.9649
MELK,0.9647
EZH1,0.9643999999999999
ZKSCAN2,0.9643
ZNF277,0.9637
ZNF200,0.9636
ZNF77,0.9634
EPHX2,0.9634
STK24,0.9634
tyrphostin-AG-112,0.9632999999999999
STK33,0.963
O3FAR1,0.963
MAOA,0.963
tetrabenazine,0.9627
1-benzylimidazole,0.9626
necrostatin-1,0.9626
ZNF519,0.9625
GNA15,0.9623
huperzine-a,0.9621999999999999
P2RY6,0.9621
ITGA1,0.9620000000000001
NTRK1,0.9619
BUB1B,0.9618000000000001
TCF7L2,0.9615
XRCC6,0.9615
L-368899,0.9608
TCEA1,0.9606
cinalukast,0.9605
triprolidine,0.9605
CELSR3,0.9601999999999999
MYL6B,0.9601000000000001
NR0B2,0.9601000000000001
griseofulvin,0.9598
KIF2C,0.9598
PD-0325901,0.9598
RAB5A,0.9597
ERGIC2,0.9595999999999999
MCOLN1,0.9595
RPL7,0.9594
KIF5B,0.9592
UFD1L,0.9591
linezolid,0.9591
NAT10,0.9590000000000001
HDAC11,0.9589
HAL,0.9589
ARL4C,0.9588
PYCR1,0.9587
doxylamine,0.9584999999999999
ziprasidone,0.9584
MRPS2,0.9582999999999999
YWHAZ,0.9582999999999999
BRD-K91485395,0.9582999999999999
PPP2R5A,0.9581999999999999
TLE3,0.9581000000000001
FEZ1,0.9581000000000001
indirubin,0.9579000000000001
ICAM3,0.9578
TSPAN4,0.9576
SLC7A5,0.9576
AKR1C2,0.9575
lumicolchicine,0.9573
PGRMC1,0.9570000000000001
ST6GALNAC2,0.9568000000000001
SATB1,0.9566
L-2167,0.9564
sulfafurazole,0.9562999999999999
CSNK1G3,0.9562
pravastatin,0.9559000000000001
PRPF6,0.9556
ingenol,0.9556
TPM1,0.9555
nabumetone,0.9555
parthenolide,0.9555
harpagoside,0.9553
