drug,score,moa
sitagliptin,0.994,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
lenalidomide,0.988,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
thiotepa,0.981,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
toremifene,0.971,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
barasertib,0.965,highly selective Aurora B kinase inhibitor
carmofur,0.954,"derivative of fluorouracil, pyrimidine analog"
tacrolimus,0.954,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
TG100-115,0.934,PI3Kγ/δ inhibitor
rucaparib,0.933,"PARP inhibitor, inhibits DNA repair"
hydrocortisone,0.917,Anti-inflammatory
axitinib,0.908,"VEGFR, c-KIT and PDGFR inhibitor"
etomoxir,0.904,"agonist of PPARα, inhibitor of carnitine palmitoyltransferase-1 (CPT-1)"
dexamethasone,0.901,"synthetic corticosteroid, used to reduce inflammation"
GSK-461364,0.884,"Plk1 inhibitor, less active against Plk2 and Plk3."
raloxifene,0.863," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast"
cimetidine,0.851,(Tagamet) Antacid and antihistamine
fulvestrant,0.850,selective estrogen receptor degrader (SERD)
lapatinib,0.850,HER2/EGFR inhibitor
dexamethasone,0.849,"synthetic corticosteroid, used to reduce inflammation"
idarubicin,0.844,"Topo II inhibitor, intercalates into DNA, anthracycline"
vinorelbine,0.837,disrupts microtubule dynamics; natural product
MLN-4924,0.833,"(MLN4924), inhibitor of NEDD8-activating enzyme (NAE)"
alisertib,0.831,Aurora A kinase inhibitor
dexamethasone,0.816,"synthetic corticosteroid, used to reduce inflammation"
irinotecan,0.805,"aka CPT-11, inhibitor of Topo I"
escitalopram,0.805,Selective Serotonin Reuptake Inhibitor (SSRI)
sildenafil,0.797,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
exemestane,0.796,"aromatase inhibitor, blocks conversion of androgens to estrogens"
brivanib,0.782,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR"
sildenafil,0.779,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
hydrocortisone,0.776,Anti-inflammatory
lapatinib,0.775,HER2/EGFR inhibitor
