drug,score,moa
lenalidomide,0.989,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
lapatinib,0.986,HER2/EGFR inhibitor
hydrocortisone,0.984,Anti-inflammatory
barasertib,0.979,highly selective Aurora B kinase inhibitor
alisertib,0.975,Aurora A kinase inhibitor
vinorelbine,0.966,disrupts microtubule dynamics; natural product
etoposide,0.964,Topo II inhibitor
tamoxifen,0.963,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
tacrolimus,0.957,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
cladribine,0.950,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
JNJ-26854165,0.945,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
GSK-461364,0.944,"Plk1 inhibitor, less active against Plk2 and Plk3."
idarubicin,0.944,"Topo II inhibitor, intercalates into DNA, anthracycline"
carmofur,0.937,"derivative of fluorouracil, pyrimidine analog"
rucaparib,0.934,"PARP inhibitor, inhibits DNA repair"
amsacrine,0.932,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL"
raltitrexed,0.925,"antimetabolite,  inhibitor of thymidylate synthase"
vorinostat,0.919,HDAC inhibitor (SAHA)
thiotepa,0.917,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
irinotecan,0.909,"aka CPT-11, inhibitor of Topo I"
teniposide,0.893,Topo II inhibitor
sitagliptin,0.886,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
etoposide,0.885,Topo II inhibitor
fludarabine,0.882,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase."
temozolomide,0.882,alkylating agent
mitomycin-c,0.875,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
methotrexate,0.873,"antimetabolite, competitively inhibits dihydrofolate reductase (DHFR), inhibits synthesis of DNA, RNA, thymidylates, and proteins"
cimetidine,0.861,(Tagamet) Antacid and antihistamine
exemestane,0.850,"aromatase inhibitor, blocks conversion of androgens to estrogens"
ABT-737,0.841,Bcl-2/Bcl-xL inhibitor
dexamethasone,0.827,"synthetic corticosteroid, used to reduce inflammation"
altretamine,0.818,alkylating antineoplastic agent
tacrolimus,0.817,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
