,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
alectinib,gdsc_Alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.6859999999999999,,,0.686,,+...,1,175,1.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.6459999999999999,,,0.646,,+...,2,176,2.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.626,,,0.626,,+...,3,177,3.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.625,,,0.625,,+...,4,178,4.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.95,...+,674,4,4.0
ql-xii-61,gdsc_QL-XII-61,Not Clinically Relevant,0.623,,,0.623,,+...,5,179,5.0
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.945,...+,675,5,5.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.9440000000000001,...+,676,6,6.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.603,,,0.603,,+...,6,180,6.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.574,,,0.574,,+...,7,181,7.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.937,...+,678,7,7.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.632,0.467,,0.55,,++..,9,182,9.0
amsacrine,cmap_amsacrine,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL",,,,,0.932,...+,679,9,9.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.541,,,0.541,,+...,10,183,10.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.925,...+,680,10,10.0
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.503,,,0.503,0.934,+..+,13,8,10.5
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.51,,,0.51,,+...,12,184,12.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.917,...+,681,13,13.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.5,,,0.5,,+...,14,185,14.0
xmd14-99,gdsc_XMD14-99,Not Clinically Relevant,0.499,,,0.499,,+...,15,186,15.0
barasertib,ctrp_barasertib,highly selective Aurora B kinase inhibitor,,0.43,,0.43,0.9790000000000001,.+.+,28,2,15.0
