,moa,GDSC,CTRP,CCLE,drug,score,evidence
gw-2580,Not Clinically Relevant,0.598,,,gdsc_GW-2580,0.598,+..
gsk1070916,Not Clinically Relevant,0.593,,,gdsc_GSK1070916,0.593,+..
sb52334,Not Clinically Relevant,0.534,,,gdsc_SB52334,0.534,+..
linsitinib,IGF-1R inhibitor,0.619,0.42200000000000004,,ctrp_linsitinib,0.52,++.
vx-702,Not Clinically Relevant,0.509,,,gdsc_VX-702,0.509,+..
rucaparib,"PARP inhibitor, inhibits DNA repair",0.486,,,gdsc_Rucaparib,0.486,+..
bx-912,Not Clinically Relevant,0.47100000000000003,,,gdsc_BX-912,0.471,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.659,0.27699999999999997,,ctrp_navitoclax,0.468,++.
gsk319347a,Not Clinically Relevant,0.445,,,gdsc_GSK319347A,0.445,+..
staurosporine,Not Clinically Relevant,,0.44,,ctrp_staurosporine,0.44,.+.
nsc-87877,Not Clinically Relevant,0.439,,,gdsc_NSC-87877,0.439,+..
jnk inhibitor viii,Not Clinically Relevant,0.418,,,gdsc_JNK Inhibitor VIII,0.418,+..
brd-k99006945,Not Clinically Relevant,,0.41700000000000004,,ctrp_BRD-K99006945,0.417,.+.
amuvatinib,Not Clinically Relevant,0.41200000000000003,,,gdsc_Amuvatinib,0.412,+..
xmd13-2,Not Clinically Relevant,0.406,,,gdsc_XMD13-2,0.406,+..
prima-1-met,Not Clinically Relevant,,0.406,,ctrp_PRIMA-1-Met,0.406,.+.
brd-k34485477,Not Clinically Relevant,,0.40399999999999997,,ctrp_BRD-K34485477,0.404,.+.
talazoparib,Not Clinically Relevant,0.4,,,gdsc_Talazoparib,0.4,+..
bms-195614,Not Clinically Relevant,,0.386,,ctrp_BMS-195614,0.386,.+.
avrainvillamide,Not Clinically Relevant,,0.385,,ctrp_avrainvillamide,0.385,.+.
brd-k28456706,Not Clinically Relevant,,0.385,,ctrp_BRD-K28456706,0.385,.+.
olaparib,PARP Inhibitor,0.425,0.344,,ctrp_olaparib,0.384,++.
sb-505124,Not Clinically Relevant,0.384,,,gdsc_SB-505124,0.384,+..
brd-k13999467,Not Clinically Relevant,,0.382,,ctrp_BRD-K13999467,0.382,.+.
xl765,PI3K/mTOR inhibitor,,0.379,,ctrp_XL765,0.379,.+.
cct036477,Not Clinically Relevant,,0.377,,ctrp_CCT036477,0.377,.+.
ml239,Not Clinically Relevant,,0.376,,ctrp_ML239,0.376,.+.
hg-5-88-01,Not Clinically Relevant,0.376,,,gdsc_HG-5-88-01,0.376,+..
skepinone-l,Not Clinically Relevant,,0.374,,ctrp_skepinone-L,0.374,.+.
cil55,Not Clinically Relevant,,0.374,,ctrp_CIL55,0.374,.+.
abt-737,Bcl-2/Bcl-xL inhibitor,,0.37200000000000005,,ctrp_ABT-737,0.372,.+.
brd-m00053801,Not Clinically Relevant,,0.371,,ctrp_BRD-M00053801,0.371,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.37,,ctrp_barasertib,0.37,.+.
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.36700000000000005,,ctrp_chlorambucil,0.367,.+.
brd-k26531177,Not Clinically Relevant,,0.365,,ctrp_BRD-K26531177,0.365,.+.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.364,,ctrp_indisulam,0.364,.+.
ml203,Not Clinically Relevant,,0.364,,ctrp_ML203,0.364,.+.
