drug,score,moa
gdsc_Navitoclax,0.656,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w"
gdsc_Linsitinib,0.649,IGF-1R inhibitor
gdsc_TL-2-105,0.610,Not Clinically Relevant
gdsc_Tubastatin A,0.603,Not Clinically Relevant
gdsc_GSK1070916,0.601,Not Clinically Relevant
gdsc_SB52334,0.584,Not Clinically Relevant
gdsc_GW-2580,0.572,Not Clinically Relevant
gdsc_Axitinib,0.553,"VEGFR, c-KIT and PDGFR inhibitor"
gdsc_GSK429286A,0.546,Not Clinically Relevant
gdsc_VX-702,0.521,Not Clinically Relevant
gdsc_BX-912,0.506,Not Clinically Relevant
gdsc_Rucaparib,0.504,"PARP inhibitor, inhibits DNA repair"
gdsc_GSK319347A,0.469,Not Clinically Relevant
gdsc_NSC-87877,0.465,Not Clinically Relevant
ctrp_tubastatin A,0.456,Not Clinically Relevant
gdsc_Amuvatinib,0.455,Not Clinically Relevant
gdsc_XMD13-2,0.435,Not Clinically Relevant
ctrp_staurosporine,0.434,Not Clinically Relevant
ctrp_linsitinib,0.428,IGF-1R inhibitor
ctrp_avrainvillamide,0.425,Not Clinically Relevant
gdsc_Talazoparib,0.419,Not Clinically Relevant
ctrp_BMS-195614,0.418,Not Clinically Relevant
gdsc_Olaparib,0.418,PARP Inhibitor
gdsc_Ispinesib Mesylate,0.411,Not Clinically Relevant
gdsc_SB-505124,0.409,Not Clinically Relevant
ctrp_chlorambucil,0.405,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA"
ctrp_PRIMA-1-Met,0.404,Not Clinically Relevant
ctrp_ABT-737,0.398,Bcl-2/Bcl-xL inhibitor
ctrp_indisulam,0.396,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2"
ctrp_skepinone-L,0.396,Not Clinically Relevant
ctrp_BRD-K34485477,0.395,Not Clinically Relevant
ctrp_tretinoin,0.393,Retinoid
ctrp_ML239,0.393,Not Clinically Relevant
ctrp_BRD-K26531177,0.392,Not Clinically Relevant
ctrp_isoliquiritigenin,0.392,Not Clinically Relevant
ctrp_BRD-K99006945,0.389,Not Clinically Relevant
ctrp_BRD-K28456706,0.384,Not Clinically Relevant
ctrp_JW-55,0.382,Not Clinically Relevant
ctrp_XL765,0.381,PI3K/mTOR inhibitor
