,mean_rank,weight
cervix,4.0,3.0
lung carcinoma,21.0,1.0
endometrioid stromal sarcoma,28.0,3.0
adrenal gland,29.0,3.0
small cell lung carcinoma,38.5,88.0
pancreatic somatostatinoma,44.0,3.0
embryonal carcinoma,54.0,1.0
adrenal gland neuroblastoma,55.0,5.0
thyroid gland squamous cell carcinoma,56.0,3.0
medulloblastoma,72.0,8.0
embryonal rhabdomyosarcoma,74.0,6.0
lung carcinoid tumor,74.5,6.0
neuroblastoma,77.0,52.0
vertebra,77.5,2.0
brain,83.5,16.0
gastric adenosquamous carcinoma,83.5,2.0
testicular embryonal carcinoma,85.0,1.0
right pararenal lymph node,91.0,2.0
not specified,94.0,3.0
hereditary thyroid gland medullary carcinoma,95.0,1.0
multiple endocrine neoplasia type 2,95.0,1.0
cervical small cell carcinoma,96.0,1.0
gastric small cell neuroendocrine carcinoma,103.5,4.0
right thigh skin,105.0,2.0
salivary gland squamous cell carcinoma,105.0,3.0
supraclavicular lymph node,106.0,3.0
skin nodule,109.0,1.0
right anterior leg,111.0,3.0
cervical squamous cell carcinoma,134.0,1.0
neurofibromatosis type 1,139.0,1.0
abdomen,140.0,2.0
ewing sarcoma,142.0,31.0
mediastinal lymph node,143.0,1.0
ovarian carcinoma,144.0,6.0
osteosarcoma,155.0,23.0
lung mucoepidermoid carcinoma,157.0,3.0
alveolar rhabdomyosarcoma,162.0,9.0
prostate carcinoma,167.0,11.0
high grade ovarian serous adenocarcinoma,169.5,40.0
papillary renal cell carcinoma,173.0,5.0
primitive neuroectodermal tumor,174.0,2.0
pharyngeal squamous cell carcinoma,181.0,3.0
rhabdomyosarcoma,183.0,4.0
ovarian granulosa cell tumor,185.0,2.0
myeloid leukemia associated with down syndrome,185.0,1.0
astrocytoma,186.0,19.0
ovarian serous adenocarcinoma,187.0,7.0
pleural epithelioid mesothelioma,190.0,18.0
endometrial adenosquamous carcinoma,190.5,6.0
supra-orbital region,201.0,1.0
ovarian endometrioid adenocarcinoma,204.0,11.0
thyroid gland follicular carcinoma,204.5,10.0
oligodendroglioma,211.0,5.0
undifferentiated gallbladder carcinoma,215.0,1.0
pleural sarcomatoid mesothelioma,225.5,8.0
inguinal lymph node,228.0,3.0
large cell lung carcinoma,234.5,32.0
glioblastoma,234.5,84.0
squamous papilloma,240.0,1.0
spleen,240.0,3.0
chondrosarcoma,240.0,10.0
vaginal melanoma,245.0,1.0
bone marrow,250.0,65.0
groin lymph node,254.0,5.0
peritoneal ascites,257.0,2.0
skin squamous cell carcinoma,258.0,1.0
ovarian leiomyosarcoma,270.0,3.0
thoracic lymph duct,271.0,1.0
subserosa of fallopian tube,272.0,1.0
endometrial carcinoma,273.5,8.0
small intestine,275.0,1.0
liposarcoma,280.0,1.0
biphasic synovial sarcoma,286.0,1.0
squamous cell lung carcinoma,288.5,48.0
breast carcinoma,289.0,27.0
bone,290.0,1.0
esophageal squamous cell carcinoma,291.0,59.0
adenosquamous lung carcinoma,293.0,9.0
minimally invasive lung adenocarcinoma,293.5,16.0
melanoma,296.5,94.0
ovarian serous cystadenocarcinoma,298.0,4.0
