drug_name,ICB984
PABPC1,0.9995
RPS6KL1,0.9995
CPNE3,0.9995
KIF14,0.9995
LAMB1,0.9995
PAPSS1,0.9995
AIRE,0.9992
CEP72,0.9991
TMEM110,0.9991
EIF2C3,0.9989
ROCK2,0.9989
BRD-K26947839,0.9989
SCMH1,0.9987
RBBP7,0.9986
CDK4,0.9984000000000001
tyrphostin-AG-1295,0.9982
HADHA,0.9981
KLF10,0.9976
PRKAR2A,0.9976
MAPK1,0.9976
TOPBP1,0.9975
CCNB2,0.9973000000000001
MLH1,0.9972
CEP55,0.9971
AP1B1,0.9968
MPL,0.9968
PRMT3,0.9968
BRD-A05680309,0.9965
BCKDHA,0.9963
EDNRB,0.9963
DCTD,0.9963
CEBPZ,0.9963
4-(2-Amino-ethyl)-benzenesulfonamide,0.9961
DMEOB,0.9961
PPIG,0.9961
LRPAP1,0.9958
TRAK2,0.9954000000000001
NIPBL,0.9953
CARD9,0.995
farnesylthioacetic-acid,0.995
NFIB,0.9948999999999999
FBXO5,0.9948999999999999
actarit,0.9947
P2RY2,0.9947
3-amino-benzamide,0.9944
TRAM2,0.9944
MED28,0.9944
MRGPRX4,0.9942
TSN,0.9940000000000001
LHX9,0.9940000000000001
GNAS,0.9940000000000001
ATG4A,0.9940000000000001
zileuton,0.9940000000000001
USP14,0.9939
SLC38A2,0.9937999999999999
UTP18,0.9937
CISH,0.9937
DLGAP5,0.9934999999999999
AGPAT2,0.9934000000000001
NNT,0.9934000000000001
LOXL1,0.9931
AC-55649,0.993
beta-CCP,0.993
PAK4,0.9926999999999999
BRD-A38793261,0.9926
TNKS2,0.9926
ESRRA,0.9924
QRFPR,0.9923000000000001
ADAT1,0.9921
salubrinal,0.9919
OAT,0.9918
XPO7,0.9918
ZNF449,0.9917
TRAF1,0.9917
DYNLT3,0.9914000000000001
EIF4E,0.9913
isoxicam,0.9913
ATF1,0.9911
GABARAPL1,0.991
ODC1,0.9908
DNM1L,0.9906999999999999
SRPK1,0.9906999999999999
MRPS2,0.9904999999999999
NR0B2,0.9903
PIK3C2A,0.9903
NTRK1,0.9903
LM-1685,0.9901000000000001
CREM,0.9901000000000001
DFFA,0.99
SIN3A,0.9899
IP6K2,0.9892
HG-5-88-01,0.9889
PTPN2,0.9889
fexaramine,0.9887
oxymetholone,0.9887
GART,0.9886
nomegestrol,0.9882
POLR3D,0.9881
avrainvillamide-analog-3,0.988
DHFR,0.988
idarubicin,0.988
TAF5L,0.9879000000000001
RCHY1,0.9879000000000001
RNH1,0.9873999999999999
CELSR2,0.9873999999999999
