drug,score,moa
lenalidomide,0.997,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
lapatinib,0.986,HER2/EGFR inhibitor
rucaparib,0.985,"PARP inhibitor, inhibits DNA repair"
sitagliptin,0.968,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
vinorelbine,0.962,disrupts microtubule dynamics; natural product
tacrolimus,0.961,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
idarubicin,0.960,"Topo II inhibitor, intercalates into DNA, anthracycline"
hydrocortisone,0.951,Anti-inflammatory
raltitrexed,0.935,"antimetabolite,  inhibitor of thymidylate synthase"
alisertib,0.931,Aurora A kinase inhibitor
GSK-461364,0.925,"Plk1 inhibitor, less active against Plk2 and Plk3."
cladribine,0.919,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
tacrolimus,0.917,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
etoposide,0.914,Topo II inhibitor
barasertib,0.911,highly selective Aurora B kinase inhibitor
mitomycin-c,0.907,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
irinotecan,0.887,"aka CPT-11, inhibitor of Topo I"
tretinoin,0.886,Retinoid
mitotane,0.883,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma "
sorafenib,0.875,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
carmofur,0.874,"derivative of fluorouracil, pyrimidine analog"
thiotepa,0.870,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
vorinostat,0.868,HDAC inhibitor (SAHA)
panobinostat,0.862,HDAC inhibitor
TG-101348,0.850,JAK2 inhibitor
megestrol,0.838,steroidal progestin used in the treatment of breast and endometrial cancer
toremifene,0.836,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
tamoxifen,0.826,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
fludarabine,0.820,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase."
megestrol,0.820,steroidal progestin used in the treatment of breast and endometrial cancer
teniposide,0.794,Topo II inhibitor
cimetidine,0.793,(Tagamet) Antacid and antihistamine
etoposide,0.793,Topo II inhibitor
exemestane,0.785,"aromatase inhibitor, blocks conversion of androgens to estrogens"
amsacrine,0.783,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL"
dexamethasone,0.778,"synthetic corticosteroid, used to reduce inflammation"
dexamethasone,0.772,"synthetic corticosteroid, used to reduce inflammation"
vincristine,0.769,"binds tubulin, disrupts microtubule dynamics"
hyperforin,0.766,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA"
TG100-115,0.766,PI3Kγ/δ inhibitor
raloxifene,0.763," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast"
ABT-737,0.755,Bcl-2/Bcl-xL inhibitor
obatoclax,0.753,Bcl-2 antagonist
lapatinib,0.708,HER2/EGFR inhibitor
streptozotocin,0.695,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells."
gossypol,0.695,"Natural product, may function to inhibit Bcl2 family members"
clofarabine,0.693,purine nucleoside antimetabolite
sildenafil,0.693,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
JNJ-26854165,0.692,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
sildenafil,0.691,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
olaparib,0.688,PARP Inhibitor
pirfenidone,0.686, antifibrotic and anti-inflammatory
altretamine,0.677,alkylating antineoplastic agent
exemestane,0.672,"aromatase inhibitor, blocks conversion of androgens to estrogens"
methotrexate,0.668,"antimetabolite, competitively inhibits dihydrofolate reductase (DHFR), inhibits synthesis of DNA, RNA, thymidylates, and proteins"
anagrelide,0.665,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML"
iobenguane,0.664,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
lovastatin,0.664,"HMG-CoA reductase inhibitor,"
dexamethasone,0.661,"synthetic corticosteroid, used to reduce inflammation"
vinblastine,0.660,"disrupts microtubule dynamics; vinca alkaloid, chemical analogue of vincristine"
vinorelbine,0.643,disrupts microtubule dynamics; natural product
dexamethasone,0.639,"synthetic corticosteroid, used to reduce inflammation"
sunitinib,0.629,"VEGFR2, PDGFRb and c-kit inhibitor; also inhibits FLT3"
azacitidine,0.624,"Nucleoside analog, inhibitor of DNA methylation and DNA/RNA synthesis (Vidaza)"
fulvestrant,0.609,selective estrogen receptor degrader (SERD)
hydrocortisone,0.606,Anti-inflammatory
canertinib,0.595,"pan-ErbB inhibitor for EGFR and ErbB2,  no activity to PDGFR, FGFR, InsR, PKC, or CDK1/2/4. "
floxuridine,0.586,"antimetabolite,  catabolized to 5-fluorouracil"
SN-38,0.583,"Topo I inhibitor, active metabolite of irinotecan but 1000 times more active"
gemcitabine,0.577,"Nucleoside analog,incorporation into DNA creates an irreparable error that leads to inhibition of further DNA synthesis"
vemurafenib,0.568,BRAF (V600E) inhibitor
fulvestrant,0.562,selective estrogen receptor degrader (SERD)
mercaptopurine,0.558,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT"
docetaxel,0.549,inhibits microtubule dynamics; semi-synthetic analogue of paclitaxel
escitalopram,0.545,Selective Serotonin Reuptake Inhibitor (SSRI)
formestane,0.536,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer"
ON-01910,0.535,"ON-01910, Plk-1 inhibitor"
