,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
alectinib,gdsc_Alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.684,,,0.684,,+...,1,175,1.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.644,,,0.644,,+...,2,176,2.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.617,,,0.617,,+...,3,177,3.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.981,...+,673,3,3.0
ql-xii-61,gdsc_QL-XII-61,Not Clinically Relevant,0.5920000000000001,,,0.592,,+...,4,178,4.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.9540000000000001,...+,675,5,5.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.569,,,0.569,,+...,5,179,5.0
ql-xi-92,gdsc_QL-XI-92,Not Clinically Relevant,0.568,,,0.568,,+...,6,180,6.0
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.934,...+,676,6,6.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.562,,,0.562,,+...,7,181,7.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.5529999999999999,,,0.553,,+...,8,182,8.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.884,...+,678,9,9.0
y-39983,gdsc_Y-39983,Not Clinically Relevant,0.547,,,0.547,,+...,9,183,9.0
raloxifene,cmap_raloxifene," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast",,,,,0.863,...+,679,10,10.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.546,,,0.546,,+...,10,184,10.0
mln-4924,cmap_mln-4924,"(MLN4924), inhibitor of NEDD8-activating enzyme (NAE)",,,,,0.833,...+,681,11,11.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.5870000000000001,0.431,,0.509,,++..,12,185,12.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.49,,,0.49,,+...,13,186,13.0
escitalopram,cmap_escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI),,,,,0.805,...+,682,14,14.0
axitinib,ctrp_axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.551,0.373,,0.462,0.9079999999999999,++.+,21,8,14.5
barasertib,ctrp_barasertib,highly selective Aurora B kinase inhibitor,,0.431,,0.431,0.965,.+.+,28,4,16.0
kin001-260,gdsc_KIN001-260,Not Clinically Relevant,0.473,,,0.473,,+...,16,187,16.0
hg-5-88-01,gdsc_HG-5-88-01,Not Clinically Relevant,0.47200000000000003,,,0.472,,+...,17,188,17.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.47200000000000003,,,0.472,,+...,18,189,18.0
palonosetron,cmap_palonosetron, 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting,,,,,0.773,...+,684,18,18.0
exemestane,cmap_exemestane,"aromatase inhibitor, blocks conversion of androgens to estrogens",,,,,0.76,...++,683,19,19.0
xmd14-99,gdsc_XMD14-99,Not Clinically Relevant,0.467,,,0.467,,+...,19,190,19.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.465,,,0.465,,+...,20,191,20.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.748,...+,685,20,20.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.742,...+,686,21,21.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.46,,0.46,,.+..,22,192,22.0
tretinoin,ctrp_tretinoin,Retinoid,0.544,0.424,,0.484,0.5555,++.++,14,30,22.0
anagrelide,cmap_anagrelide,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML",,,,,0.6709999999999999,...+,687,23,23.0
ispinesib mesylate,gdsc_Ispinesib Mesylate,Not Clinically Relevant,0.45899999999999996,,,0.459,,+...,23,193,23.0
gsk319347a,gdsc_GSK319347A,Not Clinically Relevant,0.44799999999999995,,,0.448,,+...,24,194,24.0
streptozotocin,cmap_streptozotocin,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells.",,,,,0.642,...+,688,24,24.0
altretamine,cmap_altretamine,alkylating antineoplastic agent,,,,,0.64,...+,689,25,25.0
staurosporine,ctrp_staurosporine,Not Clinically Relevant,,0.447,,0.447,,.+..,25,195,25.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.629,...+,690,27,27.0
sb-505124,gdsc_SB-505124,Not Clinically Relevant,0.44,,,0.44,,+...,27,196,27.0
mercaptopurine,cmap_mercaptopurine,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT",,,,,0.5760000000000001,...+,691,28,28.0
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.426,,0.426,,.+..,29,197,29.0
goserelin,cmap_goserelin,"decapeptide, synthetic analog of LHRH, suppresses production of testosterone and estrogen",,,,,0.568,...+,692,29,29.0
bms-195614,ctrp_BMS-195614,Not Clinically Relevant,,0.423,,0.423,,.+..,31,198,31.0
navitoclax,ctrp_navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.674,0.29,,0.482,0.294,++.+,15,48,31.5
brd-k51490254,ctrp_BRD-K51490254,Not Clinically Relevant,,0.42,,0.42,,.+..,32,199,32.0
kin001-270,gdsc_KIN001-270,Not Clinically Relevant,0.41700000000000004,,,0.417,,+...,33,200,33.0
isoliquiritigenin,ctrp_isoliquiritigenin,Not Clinically Relevant,,0.41600000000000004,,0.416,,.+..,34,201,34.0
alisertib,ctrp_alisertib,Aurora A kinase inhibitor,,0.38,,0.38,0.831,.+.+,56,12,34.0
indisulam,ctrp_indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.415,,0.415,,.+..,35,202,35.0
brd-k26531177,ctrp_BRD-K26531177,Not Clinically Relevant,,0.409,,0.409,,.+..,36,203,36.0
abt-737,ctrp_ABT-737,Bcl-2/Bcl-xL inhibitor,,0.408,,0.408,0.474,.+.+,37,38,37.5
ml239,ctrp_ML239,Not Clinically Relevant,,0.40700000000000003,,0.407,,.+..,38,204,38.0
npk76-ii-72-1,gdsc_NPK76-II-72-1,Not Clinically Relevant,0.40299999999999997,,,0.403,,+...,39,205,39.0
brd-k88742110,ctrp_BRD-K88742110,Not Clinically Relevant,,0.4,,0.4,,.+..,40,206,40.0
aprepitant,cmap_aprepitant,"an antiemetic, mediates its effect by blocking the neurokinin 1 (NK1) receptor",,,,,0.45799999999999996,...+,693,40,40.0
brd-k34485477,ctrp_BRD-K34485477,Not Clinically Relevant,,0.39899999999999997,,0.399,,.+..,41,207,41.0
imiquimod,cmap_imiquimod,"immune response modifier, used to treat genital warts, superficial basal cell carcinoma, and actinic keratosis. ",,,,,0.431,...+,694,42,42.0
ml050,ctrp_ML050,Not Clinically Relevant,,0.396,,0.396,,.+..,42,208,42.0
vemurafenib,cmap_vemurafenib,BRAF (V600E) inhibitor,,,,,0.419,...+,695,43,43.0
sr1001,ctrp_SR1001,Not Clinically Relevant,,0.39399999999999996,,0.394,,.+..,43,209,43.0
iu1,ctrp_IU1,Not Clinically Relevant,,0.39299999999999996,,0.393,,.+..,44,210,44.0
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.40700000000000003,...+,696,44,44.0
cil55,ctrp_CIL55,Not Clinically Relevant,,0.392,,0.392,,.+..,45,211,45.0
brd1835,ctrp_BRD1835,Not Clinically Relevant,,0.391,,0.391,,.+..,46,212,46.0
on-01910,cmap_on-01910,"ON-01910, Plk-1 inhibitor",,,,,0.37200000000000005,...+,697,46,46.0
formestane,cmap_formestane,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer",,,,,0.342,...+,698,47,47.0
skepinone-l,ctrp_skepinone-L,Not Clinically Relevant,,0.38799999999999996,,0.388,,.+..,47,213,47.0
sitagliptin,cmap_sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.348,,0.348,0.9940000000000001,.+.+,95,1,48.0
brd-k99006945,ctrp_BRD-K99006945,Not Clinically Relevant,,0.387,,0.387,,.+..,48,214,48.0
xl765,ctrp_XL765,PI3K/mTOR inhibitor,,0.386,,0.386,,.+..,49,215,49.0
compound 1b,ctrp_compound 1B,Not Clinically Relevant,,0.384,,0.384,,.+..,50,216,50.0
kw-2449,ctrp_KW-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.381,,0.381,,.+..,51,217,51.0
toremifene,cmap_toremifene,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen,,,,,0.252,...+-,674,51,51.0
brd-k92856060,ctrp_BRD-K92856060,Not Clinically Relevant,,0.38,,0.38,,.+..,52,218,52.0
cinacalcet,cmap_cinacalcet,Calcium reducer (increases  sensitivity of calcium receptors on parathyroid cells to reduce parathyroid hormone (PTH) levels and thus decrease serum calcium),,,,,0.244,...+,700,52,52.0
talazoparib,gdsc_Talazoparib,Not Clinically Relevant,0.38,,,0.38,,+...,53,219,53.0
tegafur,cmap_tegafur,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU",,,,,0.244,...+,701,53,53.0
jw-74,ctrp_JW-74,Not Clinically Relevant,,0.38,,0.38,,.+..,54,220,54.0
epigallocatechin-3-monogallate,ctrp_epigallocatechin-3-monogallate,Not Clinically Relevant,,0.38,,0.38,,.+..,55,221,55.0
capecitabine,cmap_capecitabine,"Capecitabine is metabolised to 5-FU, a thymidylate synthase inhibitor, which inhibits DNA synthesis",,,,,0.223,...+,702,55,55.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.221,...+,703,56,56.0
repligen 136,ctrp_Repligen 136,Not Clinically Relevant,,0.38,,0.38,,.+..,57,222,57.0
brd-k49290616,ctrp_BRD-K49290616,Not Clinically Relevant,,0.37799999999999995,,0.378,,.+..,58,223,58.0
tacrolimus,ctrp_tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.37799999999999995,,0.378,0.21625000000000005,.+.++-,59,58,58.5
cs-1657,cmap_cs-1657,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.192,...+,705,59,59.0
pirfenidone,cmap_pirfenidone, antifibrotic and anti-inflammatory,,,,,0.192,...+,704,60,60.0
sotrastaurin,ctrp_sotrastaurin,pan-PKC inhibitor,,0.37799999999999995,,0.378,,.+..,60,224,60.0
brd-k42260513,ctrp_BRD-K42260513,Not Clinically Relevant,,0.377,,0.377,,.+..,61,225,61.0
kin001-266,gdsc_KIN001-266,Not Clinically Relevant,0.376,,,0.376,,+...,62,226,62.0
mln-2238,cmap_mln-2238,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.159,...+,706,63,63.0
cil41,ctrp_CIL41,Not Clinically Relevant,,0.375,,0.375,,.+..,63,227,63.0
ondansetron,cmap_ondansetron,"selective serotonin 5-HT3 receptor antagonist ,used to prevent nausea and vomiting caused by chemotherapy and radiotherapy",,,,,0.157,...+,707,64,64.0
pf-4800567 hydrochloride,ctrp_PF-4800567 hydrochloride,Not Clinically Relevant,,0.374,,0.374,,.+..,64,228,64.0
alfuzosin,cmap_alfuzosin,"alpha-blocker. Causes smooth muscles in the bladder neck and prostate to relax, whcih improves urine flow and reduces the symptoms of BPH.",,,,,0.155,...+,708,65,65.0
compound 7d-cis,ctrp_Compound 7d-cis,Not Clinically Relevant,,0.374,,0.374,,.+..,65,229,65.0
16-beta-bromoandrosterone,ctrp_16-beta-bromoandrosterone,Not Clinically Relevant,,0.373,,0.373,,.+..,66,230,66.0
brd-k29313308,ctrp_BRD-K29313308,Not Clinically Relevant,,0.371,,0.371,,.+..,67,231,67.0
jw-55,ctrp_JW-55,Not Clinically Relevant,,0.371,,0.371,,.+..,68,232,68.0
linsitinib,ctrp_linsitinib,IGF-1R inhibitor,0.625,0.451,,0.538,-0.6679999999999999,++.-,11,126,68.5
hg-5-113-01,gdsc_HG-5-113-01,Not Clinically Relevant,0.37,,,0.37,,+...,69,233,69.0
brd-k51831558,ctrp_BRD-K51831558,Not Clinically Relevant,,0.37,,0.37,,.+..,70,234,70.0
prima-1-met,ctrp_PRIMA-1-Met,Not Clinically Relevant,,0.37,,0.37,,.+..,71,235,71.0
brd-k24690302,ctrp_BRD-K24690302,Not Clinically Relevant,,0.369,,0.369,,.+..,72,236,72.0
nsc30930,ctrp_NSC30930,Not Clinically Relevant,,0.369,,0.369,,.+..,73,237,73.0
