,moa,GDSC,CTRP,CCLE,drug,score,evidence
alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.684,,,gdsc_Alectinib,0.684,+..
gsk1070916,Not Clinically Relevant,0.644,,,gdsc_GSK1070916,0.644,+..
sb52334,Not Clinically Relevant,0.617,,,gdsc_SB52334,0.617,+..
ql-xii-61,Not Clinically Relevant,0.5920000000000001,,,gdsc_QL-XII-61,0.592,+..
tl-2-105,Not Clinically Relevant,0.569,,,gdsc_TL-2-105,0.569,+..
ql-xi-92,Not Clinically Relevant,0.568,,,gdsc_QL-XI-92,0.568,+..
vx-702,Not Clinically Relevant,0.562,,,gdsc_VX-702,0.562,+..
gsk429286a,Not Clinically Relevant,0.5529999999999999,,,gdsc_GSK429286A,0.553,+..
y-39983,Not Clinically Relevant,0.547,,,gdsc_Y-39983,0.547,+..
bx-912,Not Clinically Relevant,0.546,,,gdsc_BX-912,0.546,+..
linsitinib,IGF-1R inhibitor,0.625,0.451,,ctrp_linsitinib,0.538,++.
tubastatin a,Not Clinically Relevant,0.5870000000000001,0.431,,ctrp_tubastatin A,0.509,++.
gw-2580,Not Clinically Relevant,0.49,,,gdsc_GW-2580,0.49,+..
tretinoin,Retinoid,0.544,0.424,,ctrp_tretinoin,0.484,++.
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.674,0.29,,ctrp_navitoclax,0.482,++.
kin001-260,Not Clinically Relevant,0.473,,,gdsc_KIN001-260,0.473,+..
hg-5-88-01,Not Clinically Relevant,0.47200000000000003,,,gdsc_HG-5-88-01,0.472,+..
amuvatinib,Not Clinically Relevant,0.47200000000000003,,,gdsc_Amuvatinib,0.472,+..
xmd14-99,Not Clinically Relevant,0.467,,,gdsc_XMD14-99,0.467,+..
xmd13-2,Not Clinically Relevant,0.465,,,gdsc_XMD13-2,0.465,+..
axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.551,0.373,,ctrp_axitinib,0.462,++.
avrainvillamide,Not Clinically Relevant,,0.46,,ctrp_avrainvillamide,0.46,.+.
ispinesib mesylate,Not Clinically Relevant,0.45899999999999996,,,gdsc_Ispinesib Mesylate,0.459,+..
gsk319347a,Not Clinically Relevant,0.44799999999999995,,,gdsc_GSK319347A,0.448,+..
staurosporine,Not Clinically Relevant,,0.447,,ctrp_staurosporine,0.447,.+.
quizartinib,Flt3 inhibitor,0.61,0.27899999999999997,,ctrp_quizartinib,0.444,++.
sb-505124,Not Clinically Relevant,0.44,,,gdsc_SB-505124,0.44,+..
barasertib,highly selective Aurora B kinase inhibitor,,0.431,,ctrp_barasertib,0.431,.+.
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.426,,ctrp_chlorambucil,0.426,.+.
cct036477,Not Clinically Relevant,,0.426,,ctrp_CCT036477,0.426,.+.
bms-195614,Not Clinically Relevant,,0.423,,ctrp_BMS-195614,0.423,.+.
brd-k51490254,Not Clinically Relevant,,0.42,,ctrp_BRD-K51490254,0.42,.+.
kin001-270,Not Clinically Relevant,0.41700000000000004,,,gdsc_KIN001-270,0.417,+..
isoliquiritigenin,Not Clinically Relevant,,0.41600000000000004,,ctrp_isoliquiritigenin,0.416,.+.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.415,,ctrp_indisulam,0.415,.+.
brd-k26531177,Not Clinically Relevant,,0.409,,ctrp_BRD-K26531177,0.409,.+.
abt-737,Bcl-2/Bcl-xL inhibitor,,0.408,,ctrp_ABT-737,0.408,.+.
ml239,Not Clinically Relevant,,0.40700000000000003,,ctrp_ML239,0.407,.+.
npk76-ii-72-1,Not Clinically Relevant,0.40299999999999997,,,gdsc_NPK76-II-72-1,0.403,+..
brd-k88742110,Not Clinically Relevant,,0.4,,ctrp_BRD-K88742110,0.4,.+.
brd-k34485477,Not Clinically Relevant,,0.39899999999999997,,ctrp_BRD-K34485477,0.399,.+.
ml050,Not Clinically Relevant,,0.396,,ctrp_ML050,0.396,.+.
sr1001,Not Clinically Relevant,,0.39399999999999996,,ctrp_SR1001,0.394,.+.
iu1,Not Clinically Relevant,,0.39299999999999996,,ctrp_IU1,0.393,.+.
cil55,Not Clinically Relevant,,0.392,,ctrp_CIL55,0.392,.+.
brd1835,Not Clinically Relevant,,0.391,,ctrp_BRD1835,0.391,.+.
skepinone-l,Not Clinically Relevant,,0.38799999999999996,,ctrp_skepinone-L,0.388,.+.
brd-k99006945,Not Clinically Relevant,,0.387,,ctrp_BRD-K99006945,0.387,.+.
xl765,PI3K/mTOR inhibitor,,0.386,,ctrp_XL765,0.386,.+.
compound 1b,Not Clinically Relevant,,0.384,,ctrp_compound 1B,0.384,.+.
kw-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.381,,ctrp_KW-2449,0.381,.+.
alisertib,Aurora A kinase inhibitor,,0.38,,ctrp_alisertib,0.38,.+.
epigallocatechin-3-monogallate,Not Clinically Relevant,,0.38,,ctrp_epigallocatechin-3-monogallate,0.38,.+.
repligen 136,Not Clinically Relevant,,0.38,,ctrp_Repligen 136,0.38,.+.
jw-74,Not Clinically Relevant,,0.38,,ctrp_JW-74,0.38,.+.
talazoparib,Not Clinically Relevant,0.38,,,gdsc_Talazoparib,0.38,+..
brd-k92856060,Not Clinically Relevant,,0.38,,ctrp_BRD-K92856060,0.38,.+.
brd-k49290616,Not Clinically Relevant,,0.37799999999999995,,ctrp_BRD-K49290616,0.378,.+.
tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.37799999999999995,,ctrp_tacrolimus,0.378,.+.
sotrastaurin,pan-PKC inhibitor,,0.37799999999999995,,ctrp_sotrastaurin,0.378,.+.
brd-k42260513,Not Clinically Relevant,,0.377,,ctrp_BRD-K42260513,0.377,.+.
kin001-266,Not Clinically Relevant,0.376,,,gdsc_KIN001-266,0.376,+..
cil41,Not Clinically Relevant,,0.375,,ctrp_CIL41,0.375,.+.
compound 7d-cis,Not Clinically Relevant,,0.374,,ctrp_Compound 7d-cis,0.374,.+.
pf-4800567 hydrochloride,Not Clinically Relevant,,0.374,,ctrp_PF-4800567 hydrochloride,0.374,.+.
16-beta-bromoandrosterone,Not Clinically Relevant,,0.373,,ctrp_16-beta-bromoandrosterone,0.373,.+.
brd-k29313308,Not Clinically Relevant,,0.371,,ctrp_BRD-K29313308,0.371,.+.
jw-55,Not Clinically Relevant,,0.371,,ctrp_JW-55,0.371,.+.
hg-5-113-01,Not Clinically Relevant,0.37,,,gdsc_HG-5-113-01,0.37,+..
brd-k51831558,Not Clinically Relevant,,0.37,,ctrp_BRD-K51831558,0.37,.+.
prima-1-met,Not Clinically Relevant,,0.37,,ctrp_PRIMA-1-Met,0.37,.+.
brd-k24690302,Not Clinically Relevant,,0.369,,ctrp_BRD-K24690302,0.369,.+.
nsc30930,Not Clinically Relevant,,0.369,,ctrp_NSC30930,0.369,.+.
brd-a71883111,Not Clinically Relevant,,0.368,,ctrp_BRD-A71883111,0.368,.+.
brd-k28456706,Not Clinically Relevant,,0.368,,ctrp_BRD-K28456706,0.368,.+.
brd-k02251932,Not Clinically Relevant,,0.368,,ctrp_BRD-K02251932,0.368,.+.
brd-k13999467,Not Clinically Relevant,,0.366,,ctrp_BRD-K13999467,0.366,.+.
foretinib,c-Met/VEGFR2 inhibitor,,0.366,,ctrp_foretinib,0.366,.+.
rg-108,Not Clinically Relevant,,0.365,,ctrp_RG-108,0.365,.+.
tipifarnib-p1,Not Clinically Relevant,,0.365,,ctrp_tipifarnib-P1,0.365,.+.
necrostatin-7,Not Clinically Relevant,,0.363,,ctrp_necrostatin-7,0.363,.+.
nsc 74859,Not Clinically Relevant,,0.363,,ctrp_NSC 74859,0.363,.+.
ac55649,Not Clinically Relevant,,0.361,,ctrp_AC55649,0.361,.+.
ml203,Not Clinically Relevant,,0.358,,ctrp_ML203,0.358,.+.
sz4ta2,Not Clinically Relevant,,0.35600000000000004,,ctrp_SZ4TA2,0.356,.+.
bms-270394,Not Clinically Relevant,,0.355,,ctrp_BMS-270394,0.355,.+.
px-12,thioredoxin-1 (Trx-1) inhibitor,,0.355,,ctrp_PX-12,0.355,.+.
ski-ii,Not Clinically Relevant,,0.354,,ctrp_SKI-II,0.354,.+.
brd-m00053801,Not Clinically Relevant,,0.354,,ctrp_BRD-M00053801,0.354,.+.
mdivi-1,Not Clinically Relevant,,0.35200000000000004,,ctrp_Mdivi-1,0.352,.+.
pifithrin-mu,Not Clinically Relevant,,0.35200000000000004,,ctrp_pifithrin-mu,0.352,.+.
brd-k29086754,Not Clinically Relevant,,0.35,,ctrp_BRD-K29086754,0.35,.+.
pac-1,Not Clinically Relevant,0.45799999999999996,0.24,,ctrp_PAC-1,0.349,++.
itraconazole,"Anti-fungal, hedgehog antagonist",,0.349,,ctrp_itraconazole,0.349,.+.
sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.348,,ctrp_sitagliptin,0.348,.+.
ym201636,Not Clinically Relevant,0.348,,,gdsc_YM201636,0.348,+..
brd-k19103580,Not Clinically Relevant,,0.34700000000000003,,ctrp_BRD-K19103580,0.347,.+.
belinostat,HDAC inhibitor (PXD101),0.31,0.384,,gdsc_Belinostat,0.347,++.
vx-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.345,,ctrp_VX-680,0.345,.+.
cil70,Not Clinically Relevant,,0.345,,ctrp_CIL70,0.345,.+.
azd1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.344,,ctrp_AZD1480,0.344,.+.
lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.344,,ctrp_lenvatinib,0.344,.+.
ly-2183240,Not Clinically Relevant,,0.344,,ctrp_LY-2183240,0.344,.+.
gmx-1778,Not Clinically Relevant,,0.344,,ctrp_GMX-1778,0.344,.+.
ki8751,Not Clinically Relevant,,0.34299999999999997,,ctrp_Ki8751,0.343,.+.
daporinad,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells",0.397,0.287,,ctrp_daporinad,0.342,++.
azd4547,"FGFR-1,2 and 3 inhibitor",,0.341,,ctrp_AZD4547,0.341,.+.
pdmp,Not Clinically Relevant,,0.341,,ctrp_PDMP,0.341,.+.
cisplatin,Not Clinically Relevant,0.341,,,gdsc_Cisplatin,0.341,+..
elocalcitol,vitamin D receptor agonist,,0.34,,ctrp_elocalcitol,0.34,.+.
vorinostat,HDAC inhibitor (SAHA),0.364,0.316,,ctrp_vorinostat,0.34,++.
mps-1-in-1,Not Clinically Relevant,0.33899999999999997,,,gdsc_MPS-1-IN-1,0.339,+..
brd-k90370028,Not Clinically Relevant,,0.33799999999999997,,ctrp_BRD-K90370028,0.338,.+.
darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.33799999999999997,,ctrp_darinaparsin,0.338,.+.
cytarabine hydrochloride,Not Clinically Relevant,,0.33799999999999997,,ctrp_cytarabine hydrochloride,0.338,.+.
kpt185,Not Clinically Relevant,,0.33799999999999997,,ctrp_KPT185,0.338,.+.
compound 1541a,Not Clinically Relevant,,0.33799999999999997,,ctrp_Compound 1541A,0.338,.+.
birb-796,Not Clinically Relevant,,0.337,,ctrp_BIRB-796,0.337,.+.
teniposide,Topo II inhibitor,,0.337,,ctrp_teniposide,0.337,.+.
aica ribonucleotide,Not Clinically Relevant,0.337,,,gdsc_AICA Ribonucleotide,0.337,+..
fedratinib,JAK2 inhibitor,0.336,,,gdsc_Fedratinib,0.336,+..
brd8899,Not Clinically Relevant,,0.336,,ctrp_BRD8899,0.336,.+.
tg-100-115,PI3Kγ/δ inhibitor,,0.336,,ctrp_TG-100-115,0.336,.+.
ceranib-2,Not Clinically Relevant,,0.33399999999999996,,ctrp_ceranib-2,0.334,.+.
tacedinaline,Not Clinically Relevant,,0.33399999999999996,,ctrp_tacedinaline,0.334,.+.
