,moa,GDSC,CTRP,CCLE,drug,score,evidence
tl-2-105,Not Clinically Relevant,0.624,,,gdsc_TL-2-105,0.624,+..
gsk1070916,Not Clinically Relevant,0.614,,,gdsc_GSK1070916,0.614,+..
sb52334,Not Clinically Relevant,0.612,,,gdsc_SB52334,0.612,+..
ql-xii-61,Not Clinically Relevant,0.599,,,gdsc_QL-XII-61,0.599,+..
linsitinib,IGF-1R inhibitor,0.611,0.514,,ctrp_linsitinib,0.562,++.
gw-2580,Not Clinically Relevant,0.527,,,gdsc_GW-2580,0.527,+..
tubastatin a,Not Clinically Relevant,0.575,0.474,,ctrp_tubastatin A,0.524,++.
vx-702,Not Clinically Relevant,0.522,,,gdsc_VX-702,0.522,+..
bx-912,Not Clinically Relevant,0.51,,,gdsc_BX-912,0.51,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.6559999999999999,0.32299999999999995,,ctrp_navitoclax,0.489,++.
gsk319347a,Not Clinically Relevant,0.48700000000000004,,,gdsc_GSK319347A,0.487,+..
rucaparib,"PARP inhibitor, inhibits DNA repair",0.48200000000000004,,,gdsc_Rucaparib,0.482,+..
amuvatinib,Not Clinically Relevant,0.47200000000000003,,,gdsc_Amuvatinib,0.472,+..
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.45799999999999996,,ctrp_indisulam,0.458,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.457,,ctrp_barasertib,0.457,.+.
avrainvillamide,Not Clinically Relevant,,0.456,,ctrp_avrainvillamide,0.456,.+.
axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.496,0.415,,ctrp_axitinib,0.456,++.
abt-737,Bcl-2/Bcl-xL inhibitor,,0.45299999999999996,,ctrp_ABT-737,0.453,.+.
xmd13-2,Not Clinically Relevant,0.451,,,gdsc_XMD13-2,0.451,+..
pf-4800567 hydrochloride,Not Clinically Relevant,,0.45,,ctrp_PF-4800567 hydrochloride,0.45,.+.
brd-k26531177,Not Clinically Relevant,,0.439,,ctrp_BRD-K26531177,0.439,.+.
brd-k28456706,Not Clinically Relevant,,0.439,,ctrp_BRD-K28456706,0.439,.+.
skepinone-l,Not Clinically Relevant,,0.43700000000000006,,ctrp_skepinone-L,0.437,.+.
brd-k88742110,Not Clinically Relevant,,0.435,,ctrp_BRD-K88742110,0.435,.+.
sotrastaurin,pan-PKC inhibitor,,0.434,,ctrp_sotrastaurin,0.434,.+.
bms-195614,Not Clinically Relevant,,0.433,,ctrp_BMS-195614,0.433,.+.
cct036477,Not Clinically Relevant,,0.431,,ctrp_CCT036477,0.431,.+.
brd-a71883111,Not Clinically Relevant,,0.431,,ctrp_BRD-A71883111,0.431,.+.
sb-505124,Not Clinically Relevant,0.43,,,gdsc_SB-505124,0.43,+..
ml239,Not Clinically Relevant,,0.428,,ctrp_ML239,0.428,.+.
16-beta-bromoandrosterone,Not Clinically Relevant,,0.42700000000000005,,ctrp_16-beta-bromoandrosterone,0.427,.+.
xl765,PI3K/mTOR inhibitor,,0.42700000000000005,,ctrp_XL765,0.427,.+.
hg-5-88-01,Not Clinically Relevant,0.426,,,gdsc_HG-5-88-01,0.426,+..
brd-k51831558,Not Clinically Relevant,,0.425,,ctrp_BRD-K51831558,0.425,.+.
cil55,Not Clinically Relevant,,0.424,,ctrp_CIL55,0.424,.+.
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.42200000000000004,,ctrp_chlorambucil,0.422,.+.
compound 7d-cis,Not Clinically Relevant,,0.42200000000000004,,ctrp_Compound 7d-cis,0.422,.+.
staurosporine,Not Clinically Relevant,,0.42200000000000004,,ctrp_staurosporine,0.422,.+.
brd-k51490254,Not Clinically Relevant,,0.42100000000000004,,ctrp_BRD-K51490254,0.421,.+.
ml203,Not Clinically Relevant,,0.418,,ctrp_ML203,0.418,.+.
cil41,Not Clinically Relevant,,0.41700000000000004,,ctrp_CIL41,0.417,.+.
alisertib,Aurora A kinase inhibitor,,0.41600000000000004,,ctrp_alisertib,0.416,.+.
iu1,Not Clinically Relevant,,0.414,,ctrp_IU1,0.414,.+.
tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.413,,ctrp_tacrolimus,0.413,.+.
epigallocatechin-3-monogallate,Not Clinically Relevant,,0.41100000000000003,,ctrp_epigallocatechin-3-monogallate,0.411,.+.
brd-k24690302,Not Clinically Relevant,,0.408,,ctrp_BRD-K24690302,0.408,.+.
brd-k13999467,Not Clinically Relevant,,0.406,,ctrp_BRD-K13999467,0.406,.+.
foretinib,c-Met/VEGFR2 inhibitor,,0.405,,ctrp_foretinib,0.405,.+.
brd-k49290616,Not Clinically Relevant,,0.405,,ctrp_BRD-K49290616,0.405,.+.
compound 1541a,Not Clinically Relevant,,0.405,,ctrp_Compound 1541A,0.405,.+.
ispinesib mesylate,Not Clinically Relevant,0.405,,,gdsc_Ispinesib Mesylate,0.405,+..
tipifarnib-p1,Not Clinically Relevant,,0.40399999999999997,,ctrp_tipifarnib-P1,0.404,.+.
brd-m00053801,Not Clinically Relevant,,0.40399999999999997,,ctrp_BRD-M00053801,0.404,.+.
bms-270394,Not Clinically Relevant,,0.40299999999999997,,ctrp_BMS-270394,0.403,.+.
rg-108,Not Clinically Relevant,,0.40299999999999997,,ctrp_RG-108,0.403,.+.
sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.40299999999999997,,ctrp_sitagliptin,0.403,.+.
ml050,Not Clinically Relevant,,0.402,,ctrp_ML050,0.402,.+.
ceranib-2,Not Clinically Relevant,,0.401,,ctrp_ceranib-2,0.401,.+.
sz4ta2,Not Clinically Relevant,,0.401,,ctrp_SZ4TA2,0.401,.+.
isoliquiritigenin,Not Clinically Relevant,,0.401,,ctrp_isoliquiritigenin,0.401,.+.
cytarabine hydrochloride,Not Clinically Relevant,,0.39899999999999997,,ctrp_cytarabine hydrochloride,0.399,.+.
prima-1-met,Not Clinically Relevant,,0.39799999999999996,,ctrp_PRIMA-1-Met,0.398,.+.
brd-k90370028,Not Clinically Relevant,,0.397,,ctrp_BRD-K90370028,0.397,.+.
ac55649,Not Clinically Relevant,,0.395,,ctrp_AC55649,0.395,.+.
mst-312,Not Clinically Relevant,,0.395,,ctrp_MST-312,0.395,.+.
px-12,thioredoxin-1 (Trx-1) inhibitor,,0.39399999999999996,,ctrp_PX-12,0.394,.+.
ly-2183240,Not Clinically Relevant,,0.39299999999999996,,ctrp_LY-2183240,0.393,.+.
brd-k29313308,Not Clinically Relevant,,0.39299999999999996,,ctrp_BRD-K29313308,0.393,.+.
azd1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.391,,ctrp_AZD1480,0.391,.+.
sr1001,Not Clinically Relevant,,0.39,,ctrp_SR1001,0.39,.+.
jw-74,Not Clinically Relevant,,0.39,,ctrp_JW-74,0.39,.+.
brd-k42260513,Not Clinically Relevant,,0.39,,ctrp_BRD-K42260513,0.39,.+.
brd-k92856060,Not Clinically Relevant,,0.389,,ctrp_BRD-K92856060,0.389,.+.
repligen 136,Not Clinically Relevant,,0.387,,ctrp_Repligen 136,0.387,.+.
nvp-adw742,Not Clinically Relevant,,0.385,,ctrp_NVP-ADW742,0.385,.+.
kpt185,Not Clinically Relevant,,0.384,,ctrp_KPT185,0.384,.+.
brd-k34485477,Not Clinically Relevant,,0.384,,ctrp_BRD-K34485477,0.384,.+.
bibr-1532,Not Clinically Relevant,,0.384,,ctrp_BIBR-1532,0.384,.+.
nsc30930,Not Clinically Relevant,,0.382,,ctrp_NSC30930,0.382,.+.
cay10576,Not Clinically Relevant,,0.381,,ctrp_CAY10576,0.381,.+.
gmx-1778,Not Clinically Relevant,,0.379,,ctrp_GMX-1778,0.379,.+.
pf-184,Not Clinically Relevant,,0.37799999999999995,,ctrp_PF-184,0.378,.+.
abt-199,Bcl2 inhibitor,,0.377,,ctrp_ABT-199,0.377,.+.
brd1835,Not Clinically Relevant,,0.377,,ctrp_BRD1835,0.377,.+.
ki8751,Not Clinically Relevant,,0.377,,ctrp_Ki8751,0.377,.+.
tivantinib,Met inhibitor,,0.377,,ctrp_tivantinib,0.377,.+.
kw-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.376,,ctrp_KW-2449,0.376,.+.
nsc23766,Not Clinically Relevant,,0.376,,ctrp_NSC23766,0.376,.+.
fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.375,,ctrp_fingolimod,0.375,.+.
kin001-270,Not Clinically Relevant,0.375,,,gdsc_KIN001-270,0.375,+..
apicidin,Not Clinically Relevant,,0.375,,ctrp_apicidin,0.375,.+.
fgin-1-27,Not Clinically Relevant,,0.374,,ctrp_FGIN-1-27,0.374,.+.
brd6340,Not Clinically Relevant,,0.374,,ctrp_BRD6340,0.374,.+.
omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.373,,ctrp_omacetaxine mepesuccinate,0.373,.+.
ski-ii,Not Clinically Relevant,,0.373,,ctrp_SKI-II,0.373,.+.
elocalcitol,vitamin D receptor agonist,,0.37200000000000005,,ctrp_elocalcitol,0.372,.+.
mdivi-1,Not Clinically Relevant,,0.37200000000000005,,ctrp_Mdivi-1,0.372,.+.
unc1215,Not Clinically Relevant,0.371,,,gdsc_UNC1215,0.371,+..
lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.371,,ctrp_lenvatinib,0.371,.+.
sb-225002,Not Clinically Relevant,,0.37,,ctrp_SB-225002,0.37,.+.
968,Not Clinically Relevant,,0.37,,ctrp_968,0.37,.+.
necrostatin-7,Not Clinically Relevant,,0.37,,ctrp_necrostatin-7,0.37,.+.
isoevodiamine,Not Clinically Relevant,,0.369,,ctrp_isoevodiamine,0.369,.+.
lbh-589,HDAC inhibitor,,0.368,,ctrp_LBH-589,0.368,.+.
mgcd-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.368,,ctrp_MGCD-265,0.368,.+.
itraconazole,"Anti-fungal, hedgehog antagonist",,0.368,,ctrp_itraconazole,0.368,.+.
brd-k11533227,Not Clinically Relevant,,0.36700000000000005,,ctrp_BRD-K11533227,0.367,.+.
elcpk,Not Clinically Relevant,,0.364,,ctrp_ELCPK,0.364,.+.
nsc19630,Not Clinically Relevant,,0.363,,ctrp_NSC19630,0.363,.+.
hc-067047,Not Clinically Relevant,,0.361,,ctrp_HC-067047,0.361,.+.
tg-100-115,PI3Kγ/δ inhibitor,,0.361,,ctrp_TG-100-115,0.361,.+.
pdmp,Not Clinically Relevant,,0.361,,ctrp_PDMP,0.361,.+.
brivanib,"multitargeted tyrosine kinase inhibitor, esp VEGFR and FGFR",,0.36,,ctrp_brivanib,0.36,.+.
nsc48300,Not Clinically Relevant,,0.36,,ctrp_NSC48300,0.36,.+.
isox,Not Clinically Relevant,,0.36,,ctrp_ISOX,0.36,.+.
ku-0063794,Not Clinically Relevant,,0.359,,ctrp_KU-0063794,0.359,.+.
ml162,Not Clinically Relevant,,0.359,,ctrp_ML162,0.359,.+.
lomeguatrib,"Inhibitor of MGMT, a DNA repair protein that confers resistance to alkylating agents such as Temozolomide, DTIC, Carmustine, etc. ",,0.358,,ctrp_lomeguatrib,0.358,.+.
pf-3758309,Not Clinically Relevant,,0.358,,ctrp_PF-3758309,0.358,.+.
gw-843682x,Not Clinically Relevant,,0.35700000000000004,,ctrp_GW-843682X,0.357,.+.
pandacostat,Not Clinically Relevant,,0.35600000000000004,,ctrp_pandacostat,0.356,.+.
bendamustine,alkylating agent,,0.355,,ctrp_bendamustine,0.355,.+.
lrrk2-in-1,Not Clinically Relevant,,0.355,,ctrp_LRRK2-IN-1,0.355,.+.
darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.354,,ctrp_darinaparsin,0.354,.+.
brd-k29086754,Not Clinically Relevant,,0.354,,ctrp_BRD-K29086754,0.354,.+.
brd-k02251932,Not Clinically Relevant,,0.353,,ctrp_BRD-K02251932,0.353,.+.
necrostatin-1,Not Clinically Relevant,,0.353,,ctrp_necrostatin-1,0.353,.+.
pl-di,Not Clinically Relevant,,0.353,,ctrp_PL-DI,0.353,.+.
yk 4-279,Not Clinically Relevant,,0.353,,ctrp_YK 4-279,0.353,.+.
azd4547,"FGFR-1,2 and 3 inhibitor",,0.353,,ctrp_AZD4547,0.353,.+.
npk76-ii-72-1,Not Clinically Relevant,0.35200000000000004,,,gdsc_NPK76-II-72-1,0.352,+..
brd-k80183349,Not Clinically Relevant,,0.35200000000000004,,ctrp_BRD-K80183349,0.352,.+.
brd8899,Not Clinically Relevant,,0.35200000000000004,,ctrp_BRD8899,0.352,.+.
nsc 74859,Not Clinically Relevant,,0.35200000000000004,,ctrp_NSC 74859,0.352,.+.
ml006,Not Clinically Relevant,,0.35100000000000003,,ctrp_ML006,0.351,.+.
hli 373,Not Clinically Relevant,,0.35100000000000003,,ctrp_HLI 373,0.351,.+.
mitomycin,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis",,0.35,,ctrp_mitomycin,0.35,.+.
nsc95397,Not Clinically Relevant,,0.35,,ctrp_NSC95397,0.35,.+.
triazolothiadiazine,Not Clinically Relevant,,0.349,,ctrp_triazolothiadiazine,0.349,.+.
ml311,Not Clinically Relevant,,0.349,,ctrp_ML311,0.349,.+.
myriocin,Not Clinically Relevant,,0.349,,ctrp_myriocin,0.349,.+.
ro4929097,Notch (gamma secretase) inhibitor,,0.349,,ctrp_RO4929097,0.349,.+.
compound 23 citrate,Not Clinically Relevant,,0.348,,ctrp_Compound 23 citrate,0.348,.+.
fqi-2,Not Clinically Relevant,,0.348,,ctrp_FQI-2,0.348,.+.
brd-k19103580,Not Clinically Relevant,,0.348,,ctrp_BRD-K19103580,0.348,.+.
thalidomide,"interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma",,0.348,,ctrp_thalidomide,0.348,.+.
manumycin a,Not Clinically Relevant,,0.34700000000000003,,ctrp_manumycin A,0.347,.+.
tacedinaline,Not Clinically Relevant,,0.34600000000000003,,ctrp_tacedinaline,0.346,.+.
decitabine,"Nucleoside analog, inhibitor of DNA methylation and DNA synthesis (Dacogen)",,0.34600000000000003,,ctrp_decitabine,0.346,.+.
mi-2,Not Clinically Relevant,,0.34600000000000003,,ctrp_MI-2,0.346,.+.
brd-k61166597,Not Clinically Relevant,,0.344,,ctrp_BRD-K61166597,0.344,.+.
cil70,Not Clinically Relevant,,0.344,,ctrp_CIL70,0.344,.+.
brd-k41597374,Not Clinically Relevant,,0.344,,ctrp_BRD-K41597374,0.344,.+.
parbendazole,Not Clinically Relevant,,0.34299999999999997,,ctrp_parbendazole,0.343,.+.
bms-754807,Not Clinically Relevant,0.299,0.384,,gdsc_BMS-754807,0.342,++.
pifithrin-mu,Not Clinically Relevant,,0.342,,ctrp_pifithrin-mu,0.342,.+.
erastin,Not Clinically Relevant,,0.341,,ctrp_erastin,0.341,.+.
vx-680,"VX-680, pan-Aurora inhibitor, mostly against Aurora A, less potent towards Aurora B/C",,0.341,,ctrp_VX-680,0.341,.+.
gossypol,"Natural product, may function to inhibit Bcl2 family members",,0.34,,ctrp_gossypol,0.34,.+.
cediranib,VEGFR inhibitor,,0.34,,ctrp_cediranib,0.34,.+.
hyperforin,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA",,0.34,,ctrp_hyperforin,0.34,.+.
sgx-523, Met inhibitor,,0.34,,ctrp_SGX-523,0.34,.+.
bix-01294,Not Clinically Relevant,,0.34,,ctrp_BIX-01294,0.34,.+.
jw-55,Not Clinically Relevant,,0.33899999999999997,,ctrp_JW-55,0.339,.+.
vincristine,"binds tubulin, disrupts microtubule dynamics",,0.33899999999999997,,ctrp_vincristine,0.339,.+.
stf-31,Not Clinically Relevant,,0.33899999999999997,,ctrp_STF-31,0.339,.+.
ml031,Not Clinically Relevant,,0.33799999999999997,,ctrp_ML031,0.338,.+.
ciclopirox,antifungal agent for topical dermatologic treatment of superficial mycoses,,0.337,,ctrp_ciclopirox,0.337,.+.
brd-k84807411,Not Clinically Relevant,,0.337,,ctrp_BRD-K84807411,0.337,.+.
brd-k16147474,Not Clinically Relevant,,0.336,,ctrp_BRD-K16147474,0.336,.+.
necrosulfonamide,Not Clinically Relevant,,0.336,,ctrp_necrosulfonamide,0.336,.+.
birb-796,Not Clinically Relevant,,0.336,,ctrp_BIRB-796,0.336,.+.
cucurbitacin i,Not Clinically Relevant,,0.336,,ctrp_cucurbitacin I,0.336,.+.
brd-k44224150,Not Clinically Relevant,,0.335,,ctrp_BRD-K44224150,0.335,.+.
byl-719,PI3Kα inhibitor with minimal effect on PI3Kβ/γ/δ,,0.335,,ctrp_BYL-719,0.335,.+.
am-580,Not Clinically Relevant,,0.335,,ctrp_AM-580,0.335,.+.
gsk461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,0.33399999999999996,,ctrp_GSK461364,0.334,.+.
lbw242,Not Clinically Relevant,,,0.33299999999999996,ccle_LBW242,0.333,..+
brd-k70511574,Not Clinically Relevant,,0.33299999999999996,,ctrp_BRD-K70511574,0.333,.+.
su11274,Not Clinically Relevant,,0.33299999999999996,,ctrp_SU11274,0.333,.+.
belinostat,HDAC inhibitor (PXD101),0.225,0.439,,gdsc_Belinostat,0.332,++.
fsc231,Not Clinically Relevant,,0.332,,ctrp_FSC231,0.332,.+.
jw-480,Not Clinically Relevant,,0.331,,ctrp_JW-480,0.331,.+.
sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.331,,ctrp_sildenafil,0.331,.+.
brd-k35604418,Not Clinically Relevant,,0.331,,ctrp_BRD-K35604418,0.331,.+.
brd-k30019337,Not Clinically Relevant,,0.33,,ctrp_BRD-K30019337,0.33,.+.
brd-k34222889,Not Clinically Relevant,,0.33,,ctrp_BRD-K34222889,0.33,.+.
brd-k66532283,Not Clinically Relevant,,0.33,,ctrp_BRD-K66532283,0.33,.+.
niclosamide,"used to treat tapeworm infestations,  inhibits glucose uptake, oxidative phosphorylation, and anaerobic metabolism in the tapeworm",,0.33,,ctrp_niclosamide,0.33,.+.
ml029,Not Clinically Relevant,,0.32899999999999996,,ctrp_ML029,0.329,.+.
vorapaxar," thrombin receptor (protease-activated receptor, PAR-1) antagonist based on the natural product himbacine",,0.32799999999999996,,ctrp_vorapaxar,0.328,.+.
gsk1059615,PI3Kα/β/δ/γ and mTOR inhibitor,,0.32799999999999996,,ctrp_GSK1059615,0.328,.+.
brd-k02492147,Not Clinically Relevant,,0.32799999999999996,,ctrp_BRD-K02492147,0.328,.+.
pyr-41,Not Clinically Relevant,,0.32799999999999996,,ctrp_PYR-41,0.328,.+.
brd1812,Not Clinically Relevant,,0.327,,ctrp_BRD1812,0.327,.+.
at13387,Selective potent Hsp90 inhibitor,,0.327,,ctrp_AT13387,0.327,.+.
etp-46464,Not Clinically Relevant,,0.327,,ctrp_ETP-46464,0.327,.+.
cay10618,Not Clinically Relevant,,0.326,,ctrp_CAY10618,0.326,.+.
tandutinib,"FLT3 antagonist, also inhibits PDGFR and c-Kit, ",,0.326,,ctrp_tandutinib,0.326,.+.
at-406,Not Clinically Relevant,,0.326,,ctrp_AT-406,0.326,.+.
ml083,Not Clinically Relevant,,0.326,,ctrp_ML083,0.326,.+.
kx2-391,Src inhibitor (peptidomimetic) that targets the peptide substrate site of Src,,0.325,,ctrp_KX2-391,0.325,.+.
ouabain,Not Clinically Relevant,,0.325,,ctrp_ouabain,0.325,.+.
plx-4032,BRAF (V600E) inhibitor,,0.324,,ctrp_PLX-4032,0.324,.+.
cd-437,Not Clinically Relevant,,0.324,,ctrp_CD-437,0.324,.+.
vorinostat,HDAC inhibitor (SAHA),0.273,0.375,,gdsc_Vorinostat,0.324,++.
dacarbazine,"alkylating agent, Dacarbazine works by methylating guanine at the O-6 and N-7 positions",,0.322,,ctrp_dacarbazine,0.322,.+.
curcumin,"Natural Product, component of turmeric, may function as HDAC inhibitor",,0.322,,ctrp_curcumin,0.322,.+.
nintedanib,"tyrosine-kinase inhibitor, targeting VEGFR, FGFR and PDGFR",,0.322,,ctrp_nintedanib,0.322,.+.
bardoxolone methyl,Not Clinically Relevant,,0.322,,ctrp_bardoxolone methyl,0.322,.+.
mk-1775,Wee1 kinase inhibitor,,0.32,,ctrp_MK-1775,0.32,.+.
brd-k66453893,Not Clinically Relevant,,0.319,,ctrp_BRD-K66453893,0.319,.+.
srt-1720,Not Clinically Relevant,,0.319,,ctrp_SRT-1720,0.319,.+.
pitstop2,Not Clinically Relevant,,0.319,,ctrp_pitstop2,0.319,.+.
brd-k86535717,Not Clinically Relevant,,0.318,,ctrp_BRD-K86535717,0.318,.+.
ko-143,Not Clinically Relevant,,0.318,,ctrp_Ko-143,0.318,.+.
ch-55,Not Clinically Relevant,,0.317,,ctrp_Ch-55,0.317,.+.
brd-k75293299,Not Clinically Relevant,,0.317,,ctrp_BRD-K75293299,0.317,.+.
teniposide,Topo II inhibitor,,0.316,,ctrp_teniposide,0.316,.+.
cimetidine,(Tagamet) Antacid and antihistamine,,0.316,,ctrp_cimetidine,0.316,.+.
b02,Not Clinically Relevant,,0.316,,ctrp_B02,0.316,.+.
neuronal differentiation inducer iii,Not Clinically Relevant,,0.316,,ctrp_neuronal differentiation inducer III,0.316,.+.
tipifarnib-p2,Not Clinically Relevant,,0.315,,ctrp_tipifarnib-P2,0.315,.+.
brd-a86708339,Not Clinically Relevant,,0.315,,ctrp_BRD-A86708339,0.315,.+.
merck60,Not Clinically Relevant,,0.314,,ctrp_Merck60,0.314,.+.
cerulenin,Not Clinically Relevant,,0.313,,ctrp_cerulenin,0.313,.+.
brd-k78574327,Not Clinically Relevant,,0.313,,ctrp_BRD-K78574327,0.313,.+.
nsc632839,Not Clinically Relevant,,0.312,,ctrp_NSC632839,0.312,.+.
cd-1530,Not Clinically Relevant,,0.312,,ctrp_CD-1530,0.312,.+.
nakiterpiosin,Not Clinically Relevant,,0.312,,ctrp_nakiterpiosin,0.312,.+.
brd-a94377914,Not Clinically Relevant,,0.312,,ctrp_BRD-A94377914,0.312,.+.
hg-5-113-01,Not Clinically Relevant,0.311,,,gdsc_HG-5-113-01,0.311,+..
pf-573228,Not Clinically Relevant,,0.31,,ctrp_PF-573228,0.31,.+.
fluorouracil,antimetabolite,,0.31,,ctrp_fluorouracil,0.31,.+.
3-cl-ahpc,Not Clinically Relevant,,0.31,,ctrp_3-Cl-AHPC,0.31,.+.
cil56,Not Clinically Relevant,,0.309,,ctrp_CIL56,0.309,.+.
nvp-bez235,PI3K/mTOR inhibitor,,0.309,,ctrp_NVP-BEZ235,0.309,.+.
gsk-3 inhibitor ix,Not Clinically Relevant,,0.309,,ctrp_GSK-3 inhibitor IX,0.309,.+.
daporinad,"inhibits biosynthesis of (NAD+ from niacinamide (vitamin B3), which may deplete energy reserves in metabolically active tumor cells",0.314,0.304,,ctrp_daporinad,0.309,++.
qs-11,Not Clinically Relevant,,0.309,,ctrp_QS-11,0.309,.+.
chm-1,Not Clinically Relevant,,0.309,,ctrp_CHM-1,0.309,.+.
rigosertib,"ON-01910, Plk-1 inhibitor",,0.307,,ctrp_rigosertib,0.307,.+.
prl-3 inhibitor i,Not Clinically Relevant,,0.306,,ctrp_PRL-3 inhibitor I,0.306,.+.
brd-k37390332,Not Clinically Relevant,,0.305,,ctrp_BRD-K37390332,0.305,.+.
topotecan,Topo I inhibitor,,0.36,0.25,ccle_Topotecan,0.305,.++
brd-k85133207,Not Clinically Relevant,,0.303,,ctrp_BRD-K85133207,0.303,.+.
silmitasertib,casein kinase 2 inhibitor ,,0.302,,ctrp_silmitasertib,0.302,.+.
