,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.626,,,0.626,,+...,1,175,1.0
ql-xii-61,gdsc_QL-XII-61,Not Clinically Relevant,0.57,,,0.57,,+...,2,176,2.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.562,,,0.562,,+...,3,177,3.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.9590000000000001,...+,673,4,4.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.556,,,0.556,,+...,4,178,4.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.552,,,0.552,,+...,5,179,5.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.951,...+,676,5,5.0
escitalopram,cmap_escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI),,,,,0.951,...+,675,6,6.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.5479999999999999,,,0.548,,+...,6,180,6.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.5479999999999999,,,0.548,,+...,7,181,7.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.599,0.44,,0.52,,++..,9,182,9.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.938,...+,677,9,9.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.938,...+,678,10,10.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.505,,,0.505,,+...,10,183,10.0
formestane,cmap_formestane,"steroidal, selective aromatase inhibitor, used for ER+ Breast cancer",,,,,0.93,...+,679,11,11.0
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.456,,,0.456,0.948,+..+,15,7,11.0
cs-1657,cmap_cs-1657,"Ixazomib, Proteasome inhibitor, inhibits the chymotrypsin-like proteolytic (β5) site of the 20S proteasome ",,,,,0.904,...+,680,14,14.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.461,,,0.461,,+...,14,184,14.0
goserelin,cmap_goserelin,"decapeptide, synthetic analog of LHRH, suppresses production of testosterone and estrogen",,,,,0.8959999999999999,...+,682,15,15.0
on-01910,cmap_on-01910,"ON-01910, Plk-1 inhibitor",,,,,0.889,...+,683,16,16.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.444,,,0.444,,+...,17,185,17.0
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.8740000000000001,...+,684,17,17.0
hg-5-88-01,gdsc_HG-5-88-01,Not Clinically Relevant,0.439,,,0.439,,+...,18,186,18.0
altretamine,cmap_altretamine,alkylating antineoplastic agent,,,,,0.848,...+,685,19,19.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.431,,0.431,,.+..,19,187,19.0
sb-505124,gdsc_SB-505124,Not Clinically Relevant,0.425,,,0.425,,+...,20,188,20.0
carmofur,cmap_carmofur,"derivative of fluorouracil, pyrimidine analog",,,,,0.7879999999999999,...+,688,20,20.0
sotrastaurin,ctrp_sotrastaurin,pan-PKC inhibitor,,0.42200000000000004,,0.422,,.+..,21,189,21.0
compound 7d-cis,ctrp_Compound 7d-cis,Not Clinically Relevant,,0.414,,0.414,,.+..,22,190,22.0
gsk319347a,gdsc_GSK319347A,Not Clinically Relevant,0.41100000000000003,,,0.411,,+...,23,191,23.0
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.408,,0.408,,.+..,24,192,24.0
bms-195614,ctrp_BMS-195614,Not Clinically Relevant,,0.40399999999999997,,0.404,,.+..,25,193,25.0
barasertib,ctrp_barasertib,highly selective Aurora B kinase inhibitor,,0.39299999999999996,,0.393,0.848,.+.+,34,18,26.0
skepinone-l,ctrp_skepinone-L,Not Clinically Relevant,,0.40299999999999997,,0.403,,.+..,26,194,26.0
ispinesib mesylate,gdsc_Ispinesib Mesylate,Not Clinically Relevant,0.40299999999999997,,,0.403,,+...,27,195,27.0
tegafur,cmap_tegafur,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU",,,,,0.7120000000000001,...+,689,27,27.0
brd-k51490254,ctrp_BRD-K51490254,Not Clinically Relevant,,0.401,,0.401,,.+..,28,196,28.0
homoharringtonine,cmap_homoharringtonine,"natural product, protein translation inhibitor, used for myeloid leukemia",,,,,0.711,...++,686,28,28.0
brd-k42260513,ctrp_BRD-K42260513,Not Clinically Relevant,,0.4,,0.4,,.+..,29,197,29.0
palonosetron,cmap_palonosetron, 5-HT3 antagonist used in the prevention and treatment of chemotherapy-induced nausea and vomiting,,,,,0.7090000000000001,...+,690,29,29.0
axitinib,ctrp_axitinib,"VEGFR, c-KIT and PDGFR inhibitor",0.5589999999999999,0.389,,0.474,0.5660000000000001,++.+,13,46,29.5
brd-k88742110,ctrp_BRD-K88742110,Not Clinically Relevant,,0.4,,0.4,,.+..,30,198,30.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.703,...+,691,30,30.0
brd-k99006945,ctrp_BRD-K99006945,Not Clinically Relevant,,0.396,,0.396,,.+..,31,199,31.0
streptozotocin,cmap_streptozotocin,"pancreatic beta cell toxin, used to treat metastatic cancer of pancreatic islet cells.",,,,,0.7,...+,692,31,31.0
abt-737,ctrp_ABT-737,Bcl-2/Bcl-xL inhibitor,,0.395,,0.395,0.6609999999999999,.+.+,32,34,33.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.672,...+,693,33,33.0
xl765,ctrp_XL765,PI3K/mTOR inhibitor,,0.39299999999999996,,0.393,,.+..,33,200,33.0
brd-k49290616,ctrp_BRD-K49290616,Not Clinically Relevant,,0.392,,0.392,,.+..,35,201,35.0
