,drug,MoA,GDSC,CTRP,CCLE,DiSCoVER,CMAP,evidence,DiSCoVER rank,CMAP rank,Average rank
alectinib,gdsc_Alectinib,"ALK inhibitor, used to treat non-small-cell lung cancer (NSCLC)",0.698,,,0.698,,+...,1,175,1.0
tg100-115,cmap_tg100-115,PI3Kγ/δ inhibitor,,,,,0.988,...+,673,2,2.0
gsk1070916,gdsc_GSK1070916,Not Clinically Relevant,0.6659999999999999,,,0.666,,+...,2,176,2.0
sb52334,gdsc_SB52334,Not Clinically Relevant,0.6629999999999999,,,0.663,,+...,3,177,3.0
iobenguane,cmap_iobenguane,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline",,,,,0.9620000000000001,...+,676,4,4.0
tl-2-105,gdsc_TL-2-105,Not Clinically Relevant,0.6629999999999999,,,0.663,,+...,4,178,4.0
gsk-461364,cmap_gsk-461364,"Plk1 inhibitor, less active against Plk2 and Plk3.",,,,,0.955,...+,677,5,5.0
gsk429286a,gdsc_GSK429286A,Not Clinically Relevant,0.607,,,0.607,,+...,5,179,5.0
gw-2580,gdsc_GW-2580,Not Clinically Relevant,0.5820000000000001,,,0.582,,+...,6,180,6.0
vx-702,gdsc_VX-702,Not Clinically Relevant,0.555,,,0.555,,+...,8,181,8.0
mercaptopurine,cmap_mercaptopurine,"purine antagonist, competes with hypoxanthine and guanine for the enzyme HGPRT",,,,,0.951,...+,678,8,8.0
thiotepa,cmap_thiotepa,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription",,,,,0.883,...+,680,9,9.0
bx-912,gdsc_BX-912,Not Clinically Relevant,0.551,,,0.551,,+...,9,182,9.0
cladribine,cmap_cladribine,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia",,,,,0.868,...+,681,10,10.0
tubastatin a,ctrp_tubastatin A,Not Clinically Relevant,0.635,0.436,,0.536,,++..,10,183,10.0
xmd14-99,gdsc_XMD14-99,Not Clinically Relevant,0.525,,,0.525,,+...,11,184,11.0
raltitrexed,cmap_raltitrexed,"antimetabolite,  inhibitor of thymidylate synthase",,,,,0.855,...+,682,12,12.0
altretamine,cmap_altretamine,alkylating antineoplastic agent,,,,,0.8420000000000001,...+,683,13,13.0
amuvatinib,gdsc_Amuvatinib,Not Clinically Relevant,0.494,,,0.494,,+...,14,185,14.0
semaxanib,cmap_semaxanib,"fusion protein analog of thrombopoietin, used to treat chronic immune thrombocytopenia",,,,,0.8370000000000001,...+,684,15,15.0
xmd13-2,gdsc_XMD13-2,Not Clinically Relevant,0.47100000000000003,,,0.471,,+...,15,186,15.0
jnj-26854165,cmap_jnj-26854165,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53",,,,,0.833,...+,686,16,16.0
hg-5-88-01,gdsc_HG-5-88-01,Not Clinically Relevant,0.462,,,0.462,,+...,16,187,16.0
escitalopram,cmap_escitalopram,Selective Serotonin Reuptake Inhibitor (SSRI),,,,,0.825,...+,687,17,17.0
nsc-87877,gdsc_NSC-87877,Not Clinically Relevant,0.455,,,0.455,,+...,17,188,17.0
ispinesib mesylate,gdsc_Ispinesib Mesylate,Not Clinically Relevant,0.452,,,0.452,,+...,18,189,18.0
on-01910,cmap_on-01910,"ON-01910, Plk-1 inhibitor",,,,,0.8190000000000001,...+,688,18,18.0
mitotane,cmap_mitotane,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma ",,,,,0.812,...+,689,19,19.0
sb-505124,gdsc_SB-505124,Not Clinically Relevant,0.445,,,0.445,,+...,19,190,19.0
amsacrine,cmap_amsacrine,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL",,,,,0.7809999999999999,...+,690,20,20.0
gsk319347a,gdsc_GSK319347A,Not Clinically Relevant,0.43799999999999994,,,0.438,,+...,20,191,20.0
olaparib,ctrp_olaparib,PARP Inhibitor,0.42,0.37799999999999995,,0.399,0.9520000000000001,++.+,35,7,21.0
brd-k99006945,ctrp_BRD-K99006945,Not Clinically Relevant,,0.43700000000000006,,0.437,,.+..,21,192,21.0
avrainvillamide,ctrp_avrainvillamide,Not Clinically Relevant,,0.428,,0.428,,.+..,22,193,22.0
rucaparib,gdsc_Rucaparib,"PARP inhibitor, inhibits DNA repair",0.515,,,0.515,0.657,+..+,12,33,22.5
ml239,ctrp_ML239,Not Clinically Relevant,,0.428,,0.428,,.+..,23,194,23.0
brd-k34485477,ctrp_BRD-K34485477,Not Clinically Relevant,,0.425,,0.425,,.+..,24,195,24.0
talazoparib,gdsc_Talazoparib,Not Clinically Relevant,0.414,,,0.414,,+...,25,196,25.0
brd-k49290616,ctrp_BRD-K49290616,Not Clinically Relevant,,0.41,,0.41,,.+..,26,197,26.0
barasertib,ctrp_barasertib,highly selective Aurora B kinase inhibitor,,0.382,,0.382,0.8640000000000001,.+.+,44,11,27.5
cct036477,ctrp_CCT036477,Not Clinically Relevant,,0.409,,0.409,,.+..,28,198,28.0
