,mean_rank,weight
cervix,12.0,3.0
lung carcinoma,16.0,1.0
adrenal gland neuroblastoma,28.0,5.0
adrenal gland,30.0,3.0
small cell lung carcinoma,39.5,88.0
supra-orbital region,50.0,1.0
neuroblastoma,50.0,52.0
endometrioid stromal sarcoma,53.0,3.0
medulloblastoma,62.5,8.0
right pararenal lymph node,63.5,2.0
lung carcinoid tumor,66.0,6.0
pancreatic somatostatinoma,70.0,3.0
supraclavicular lymph node,75.0,3.0
gastric small cell neuroendocrine carcinoma,84.5,4.0
embryonal carcinoma,86.0,1.0
cervical small cell carcinoma,90.0,1.0
multiple endocrine neoplasia type 2,92.0,1.0
hereditary thyroid gland medullary carcinoma,92.0,1.0
"squamous cell breast carcinoma, acantholytic variant",95.0,3.0
alveolar rhabdomyosarcoma,96.0,9.0
brain,103.5,16.0
thyroid gland squamous cell carcinoma,106.0,3.0
right thigh skin,107.5,2.0
embryonal rhabdomyosarcoma,110.5,6.0
myeloid leukemia associated with down syndrome,112.0,1.0
uterine carcinosarcoma,112.5,2.0
prostate carcinoma,118.0,11.0
pharyngeal squamous cell carcinoma,123.0,3.0
abdomen,131.0,2.0
mediastinal lymph node,137.0,1.0
ovarian endometrioid adenocarcinoma,141.0,11.0
gastric adenosquamous carcinoma,149.5,2.0
salivary gland squamous cell carcinoma,151.0,3.0
large cell lung carcinoma,155.0,32.0
rhabdomyosarcoma,159.0,4.0
vertebra,166.0,2.0
ewing sarcoma,169.0,31.0
natural killer cell lymphoblastic leukemia/lymphoma,178.0,1.0
ovarian carcinoma,181.5,6.0
high grade ovarian serous adenocarcinoma,183.0,40.0
lung mucoepidermoid carcinoma,191.0,3.0
primary effusion lymphoma,193.0,3.0
endometrial adenosquamous carcinoma,193.0,6.0
brca1 syndrome,195.0,1.0
bone marrow,196.0,65.0
primitive neuroectodermal tumor,197.5,2.0
subserosa of fallopian tube,218.0,1.0
ovarian leiomyosarcoma,219.0,3.0
uterine corpus sarcoma,221.0,3.0
squamous cell lung carcinoma,223.5,48.0
adenosquamous lung carcinoma,224.0,9.0
oligodendroglioma,225.0,5.0
osteosarcoma,225.0,23.0
cervical squamous cell carcinoma,229.0,1.0
tonsillar squamous cell carcinoma,232.0,1.0
hypopharyngeal squamous cell carcinoma,232.0,5.0
testicular embryonal carcinoma,233.0,1.0
endometrial carcinoma,239.0,8.0
not specified,240.0,3.0
pyriform fossa squamous cell carcinoma,245.0,1.0
papillary renal cell carcinoma,245.0,5.0
undifferentiated gallbladder carcinoma,246.0,1.0
hodgkin lymphoma,249.0,11.0
thoracic lymph duct,250.0,1.0
ovarian adenocarcinoma,251.0,5.0
floor of mouth squamous cell carcinoma,256.0,1.0
ovarian serous adenocarcinoma,258.0,7.0
malignant ovarian brenner tumor,262.0,1.0
askin tumor,263.5,2.0
peritoneal ascites,264.5,2.0
spleen,265.0,3.0
minimally invasive lung adenocarcinoma,266.0,16.0
plasma cell myeloma,278.5,30.0
right anterior leg,282.0,3.0
brca2 syndrome,292.0,1.0
ovarian granulosa cell tumor,299.0,2.0
neurofibromatosis type 1,302.0,1.0
thyroid gland follicular carcinoma,303.0,10.0
human papillomavirus-related endocervical adenocarcinoma,309.5,4.0
lung adenocarcinoma,315.0,145.0
cystic fibrosis,315.5,2.0
brachialis muscle,316.0,3.0
