drug,score,moa
idarubicin,0.991,"Topo II inhibitor, intercalates into DNA, anthracycline"
sitagliptin,0.980,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
tacrolimus,0.978,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant"
thiotepa,0.971,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
barasertib,0.968,highly selective Aurora B kinase inhibitor
sorafenib,0.963,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
etoposide,0.963,Topo II inhibitor
GSK-461364,0.963,"Plk1 inhibitor, less active against Plk2 and Plk3."
tretinoin,0.956,Retinoid
TG100-115,0.955,PI3Kγ/δ inhibitor
etoposide,0.950,Topo II inhibitor
vinorelbine,0.946,disrupts microtubule dynamics; natural product
alisertib,0.945,Aurora A kinase inhibitor
hydrocortisone,0.941,Anti-inflammatory
fulvestrant,0.939,selective estrogen receptor degrader (SERD)
lapatinib,0.931,HER2/EGFR inhibitor
lenalidomide,0.925,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
irinotecan,0.919,"aka CPT-11, inhibitor of Topo I"
dexamethasone,0.893,"synthetic corticosteroid, used to reduce inflammation"
tamoxifen,0.893,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
temozolomide,0.889,alkylating agent
dexamethasone,0.887,"synthetic corticosteroid, used to reduce inflammation"
hydrocortisone,0.871,Anti-inflammatory
vemurafenib,0.870,BRAF (V600E) inhibitor
teniposide,0.867,Topo II inhibitor
lapatinib,0.866,HER2/EGFR inhibitor
JNJ-26854165,0.865,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
hydrocortisone,0.863,Anti-inflammatory
cladribine,0.840,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
TG-101348,0.831,JAK2 inhibitor
cediranib,0.825,VEGFR inhibitor
methotrexate,0.817,"antimetabolite, competitively inhibits dihydrofolate reductase (DHFR), inhibits synthesis of DNA, RNA, thymidylates, and proteins"
iobenguane,0.810,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
amsacrine,0.803,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL"
dexamethasone,0.799,"synthetic corticosteroid, used to reduce inflammation"
gemcitabine,0.795,"Nucleoside analog,incorporation into DNA creates an irreparable error that leads to inhibition of further DNA synthesis"
SN-38,0.780,"Topo I inhibitor, active metabolite of irinotecan but 1000 times more active"
raltitrexed,0.777,"antimetabolite,  inhibitor of thymidylate synthase"
axitinib,0.775,"VEGFR, c-KIT and PDGFR inhibitor"
ABT-737,0.768,Bcl-2/Bcl-xL inhibitor
dexamethasone,0.766,"synthetic corticosteroid, used to reduce inflammation"
fludarabine,0.762,"purine analog, inhibits DNA synthesis by interfering with ribonucleotide reductase and DNA polymerase."
