drug_name,MED211
PAPSS1,0.9995
PSMG1,0.9995
PABPC1,0.9995
HADHA,0.9991
NIPBL,0.9989
SCMH1,0.9987
BRD-K87426499,0.9986
TNKS2,0.9984000000000001
TAF5L,0.9984000000000001
DUSP7,0.9984000000000001
PPM1L,0.9984000000000001
CCNH,0.9982
ARPC1A,0.9981
MLH1,0.9981
diltiazem,0.9979
SRPK1,0.9976999999999999
PRKAR2A,0.9976
norgestimate,0.9975
MGST2,0.9974
CEP72,0.9972
NTRK1,0.9971
FZD7,0.9971
ESRRA,0.9965999999999999
CISH,0.9965999999999999
flucytosine,0.9965
SH2B3,0.9963
GNAS,0.9963
CEBPZ,0.9963
P2RY2,0.9958
spectinomycin,0.9958
ethisterone,0.9958
FGFR4,0.9954999999999999
tyrphostin-AG-1295,0.9954000000000001
COASY,0.9952
huperzine-a,0.9951000000000001
ZNF449,0.9948999999999999
griseofulvin,0.9947
OAT,0.9945999999999999
POU2AF1,0.9942
EIF4E,0.9942
cholic-acid,0.9940000000000001
BAS-09104376,0.9940000000000001
MAPK1,0.9939
NSD1,0.9939
RHOBTB1,0.9933
BRD-K91485395,0.9933
RBBP7,0.9931
nikkomycin,0.993
ZNF669,0.9926
RBM15,0.9924
BCL9,0.9922
NR0B2,0.9921
MRGPRX4,0.9915999999999999
PLEKHJ1,0.9915999999999999
CREM,0.9913
CDK5,0.9912000000000001
RALA,0.9912000000000001
GPR151,0.9911
PCK2,0.991
idarubicin,0.9908
vecuronium,0.9904999999999999
MYNN,0.9904999999999999
TPR,0.9904999999999999
EIF2C3,0.9904999999999999
LGALS1,0.9904000000000001
EIF4A2,0.9903
TBK1,0.9903
DBI,0.9903
CPNE3,0.9902
DICER1,0.9898
PBX1,0.9898
Bile acid,0.9897
ISOC1,0.9897
GNGT2,0.9894
lumicolchicine,0.9894
ATP6V1D,0.9894
TES,0.9892
ABCG2,0.9891
TMEM110,0.9889
chlormadinone,0.9887
BRD-A05680309,0.9887
nomegestrol,0.9886
razoxane,0.9884000000000001
PTPN1,0.9882
LAMB1,0.9881
WNT7B,0.988
SCP2,0.9879000000000001
TPM1,0.9876
PREP,0.9876
YBX1,0.9876
ACD,0.987
FBXO5,0.9865999999999999
SIRPG,0.9865999999999999
ARHGEF2,0.9865999999999999
SQSTM1,0.9865
RELA,0.9863
MPL,0.9863
TFDP1,0.9862000000000001
CELSR2,0.9861
deferiprone,0.9859
SB-216763,0.9859
UTP14A,0.9858
SCYL3,0.9856
DYNLT3,0.9856
ZM-323881,0.9856
DFFA,0.9854
MBOAT7,0.985
PRKRIR,0.9843000000000001
MPZL1,0.9842
LM-1685,0.9841
CLTB,0.9841
MIF,0.9839
ZM-241385,0.9836
MIF,0.9833
farnesylthioacetic-acid,0.9832
CTNND1,0.9831
ATG4A,0.9831
ZNF354B,0.9829000000000001
BRD-K70693222,0.9828
RAB4A,0.9826999999999999
COX7B,0.9825
RS-102895,0.9823999999999999
avrainvillamide-analog-3,0.9823999999999999
SOX10,0.9823999999999999
EPHX2,0.9823999999999999
AS-605240,0.982
DMEOB,0.982
PPP2R2C,0.9818000000000001
IDH2,0.9817
DR1,0.9815999999999999
immepip,0.9815
PLA2G12A,0.9812000000000001
FBXO11,0.9811
CG-930,0.981
ABCA5,0.9808
SLC29A2,0.9804999999999999
NAA25,0.9804999999999999
17-hydroxyprogesterone-caproate,0.9804
phosphodiesterase-V-inhibitor-II,0.9803000000000001
KLHL21,0.9803000000000001
Bacterial 30S ribosomal subunit inhibitor,0.9801000000000001
XPO7,0.9801000000000001
PD-0325901,0.98
ICAM3,0.9799
TSPAN4,0.9798
sitagliptin,0.9797
ZNF277,0.9795999999999999
HEATR1,0.9791
GBA,0.9790000000000001
2-aminopurine,0.9789
ZNF398,0.9789
U0126,0.9788
TADA3,0.9787
BRD-K26947839,0.9786
PIK3C2A,0.9781
ANKZF1,0.9781
tacrolimus,0.9779000000000001
IL6,0.9778
RPS3,0.9778
roxatidine,0.9773999999999999
IGF2BP3,0.9771
IFI30,0.9771
fexaramine,0.9768000000000001
HG-5-88-01,0.9767
parthenolide,0.9767
PRKCI,0.9765999999999999
FBXO11,0.9764
finasteride,0.9763
ARHGAP1,0.9761
BRD-K73285375,0.976
BRD-K16618170,0.9758
FUT2,0.9758
bromocriptine,0.9756999999999999
UBE2C,0.9756
KLF14,0.9754999999999999
MAPK3,0.9745999999999999
CCRN4L,0.9737
EXOSC4,0.9736
EPO,0.9736
F12,0.9736
GMPR2,0.9732999999999999
LHX9,0.9732
RCHY1,0.9731000000000001
PPAT,0.9731000000000001
CD58,0.9729000000000001
ATP7A,0.9726
oxcarbazepine,0.9723
ATF1,0.9721
TMEM174,0.9721
LOXL1,0.9721
PRMT3,0.9721
SUCNR1,0.9716
clomifene,0.9716
KLF10,0.9716
thiotepa,0.9714
PTPRF,0.9711
metyrapone,0.971
ODC1,0.9708
BTG3,0.9704999999999999
n-(3-acetamidophenyl)-3-chlorobenzamide,0.9703
POLA2,0.9702
SULT1A2,0.9702
LIM class homeoboxes GOF,0.9695999999999999
CXCR2,0.9695999999999999
ALG2,0.9693999999999999
General transcription factors group 1 LOF,0.9693
MRGPRX1,0.9691
amonafide,0.9690000000000001
CTTN,0.9686
COBL,0.9681000000000001
EIF5,0.9679000000000001
QL-XI-92,0.9679000000000001
tosyl-phenylalanyl-chloromethyl-ketone,0.9679000000000001
DTX3L,0.9677
SLC6A8,0.9677
ALW-II-49-7,0.9676
barasertib,0.9676
DUSP9,0.9673999999999999
melperone,0.9673
CSNK1G3,0.9672
MED1,0.9671
CRCP,0.9671
amcinonide,0.9668000000000001
proadifen,0.9667
ramipril,0.9666
ABCG5,0.9664
S1PR3,0.9662999999999999
MEK1-2-inhibitor,0.966
TSPAN8,0.9659
LPGAT1,0.9658
tripelennamine,0.9656999999999999
IRF3,0.9656
IGF2,0.9653
OXSR1,0.9652
PCCB,0.9651000000000001
androstenedione,0.9651000000000001
MTSS1,0.9651000000000001
fluocinonide,0.9651000000000001
dicloxacillin,0.9648
TRAK2,0.9648
etacrynic-acid,0.9645999999999999
PNU-120596,0.9645
L-701324,0.9643999999999999
DHFR,0.9643
INTS12,0.9641
DNM1L,0.9639
ZNF576,0.9639
aspirin,0.9638
TTNPB,0.9637
TEAD4,0.9637
MEK inhibitor,0.9634999999999999
RFC5,0.9634
NFATC2,0.9632
sorafenib,0.9631000000000001
3-amino-benzamide,0.9629000000000001
GSK-1904529A,0.9629000000000001
etoposide,0.9626
GSK-461364,0.9625
DUT,0.9621
actarit,0.9617
MCM8,0.9617
BRD-K67258146,0.9612999999999999
retinol,0.9611
PD-0325901,0.9609000000000001
RBM6,0.9609000000000001
TM7SF2,0.9606
GSTP1,0.9605
RAB11FIP2,0.9604
pyrimethamine,0.9603
TFE3,0.9601000000000001
SC-19220,0.96
HMOX1,0.96
harpagoside,0.9599
BDKRB2,0.9599
danazol,0.9590000000000001
NCF2,0.9587
norepinephrine,0.9584
doxycycline,0.9581999999999999
GNG8,0.9578
ZNF114,0.9578
ZBTB24,0.9577
liothyronine,0.9577
CEP55,0.9573
desoxypeganine,0.9571999999999999
SPEN,0.9568000000000001
CCRN4L,0.9567
INPP1,0.9567
MAMLD1,0.9567
BRP44,0.9566
ZNF563,0.9565
XMD-885,0.9562
