,moa,GDSC,CTRP,CCLE,drug,score,evidence
gw-2580,Not Clinically Relevant,0.619,,,gdsc_GW-2580,0.619,+..
gsk1070916,Not Clinically Relevant,0.618,,,gdsc_GSK1070916,0.618,+..
sb52334,Not Clinically Relevant,0.5720000000000001,,,gdsc_SB52334,0.572,+..
vx-702,Not Clinically Relevant,0.536,,,gdsc_VX-702,0.536,+..
linsitinib,IGF-1R inhibitor,0.603,0.452,,ctrp_linsitinib,0.528,++.
rucaparib,"PARP inhibitor, inhibits DNA repair",0.486,,,gdsc_Rucaparib,0.486,+..
navitoclax,"Bcl-2 family inhibitor: esp Bcl-xL, Bcl-2 and Bcl-w",0.6679999999999999,0.293,,ctrp_navitoclax,0.48,++.
staurosporine,Not Clinically Relevant,,0.465,,ctrp_staurosporine,0.465,.+.
hg-5-88-01,Not Clinically Relevant,0.456,,,gdsc_HG-5-88-01,0.456,+..
gsk319347a,Not Clinically Relevant,0.455,,,gdsc_GSK319347A,0.455,+..
amuvatinib,Not Clinically Relevant,0.44,,,gdsc_Amuvatinib,0.44,+..
brd-a71883111,Not Clinically Relevant,,0.435,,ctrp_BRD-A71883111,0.435,.+.
barasertib,highly selective Aurora B kinase inhibitor,,0.434,,ctrp_barasertib,0.434,.+.
brd-k28456706,Not Clinically Relevant,,0.426,,ctrp_BRD-K28456706,0.426,.+.
ml239,Not Clinically Relevant,,0.425,,ctrp_ML239,0.425,.+.
brd-k34485477,Not Clinically Relevant,,0.424,,ctrp_BRD-K34485477,0.424,.+.
ml203,Not Clinically Relevant,,0.42,,ctrp_ML203,0.42,.+.
indisulam,"carbonic anhydrase inibitor and  CDK inhibitor, targets G1 by depleting cyclin E. inducing p53 and p21, and inhibiting CDK2",,0.42,,ctrp_indisulam,0.42,.+.
olaparib,PARP Inhibitor,0.41,0.41600000000000004,,gdsc_Olaparib,0.413,++.
bms-195614,Not Clinically Relevant,,0.413,,ctrp_BMS-195614,0.413,.+.
nsc-87877,Not Clinically Relevant,0.41200000000000003,,,gdsc_NSC-87877,0.412,+..
abt-737,Bcl-2/Bcl-xL inhibitor,,0.41200000000000003,,ctrp_ABT-737,0.412,.+.
16-beta-bromoandrosterone,Not Clinically Relevant,,0.41,,ctrp_16-beta-bromoandrosterone,0.41,.+.
compound 1541a,Not Clinically Relevant,,0.409,,ctrp_Compound 1541A,0.409,.+.
compound 1b,Not Clinically Relevant,,0.405,,ctrp_compound 1B,0.405,.+.
brd-k29086754,Not Clinically Relevant,,0.405,,ctrp_BRD-K29086754,0.405,.+.
avrainvillamide,Not Clinically Relevant,,0.40399999999999997,,ctrp_avrainvillamide,0.404,.+.
sotrastaurin,pan-PKC inhibitor,,0.40299999999999997,,ctrp_sotrastaurin,0.403,.+.
brd-k99006945,Not Clinically Relevant,,0.40299999999999997,,ctrp_BRD-K99006945,0.403,.+.
brd-k13999467,Not Clinically Relevant,,0.402,,ctrp_BRD-K13999467,0.402,.+.
skepinone-l,Not Clinically Relevant,,0.402,,ctrp_skepinone-L,0.402,.+.
chlorambucil,"alkylates and cross-links DNA, interfering with DNA replication and damaging the DNA",,0.4,,ctrp_chlorambucil,0.4,.+.
brd-k88742110,Not Clinically Relevant,,0.4,,ctrp_BRD-K88742110,0.4,.+.
iu1,Not Clinically Relevant,,0.39899999999999997,,ctrp_IU1,0.399,.+.
sitagliptin,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body",,0.39799999999999996,,ctrp_sitagliptin,0.398,.+.
nsc30930,Not Clinically Relevant,,0.397,,ctrp_NSC30930,0.397,.+.
npk76-ii-72-1,Not Clinically Relevant,0.397,,,gdsc_NPK76-II-72-1,0.397,+..
tacrolimus,"FK-506, immunosuppressive drug usedafter allogeneic organ transplant",,0.396,,ctrp_tacrolimus,0.396,.+.
bms-270394,Not Clinically Relevant,,0.396,,ctrp_BMS-270394,0.396,.+.
xl765,PI3K/mTOR inhibitor,,0.39399999999999996,,ctrp_XL765,0.394,.+.
jw-55,Not Clinically Relevant,,0.39399999999999996,,ctrp_JW-55,0.394,.+.
rg-108,Not Clinically Relevant,,0.39399999999999996,,ctrp_RG-108,0.394,.+.
talazoparib,Not Clinically Relevant,0.39299999999999996,,,gdsc_Talazoparib,0.393,+..
compound 7d-cis,Not Clinically Relevant,,0.39299999999999996,,ctrp_Compound 7d-cis,0.393,.+.
brd-k26531177,Not Clinically Relevant,,0.392,,ctrp_BRD-K26531177,0.392,.+.
brd-k51490254,Not Clinically Relevant,,0.391,,ctrp_BRD-K51490254,0.391,.+.
cct036477,Not Clinically Relevant,,0.39,,ctrp_CCT036477,0.39,.+.
prima-1-met,Not Clinically Relevant,,0.389,,ctrp_PRIMA-1-Met,0.389,.+.
tipifarnib-p1,Not Clinically Relevant,,0.389,,ctrp_tipifarnib-P1,0.389,.+.
unc1215,Not Clinically Relevant,0.38799999999999996,,,gdsc_UNC1215,0.388,+..
ml050,Not Clinically Relevant,,0.387,,ctrp_ML050,0.387,.+.
cil55,Not Clinically Relevant,,0.386,,ctrp_CIL55,0.386,.+.
isoliquiritigenin,Not Clinically Relevant,,0.38299999999999995,,ctrp_isoliquiritigenin,0.383,.+.
cay10576,Not Clinically Relevant,,0.38299999999999995,,ctrp_CAY10576,0.383,.+.
epigallocatechin-3-monogallate,Not Clinically Relevant,,0.38,,ctrp_epigallocatechin-3-monogallate,0.38,.+.
necrostatin-7,Not Clinically Relevant,,0.37799999999999995,,ctrp_necrostatin-7,0.378,.+.
brd-k24690302,Not Clinically Relevant,,0.37799999999999995,,ctrp_BRD-K24690302,0.378,.+.
cytarabine hydrochloride,Not Clinically Relevant,,0.377,,ctrp_cytarabine hydrochloride,0.377,.+.
foretinib,c-Met/VEGFR2 inhibitor,,0.375,,ctrp_foretinib,0.375,.+.
brd-k51831558,Not Clinically Relevant,,0.373,,ctrp_BRD-K51831558,0.373,.+.
ac55649,Not Clinically Relevant,,0.373,,ctrp_AC55649,0.373,.+.
brd-k19103580,Not Clinically Relevant,,0.371,,ctrp_BRD-K19103580,0.371,.+.
alisertib,Aurora A kinase inhibitor,,0.371,,ctrp_alisertib,0.371,.+.
pf-4800567 hydrochloride,Not Clinically Relevant,,0.369,,ctrp_PF-4800567 hydrochloride,0.369,.+.
fingolimod,"sphingosine-1-phosphate receptor modulator, sequesters lymphocytes in lymph nodes, mostly used for treating multiple sclerosis",,0.369,,ctrp_fingolimod,0.369,.+.
brd-k84807411,Not Clinically Relevant,,0.369,,ctrp_BRD-K84807411,0.369,.+.
sr1001,Not Clinically Relevant,,0.369,,ctrp_SR1001,0.369,.+.
brd-k29313308,Not Clinically Relevant,,0.369,,ctrp_BRD-K29313308,0.369,.+.
brd-m00053801,Not Clinically Relevant,,0.368,,ctrp_BRD-M00053801,0.368,.+.
brd-k02251932,Not Clinically Relevant,,0.368,,ctrp_BRD-K02251932,0.368,.+.
brd1835,Not Clinically Relevant,,0.366,,ctrp_BRD1835,0.366,.+.
lenvatinib,"VEGFR inhibitor (VEGFR1, VEGFR2 and VEGFR3)",,0.365,,ctrp_lenvatinib,0.365,.+.
jw-74,Not Clinically Relevant,,0.365,,ctrp_JW-74,0.365,.+.
abt-199,Bcl2 inhibitor,,0.363,,ctrp_ABT-199,0.363,.+.
mgcd-265,"inhibitor of c-Met and VEGFR1/2/3, as well as Ron and Tie2",,0.36200000000000004,,ctrp_MGCD-265,0.362,.+.
fgin-1-27,Not Clinically Relevant,,0.361,,ctrp_FGIN-1-27,0.361,.+.
kw-2449,"multi-kinase inhibitor, mostly for Flt3, modestly potent to FGFR1, Bcr-Abl and Aurora A;",,0.36,,ctrp_KW-2449,0.36,.+.
brd-k61166597,Not Clinically Relevant,,0.359,,ctrp_BRD-K61166597,0.359,.+.
px-12,thioredoxin-1 (Trx-1) inhibitor,,0.359,,ctrp_PX-12,0.359,.+.
cil41,Not Clinically Relevant,,0.358,,ctrp_CIL41,0.358,.+.
repligen 136,Not Clinically Relevant,,0.35700000000000004,,ctrp_Repligen 136,0.357,.+.
darinaparsin,organic arsenic compound composed of dimethylated arsenic linked to glutathione,,0.355,,ctrp_darinaparsin,0.355,.+.
apicidin,Not Clinically Relevant,,0.354,,ctrp_apicidin,0.354,.+.
bendamustine,alkylating agent,,0.353,,ctrp_bendamustine,0.353,.+.
sz4ta2,Not Clinically Relevant,,0.35200000000000004,,ctrp_SZ4TA2,0.352,.+.
brd-k11533227,Not Clinically Relevant,,0.35100000000000003,,ctrp_BRD-K11533227,0.351,.+.
brd-k44224150,Not Clinically Relevant,,0.35,,ctrp_BRD-K44224150,0.35,.+.
968,Not Clinically Relevant,,0.349,,ctrp_968,0.349,.+.
brd-k42260513,Not Clinically Relevant,,0.349,,ctrp_BRD-K42260513,0.349,.+.
nsc 74859,Not Clinically Relevant,,0.348,,ctrp_NSC 74859,0.348,.+.
belinostat,HDAC inhibitor (PXD101),0.299,0.39799999999999996,,gdsc_Belinostat,0.348,++.
brd-k92856060,Not Clinically Relevant,,0.348,,ctrp_BRD-K92856060,0.348,.+.
mdivi-1,Not Clinically Relevant,,0.34700000000000003,,ctrp_Mdivi-1,0.347,.+.
ki8751,Not Clinically Relevant,,0.34600000000000003,,ctrp_Ki8751,0.346,.+.
lomeguatrib,"Inhibitor of MGMT, a DNA repair protein that confers resistance to alkylating agents such as Temozolomide, DTIC, Carmustine, etc. ",,0.34600000000000003,,ctrp_lomeguatrib,0.346,.+.
elcpk,Not Clinically Relevant,,0.345,,ctrp_ELCPK,0.345,.+.
brd6340,Not Clinically Relevant,,0.345,,ctrp_BRD6340,0.345,.+.
brd-k41597374,Not Clinically Relevant,,0.344,,ctrp_BRD-K41597374,0.344,.+.
brd-k75293299,Not Clinically Relevant,,0.344,,ctrp_BRD-K75293299,0.344,.+.
bibr-1532,Not Clinically Relevant,,0.344,,ctrp_BIBR-1532,0.344,.+.
itraconazole,"Anti-fungal, hedgehog antagonist",,0.344,,ctrp_itraconazole,0.344,.+.
cyclophosphamide,"alkylating agent, nitrogen mustard family, works by disrupting the duplication of DNA and the creation of RNA (Cytoxan)",,0.342,,ctrp_cyclophosphamide,0.342,.+.
fsc231,Not Clinically Relevant,,0.342,,ctrp_FSC231,0.342,.+.
pdmp,Not Clinically Relevant,,0.342,,ctrp_PDMP,0.342,.+.
brd-k02492147,Not Clinically Relevant,,0.341,,ctrp_BRD-K02492147,0.341,.+.
brd-k86535717,Not Clinically Relevant,,0.341,,ctrp_BRD-K86535717,0.341,.+.
pifithrin-mu,Not Clinically Relevant,,0.34,,ctrp_pifithrin-mu,0.34,.+.
nsc23766,Not Clinically Relevant,,0.34,,ctrp_NSC23766,0.34,.+.
ski-ii,Not Clinically Relevant,,0.33899999999999997,,ctrp_SKI-II,0.339,.+.
nvp-adw742,Not Clinically Relevant,,0.33799999999999997,,ctrp_NVP-ADW742,0.338,.+.
jw-480,Not Clinically Relevant,,0.33799999999999997,,ctrp_JW-480,0.338,.+.
ly-2183240,Not Clinically Relevant,,0.33799999999999997,,ctrp_LY-2183240,0.338,.+.
omacetaxine mepesuccinate,"natural product, protein translation inhibitor, used for myeloid leukemia",,0.33799999999999997,,ctrp_omacetaxine mepesuccinate,0.338,.+.
isox,Not Clinically Relevant,,0.337,,ctrp_ISOX,0.337,.+.
necrostatin-1,Not Clinically Relevant,,0.337,,ctrp_necrostatin-1,0.337,.+.
hc-067047,Not Clinically Relevant,,0.337,,ctrp_HC-067047,0.337,.+.
ml162,Not Clinically Relevant,,0.336,,ctrp_ML162,0.336,.+.
decitabine,"Nucleoside analog, inhibitor of DNA methylation and DNA synthesis (Dacogen)",,0.336,,ctrp_decitabine,0.336,.+.
gossypol,"Natural product, may function to inhibit Bcl2 family members",,0.336,,ctrp_gossypol,0.336,.+.
pd 153035,Not Clinically Relevant,,0.336,,ctrp_PD 153035,0.336,.+.
myriocin,Not Clinically Relevant,,0.335,,ctrp_myriocin,0.335,.+.
ceranib-2,Not Clinically Relevant,,0.335,,ctrp_ceranib-2,0.335,.+.
brd-k96970199,Not Clinically Relevant,,0.33399999999999996,,ctrp_BRD-K96970199,0.334,.+.
mst-312,Not Clinically Relevant,,0.33399999999999996,,ctrp_MST-312,0.334,.+.
compound 23 citrate,Not Clinically Relevant,,0.33299999999999996,,ctrp_Compound 23 citrate,0.333,.+.
isoevodiamine,Not Clinically Relevant,,0.332,,ctrp_isoevodiamine,0.332,.+.
brd8899,Not Clinically Relevant,,0.332,,ctrp_BRD8899,0.332,.+.
elocalcitol,vitamin D receptor agonist,,0.332,,ctrp_elocalcitol,0.332,.+.
azd1480,JAK2 inhibitor with some activity against JAK3 and Tyk2,,0.332,,ctrp_AZD1480,0.332,.+.
gsk-3 inhibitor ix,Not Clinically Relevant,,0.331,,ctrp_GSK-3 inhibitor IX,0.331,.+.
sb-225002,Not Clinically Relevant,,0.331,,ctrp_SB-225002,0.331,.+.
sildenafil,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension",,0.33,,ctrp_sildenafil,0.33,.+.
mitomycin,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis",,0.32899999999999996,,ctrp_mitomycin,0.329,.+.
tacedinaline,Not Clinically Relevant,,0.32899999999999996,,ctrp_tacedinaline,0.329,.+.
brd-k80183349,Not Clinically Relevant,,0.32799999999999996,,ctrp_BRD-K80183349,0.328,.+.
pyr-41,Not Clinically Relevant,,0.32799999999999996,,ctrp_PYR-41,0.328,.+.
bix-01294,Not Clinically Relevant,,0.32799999999999996,,ctrp_BIX-01294,0.328,.+.
pf-184,Not Clinically Relevant,,0.32799999999999996,,ctrp_PF-184,0.328,.+.
lrrk2-in-1,Not Clinically Relevant,,0.327,,ctrp_LRRK2-IN-1,0.327,.+.
nsc95397,Not Clinically Relevant,,0.327,,ctrp_NSC95397,0.327,.+.
tg-100-115,PI3Kγ/δ inhibitor,,0.327,,ctrp_TG-100-115,0.327,.+.
am-580,Not Clinically Relevant,,0.326,,ctrp_AM-580,0.326,.+.
kpt185,Not Clinically Relevant,,0.325,,ctrp_KPT185,0.325,.+.
lbh-589,HDAC inhibitor,,0.325,,ctrp_LBH-589,0.325,.+.
ml006,Not Clinically Relevant,,0.325,,ctrp_ML006,0.325,.+.
brd-k16147474,Not Clinically Relevant,,0.325,,ctrp_BRD-K16147474,0.325,.+.
plx-4032,BRAF (V600E) inhibitor,,0.324,,ctrp_PLX-4032,0.324,.+.
ml083,Not Clinically Relevant,,0.324,,ctrp_ML083,0.324,.+.
brd-k85133207,Not Clinically Relevant,,0.324,,ctrp_BRD-K85133207,0.324,.+.
brd-k66532283,Not Clinically Relevant,,0.32299999999999995,,ctrp_BRD-K66532283,0.323,.+.
birb-796,Not Clinically Relevant,,0.321,,ctrp_BIRB-796,0.321,.+.
pandacostat,Not Clinically Relevant,,0.32,,ctrp_pandacostat,0.32,.+.
gmx-1778,Not Clinically Relevant,,0.32,,ctrp_GMX-1778,0.32,.+.
gsk1059615,PI3Kα/β/δ/γ and mTOR inhibitor,,0.32,,ctrp_GSK1059615,0.32,.+.
ar-42,Not Clinically Relevant,0.319,,,gdsc_AR-42,0.319,+..
