drug_name,RCMB24
TRAF2,0.9995
RPS6KL1,0.9995
PRKAR2A,0.9992
PAPSS1,0.9992
RBBP7,0.9991
PPM1L,0.9984999999999999
CLEC16A,0.9982
SLC25A14,0.9981
TCF7L2,0.998
tyrphostin-AG-1295,0.9979
TADA3,0.9976999999999999
DNM1L,0.9976999999999999
STAP2,0.9976999999999999
PBX1,0.9976
RBM6,0.9976
4-(2-Amino-ethyl)-benzenesulfonamide,0.9975
CEP55,0.9974
FBXO11,0.9972
TMEM174,0.9972
RPS3,0.9972
norgestimate,0.9968
EFCAB2,0.9968
P2RY2,0.9967
FGFR4,0.9965999999999999
n-(3-acetamidophenyl)-3-chlorobenzamide,0.9965
SRC-kinase-inhibitor-II,0.9965
LGALS1,0.9963
ISOC1,0.9963
ERGIC1,0.9961
AC-55649,0.9961
STXBP2,0.9961
DYNLT3,0.9961
ALAS1,0.9958
deferiprone,0.9958
huperzine-a,0.9958
PHF19,0.9958
actarit,0.9958
PABPC1,0.9956
ALW-II-49-7,0.9954000000000001
SJ-172550,0.9951000000000001
ACADSB,0.995
ADNP2,0.9948999999999999
ATP6V1D,0.9948
CFD,0.9947
NSD1,0.9947
GLDC,0.9947
JAK2,0.9945
TNKS2,0.9945
ROCK2,0.9945
WARS,0.9945
NMUR2,0.9945
TTNPB,0.9944
farnesylthioacetic-acid,0.9944
EIF2C3,0.9940000000000001
SCAF8,0.9940000000000001
TMEM110,0.9940000000000001
RIPK2,0.9939
NSC-94258,0.9939
SCP2,0.9937
TRAK2,0.9934999999999999
MRGPRF,0.9934000000000001
DMEOB,0.9933
RXFP4,0.9932
3-amino-benzamide,0.9928
SREBF1,0.9926
ZNF398,0.9926
nomegestrol,0.9926
MRGPRX4,0.9926
DLGAP5,0.9926
DFFA,0.9924
NIPBL,0.9924
RPS6KA4,0.9922
desoxypeganine,0.9922
NRIP3,0.9921
DGKA,0.9921
TG100-115,0.9919
MDM inhibitor,0.9918
RNH1,0.9918
PTPN4,0.9915999999999999
rucaparib,0.9915
gedunin,0.9912000000000001
COX4I1,0.9912000000000001
etodolac,0.9912000000000001
XPO7,0.9912000000000001
bromocriptine,0.9912000000000001
SB-216763,0.9912000000000001
finasteride,0.9912000000000001
PSMG1,0.9911
MAS1L,0.9911
POLA2,0.9911
norepinephrine,0.9908
ICAM1,0.9906999999999999
PFN2,0.9906999999999999
salubrinal,0.9904999999999999
BRD-K70693222,0.9903
PSMD5,0.9903
BDKRB2,0.9902
CREM,0.9901000000000001
TCS-359,0.9901000000000001
tetracycline,0.9901000000000001
MYCL1,0.9901000000000001
LM-1685,0.9901000000000001
minoxidil,0.99
HSF2,0.9899
PAQR7,0.9898
RALA,0.9898
doxercalciferol,0.9895999999999999
MLH1,0.9894
estradiol,0.9894
HIST1H2AC,0.9894
GHR,0.9892
RCHY1,0.9892
triacsin-c,0.9891
LOXL1,0.9890000000000001
RASD1,0.9889
LYN,0.9889
NR0B2,0.9889
IGF2,0.9889
DHFR,0.9887999999999999
SLC38A2,0.9887
ZNF562,0.9886
TNFRSF1A,0.9884000000000001
probucol,0.9884000000000001
NNT,0.9884000000000001
BCL6B,0.9884000000000001
terbutaline,0.9884000000000001
KCTD5,0.9882
CDIPT,0.9881
NPDC1,0.9879000000000001
neurodazine,0.9876999999999999
etacrynic-acid,0.9875
S100B,0.9871
CPD,0.9871
NUAK1,0.9871
VU-0400071-3,0.987
ERF,0.9869
SRC,0.9865999999999999
CHAC1,0.9865999999999999
RAB31,0.9865999999999999
ZNF85,0.9863
ESRRA,0.9863
FOXN3,0.9863
ATP6V0B,0.9863
SRP14,0.9863
QRFPR,0.9863
POLE3,0.9863
lapatinib,0.9863
MELK,0.9863
PRMT3,0.9861
PLSCR1,0.986
L-368899,0.9859
LRPAP1,0.9859
OAT,0.9854999999999999
STUB1,0.9845
androstenedione,0.9845
PIK3C2A,0.9842
PHF16,0.9842
UBE2C,0.9841
2-aminopurine,0.9839
BCL9,0.9839
MBNL2,0.9839
zolpidem,0.9838
EIF4E,0.9837
CTTN,0.9836
E2F8,0.9834
CASK,0.9833
SCYL3,0.9833
propantheline,0.9832
SULT1A1,0.9832
GABBR1,0.9829000000000001
ERO1L,0.9829000000000001
FZD6,0.9829000000000001
USP14,0.9829000000000001
CDX2,0.9828
NISCH,0.9826999999999999
harpagoside,0.9826999999999999
TOPBP1,0.9821
PAFAH1B2,0.9821
CNOT4,0.9821
avrainvillamide-analog-3,0.982
TRAF1,0.9819
sumatriptan,0.9818000000000001
FBXO11,0.9818000000000001
ATG4A,0.9818000000000001
UCK2,0.9818000000000001
Vitamin D receptor agonist,0.9817
CACNA1D,0.9815
TSPAN8,0.9815
cinalukast,0.9813
SNX6,0.9813
toltrazuril,0.9813
SOD2,0.9813
PGAM1,0.981
WNT7B,0.9809
KIF14,0.9808
pseudopelletierine,0.9808
GPR174,0.9806999999999999
FAM114A2,0.9806999999999999
ABCC1,0.9804999999999999
BCL6B,0.9803000000000001
RS-102895,0.9803000000000001
QW-BI-011,0.9803000000000001
LEPRE1,0.9801000000000001
retinol,0.9799
IFNGR1,0.9797
skatole,0.9795999999999999
IRF2,0.9793000000000001
LAMB1,0.9788
KLF10,0.9787
HEY1,0.9786
SMO,0.9786
TSN,0.9786
sappanone-a,0.9784999999999999
sinensetin,0.9784999999999999
BAY-K8644,0.9782
IP6K2,0.9782
nikkomycin,0.978
PGBD1,0.9779000000000001
IFIH1,0.9779000000000001
ACD,0.9778
PJA1,0.9776
TEAD4,0.9776
phenprobamate,0.9775
ergocornine,0.9773999999999999
dicloxacillin,0.9773999999999999
FBXO5,0.9773000000000001
tosyl-phenylalanyl-chloromethyl-ketone,0.9771
repaglinide,0.977
RRP8,0.9769
epibatidine,0.9768000000000001
coumarin,0.9768000000000001
ZNF77,0.9768000000000001
SQLE,0.9765999999999999
