drug,score,moa
TG100-115,0.992,PI3Kγ/δ inhibitor
rucaparib,0.992,"PARP inhibitor, inhibits DNA repair"
lapatinib,0.986,HER2/EGFR inhibitor
iobenguane,0.976,"radiopharmaceutical, radiolabeled molecule similar to noradrenaline"
sildenafil,0.968,"Viagra, used to treat erectile dysfunction and pulmonary arterial hypertension"
etoposide,0.962,Topo II inhibitor
mitomycin-c,0.961,"DNA Alkylator, works by cross-linking DNA and inhibiting DNA synthesis"
alisertib,0.957,Aurora A kinase inhibitor
idarubicin,0.955,"Topo II inhibitor, intercalates into DNA, anthracycline"
lenalidomide,0.954,"derivative of thalidomide, which interacts with the ubiquitin E3 ligase cereblon, targeting this enzyme to degrade the Ikaros transcription factors IKZF1 and IKZF3. Used for multiple myeloma"
sitagliptin,0.952,"used for Treating type 2 diabetes, works by increasing the amount of insulin released by your body"
JNJ-26854165,0.947,"(JNJ-26854165) Mdm2 antagonist, stabilizes p53"
hydrocortisone,0.941,Anti-inflammatory
raloxifene,0.936," selective estrogen receptor modulator (SERM), has estrogenic actions on bone and anti-estrogenic actions on uterus and breast"
mitotane,0.924,"steroidogenesis inhibitor, cytostatic drug used in the treatment of adrenocortical carcinoma "
GSK-461364,0.924,"Plk1 inhibitor, less active against Plk2 and Plk3."
sorafenib,0.920,"VEGFR, PDGFR and Raf (c-Raf) inhibitor"
lapatinib,0.919,HER2/EGFR inhibitor
vinorelbine,0.918,disrupts microtubule dynamics; natural product
megestrol,0.915,steroidal progestin used in the treatment of breast and endometrial cancer
temozolomide,0.915,alkylating agent
anagrelide,0.912,"phosphodiesterase inhibitor, inhibits maturation of platelets, used for CML"
olaparib,0.907,PARP Inhibitor
toremifene,0.893,selective estrogen receptor modulator (SERM) which helps oppose the actions of estrogen
dexamethasone,0.870,"synthetic corticosteroid, used to reduce inflammation"
hyperforin,0.838,"Active ingredient in St. John's Wort, blocks reuptake of of serotonin, norepinephrine, dopamine and GABA"
vincristine,0.827,"binds tubulin, disrupts microtubule dynamics"
hydrocortisone,0.823,Anti-inflammatory
vorinostat,0.813,HDAC inhibitor (SAHA)
cladribine,0.806,"purine analog, inhibits adenosine deaminase, which interferes with DNA sythesis. Used for leukemia"
irinotecan,0.805,"aka CPT-11, inhibitor of Topo I"
teniposide,0.789,Topo II inhibitor
raltitrexed,0.784,"antimetabolite,  inhibitor of thymidylate synthase"
cimetidine,0.770,(Tagamet) Antacid and antihistamine
thiotepa,0.767,"alkylating agent, ethylenimine family, causes crosslinks in DNA, which prevents DNA replication and DNA transcription"
sirolimus,0.762,"rapamycin, mTOR inhibitor"
escitalopram,0.760,Selective Serotonin Reuptake Inhibitor (SSRI)
etomoxir,0.743,"agonist of PPARα, inhibitor of carnitine palmitoyltransferase-1 (CPT-1)"
dexamethasone,0.733,"synthetic corticosteroid, used to reduce inflammation"
tegafur,0.725,"antimetabolite, 5-fluorouracil analog, slowly metabolized to 5-FU"
tamoxifen,0.720,"ER antagonist prodrug; converted to 4-OHT and endoxifen in the liver; competes with estrogen for ER binding, inhibits transcription of estrogen target genes"
dexamethasone,0.718,"synthetic corticosteroid, used to reduce inflammation"
amsacrine,0.717,"Intercalator, inhibits Topo II and blocks both DNA replication and transcription, used in ALL"
exemestane,0.699,"aromatase inhibitor, blocks conversion of androgens to estrogens"
procarbazine,0.697,alkylating agent
ON-01910,0.695,"ON-01910, Plk-1 inhibitor"
ABT-737,0.691,Bcl-2/Bcl-xL inhibitor
