,mean_rank,weight
cervix,10.0,3.0
lung carcinoma,26.0,1.0
right thigh skin,34.5,2.0
supraclavicular lymph node,41.0,3.0
adrenal gland,43.0,3.0
small cell lung carcinoma,44.0,88.0
multiple endocrine neoplasia type 2,50.0,1.0
hereditary thyroid gland medullary carcinoma,50.0,1.0
not specified,51.0,3.0
abdomen,52.5,2.0
neuroblastoma,56.5,52.0
adrenal gland neuroblastoma,67.0,5.0
gastric small cell neuroendocrine carcinoma,74.5,4.0
brain,75.0,16.0
lung carcinoid tumor,85.5,6.0
alveolar rhabdomyosarcoma,94.0,9.0
endometrioid stromal sarcoma,96.0,3.0
embryonal carcinoma,96.0,1.0
peritoneal ascites,100.0,2.0
medulloblastoma,102.5,8.0
subserosa of fallopian tube,109.0,1.0
"squamous cell breast carcinoma, acantholytic variant",110.0,3.0
ovarian adenocarcinoma,116.0,5.0
thyroid gland squamous cell carcinoma,116.0,3.0
mediastinal lymph node,124.0,1.0
gastric choriocarcinoma,125.0,1.0
pancreatic somatostatinoma,128.0,3.0
cervical small cell carcinoma,131.0,1.0
primitive neuroectodermal tumor,135.5,2.0
ewing sarcoma,137.0,31.0
liposarcoma,141.0,1.0
intrahepatic cholangiocarcinoma,150.5,6.0
high grade ovarian serous adenocarcinoma,152.0,40.0
large cell lung carcinoma,153.0,32.0
embryonal rhabdomyosarcoma,154.0,6.0
thyroid gland follicular carcinoma,158.0,10.0
cervical lymph node,162.0,5.0
ovarian carcinoma,162.5,6.0
myeloid leukemia associated with down syndrome,164.0,1.0
prostate carcinoma,165.0,11.0
duodenal adenocarcinoma,166.0,1.0
right anterior leg,167.0,3.0
squamous papilloma,172.0,1.0
inguinal lymph node,188.0,3.0
uterine carcinosarcoma,196.5,2.0
vaginal melanoma,198.0,1.0
right pararenal lymph node,198.5,2.0
bone marrow,201.0,65.0
undifferentiated gallbladder carcinoma,202.0,1.0
rhabdomyosarcoma,205.0,4.0
recurrent bladder carcinoma,205.0,3.0
ovarian mixed germ cell tumor,209.0,1.0
testicular embryonal carcinoma,210.0,1.0
neurofibromatosis type 1,210.0,1.0
